en,fr,es,it
:[align=center]:REÇU : \c[5]POTION\c[0],:[align=center]:REÇU : \c[5]POTION\c[0],:[align=center]:REÇU : \c[5]POTION\c[0],:[align=center]:REÇU : \c[5]POTION\c[0]
":[align=center]:\s[i]Vous rangez votre ""Potion"" dans votre sac dans la poche Soin.\s[r]",":[align=center]:\s[i]Vous rangez votre ""Potion"" dans votre sac dans la poche Soin.\s[r]",":[align=center]:\s[i]Vous rangez votre ""Potion"" dans votre sac dans la poche Soin.\s[r]",":[align=center]:\s[i]Vous rangez votre ""Potion"" dans votre sac dans la poche Soin.\s[r]"
:[align=center]:REÇU : \c[5]POKE BALL\c[0],:[align=center]:REÇU : \c[5]POKE BALL\c[0],:[align=center]:REÇU : \c[5]POKE BALL\c[0],:[align=center]:REÇU : \c[5]POKE BALL\c[0]
":[align=center]:\s[i]Vous rangez votre ""PokéBall"" dans votre sac dans la poche Poké Balls.\s[r]",":[align=center]:\s[i]Vous rangez votre ""PokéBall"" dans votre sac dans la poche Poké Balls.\s[r]",":[align=center]:\s[i]Vous rangez votre ""PokéBall"" dans votre sac dans la poche Poké Balls.\s[r]",":[align=center]:\s[i]Vous rangez votre ""PokéBall"" dans votre sac dans la poche Poké Balls.\s[r]"
\c[2]Pokemon\c[0] : Nenuuuuupiot !,\c[2]Pokemon\c[0] : Nenuuuuupiot !,\c[2]Pokemon\c[0] : Nenuuuuupiot !,\c[2]Pokemon\c[0] : Nenuuuuupiot !
:[align=center]:\s[i]Il n'y a rien dans ce coquillage[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10]\s[r],:[align=center]:\s[i]Il n'y a rien dans ce coquillage[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10]\s[r],:[align=center]:\s[i]Il n'y a rien dans ce coquillage[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10]\s[r],:[align=center]:\s[i]Il n'y a rien dans ce coquillage[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10]\s[r]
:[align=center]:\s[i]Il n'y a rien dans ce coquillage[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10]\s[r],:[align=center]:\s[i]Il n'y a rien dans ce coquillage[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10]\s[r],:[align=center]:\s[i]Il n'y a rien dans ce coquillage[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10]\s[r],:[align=center]:\s[i]Il n'y a rien dans ce coquillage[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10]\s[r]
:[align=center]:REÇU : \c[5]ANTIDOTE\c[0],:[align=center]:REÇU : \c[5]ANTIDOTE\c[0],:[align=center]:REÇU : \c[5]ANTIDOTE\c[0],:[align=center]:REÇU : \c[5]ANTIDOTE\c[0]
":[align=center]:\s[i]Vous rangez votre ""Antidote"" dans votre sac dans la poche Soin.\s[r]",":[align=center]:\s[i]Vous rangez votre ""Antidote"" dans votre sac dans la poche Soin.\s[r]",":[align=center]:\s[i]Vous rangez votre ""Antidote"" dans votre sac dans la poche Soin.\s[r]",":[align=center]:\s[i]Vous rangez votre ""Antidote"" dans votre sac dans la poche Soin.\s[r]"
"C'est bon ! \nlJ'ai fini la carte de Bombance !\nlTiens, j'en ai faite une copie :","C'est bon ! \nlJ'ai fini la carte de Bombance !\nlTiens, j'en ai faite une copie :","C'est bon ! \nlJ'ai fini la carte de Bombance !\nlTiens, j'en ai faite une copie :","C'est bon ! \nlJ'ai fini la carte de Bombance !\nlTiens, j'en ai faite une copie :"
