en,fr,it,de,es,ko,kana,pt
——————,－－－－－－－－－－,----------,－－－－－－－－－－,－,－－－－－－－－－－,－－－－－－－－－－,——————
Exterior of The Tower,Extérieur de la Tour,\n[1]'s House,\n[1]'s House,\n[1]'s House,\n[1]'s House,\n[1]'s House,Exterior of The Tower
Seaside Route,Route Bordemer,Zona Misteriosa,Mysteriöser Ort,,수수께끼의 장소,なぞのばしょ,Seaside Route
Turbulent Creek,Crique Turbulente,,,,,,Turbulent Creek
Tower Hall,Hall de la Tour,,,,,,Tower Hall
Prairie Stream,Prairie ruisselante,,,,,,Prairie Stream
Rocky Cavern,Caverne Rocailleuse,,,,,,Rocky Cavern
Ashen Marsh,Marais Cendreux,,,,,,Ashen Marsh
Icy Tundra,Toundra verglacée,Percorso 22,Route 22,Ruta 22,22번도로,22ばんどうろ,Icy Tundra
Built Road,Piste aménagée,Vicolo Bozzetto,Escissia-Pfad,Sendero Boceto,조아의 작은 길,アサメのこみち,Built Road
Shady Facility,Installation malfamée,Rio Acquerello,Aquarellia,Pueblo Acuarela,수미마을,メイスイタウン,Shady Facility
Laboratory,Laboratory,,,,,,Laboratory
Library,Bibliothèque,Percorso 2,Route 2,Ruta 2,2번도로,２ばんどうろ,Library
Photo Studio,Studio photo,Via Progresso,Progrès-Weg,Vía del Avance,아방쎄 도로,アバンセどおり,Photo Studio
Game Corner,Casino,Bosco Novartopoli,Nouvaria-Wald,Bosque de Novarte,백단숲,ハクダンのもり,Game Corner
Battle Simulator,Simulateur de combats,,,,,,Battle Simulator
Wi-Fi basement,Sous-sol Wi-Fi,Percorso 3,Route 3,Ruta 3,3번도로,３ばんどうろ,Wi-Fi basement
Dynamo Basement,Sous-sol Dynamo,Via Aperta,Ouvert-Weg,Senda Despejada,우베르 도로,ウベールどおり,Dynamo Basement
Santalune City,Bourg - Guignon,Novartopoli,Nouvaria City,Ciudad Novarte,백단시티,ハクダンシティ,Santalune City
,Laboratoire,,,,,,
Route 4,Route 1,Percorso 4,Route 4,Ruta 4,4번도로,４ばんどうろ,Route 4
Parterre Way,Cocovin,Viale Parterre,Parterre-Weg,Senda del Parterre,파르테르 가도,パルテールかいどう,Parterre Way
Lumiose City,Grotte Cristalline,Luminopoli,Illumina City,Ciudad Luminalia,미르시티,ミアレシティ,Lumiose City
,Lac des Esprits,,,,,,
Prism Tower,Mine Cristalline,Torre Prisma,Prismaturm,Torre Prisma,프리즘타워,プリズムタワー,Prism Tower
,Forêt Enchantée,,,,,,
Lysandre Labs,Bouillabaisse-sur-Mer,Laboratori Elisio,Labor von Flordelis,Laboratorios Lysson,플라드리 래버러토리,フラダリラボ,Lysandre Labs
,Tartatin,,,,,,
Route 5,Intérieur,Percorso 5,Route 5,Ruta 5,5번도로,５ばんどうろ,Route 5
Versant Road,Entrée Mine Cristalline,Via Versante,Coteau-Weg,Vía Repecho,베르성 도로,ベルサンどおり,Versant Road
Camphrier Town,Route 2,Castel Vanità,Vanitéa,Pueblo Vánitas,고목내마을,コボクタウン,Camphrier Town
,Ruine Antédiluvienne,,,,,,
Shabboneau Castle,Forêt Hantée,Maniero Sottotono,Château Tristesse,Castillo Caduco,침울한 성,ショボンヌじょう,Shabboneau Castle
,,,,,,,
Route 6,Route 6,Percorso 6,Route 6,Ruta 6,6번도로,６ばんどうろ,Route 6
Palais Lane,Allée du Palais,Boulevard Palazzo,Palais-Allee,Alameda del Palacio,팔레 가로수 길,パレのなみきみち,Palais Lane
Parfum Palace,Palais Chaydeuvre,Reggia Aurea,Magnum-Opus-Palast,Palacio Cénit,파르팽 궁전,パルファムきゅうでん,Parfum Palace
,,,,,,,
Route 7,Route 7,Percorso 7,Route 7,Ruta 7,7번도로,７ばんどうろ,Route 7
Rivière Walk,Chemin des Berges,Via Fiume,Rivière-Promenade,Paseo de la Ribera,리비에르 라인,リビエールライン,Rivière Walk
Cyllage City,Relifac-le-Haut,Altoripoli,Relievera City,Ciudad Relieve,삼채시티,ショウヨウシティ,Cyllage City
,,,,,,,
Route 8,Route 8,Percorso 8,Route 8,Ruta 8,8번도로,８ばんどうろ,Route 8
Muraille Coast,Falaise Muraille,Muraglia Costiera,Muraille-Küstenpfad,Muralla Costera,미라유 해안,ミュライユかいがん,Muraille Coast
Ambrette Town,Roche-sur-Gliffe,Petroglifari,Petrophia,Pueblo Petroglifo,가라마을,コウジンタウン,Ambrette Town
,,,,,,,
Route 9,Route 9,Percorso 9,Route 9,Ruta 9,9번도로,９ばんどうろ,Route 9
Spikes Passage,Piste Piquante,Sentiero Punzoni,Rihorn-Pass,Paso de Rhyhorn,뿔 산길,トゲトゲさんどう,Spikes Passage
Battle Chateau,Château de Combat,Castello Lotta,Kampfschloss,Bastión Batalla,배틀샤토,バトルシャトー,Battle Chateau
,,,,,,,
Route 10,Route 10,Percorso 10,Route 10,Ruta 10,10번도로,１０ばんどうろ,Route 10
Menhir Trail,Route Menhir,Strada dei Menhir,Menhir-Weg,Camino Menhires,멘히르로드,メンヒルロード,Menhir Trail
Geosenge Town,Cromlac’h,Cromleburgo,Cromlexia,Pueblo Crómlech,옥유마을,セキタイタウン,Geosenge Town
,,,,,,,
Route 11,Route 11,Percorso 11,Route 11,Ruta 11,11번도로,１１ばんどうろ,Route 11
Miroir Way,Chemin Miroir,Via dei Riflessi,Miroir-Weg,Senda Reflejos,미르와르 도로,ミロワールどおり,Miroir Way
Reflection Cave,Grotte Miroitante,Grotta dei Riflessi,Spiegelhöhle,Cueva Reflejos,비춤의 동굴,うつしみのどうくつ,Reflection Cave
,,,,,,,
Shalour City,Yantreizh,Yantaropoli,Yantara City,Ciudad Yantra,사라시티,シャラシティ,Shalour City
,,,,,,,
Tower of Mastery,Tour Maîtrise,Torre Maestra,Turm der Erkenntnis,Torre Maestra,마스터타워,マスタータワー,Tower of Mastery
,,,,,,,
Route 12,Route 12,Percorso 12,Route 12,Ruta 12,12번도로,１２ばんどうろ,Route 12
Fourrage Road,Chemin Fourrage,Via dei Pascoli,Fourrage-Weg,Vereda del Heno,프라주 도로,フラージュどおり,Fourrage Road
Coumarine City,Port Tempères,Temperopoli,Tempera City,Ciudad Témpera,비익시티,ヒヨクシティ,Coumarine City
,,,,,,,
Route 13,Route 13,Percorso 13,Route 13,Ruta 13,13번도로,１３ばんどうろ,Route 13
Lumiose Badlands,Steppe d’Illumis,Landa di Luminopoli,Illumina-Steppe,Páramo de Luminalia,미르 황야,ミアレのこうや,Lumiose Badlands
Route 14,Route 14,Percorso 14,Route 14,Ruta 14,14번도로,１４ばんどうろ,Route 14
Laverre Nature Trail,Laie Romant-ss-Bois,Sentiero Romantopoli,Romantia-Waldweg,Arboleda Romantis,후늬 임도,クノエのりんどう,Laverre Nature Trail
Laverre City,Romant-sous-Bois,Romantopoli,Romantia City,Ciudad Romantis,후늬시티,クノエシティ,Laverre City
,,,,,,,
Poké Ball Factory,Usine de Poké Balls,Fabbrica Poké Ball,Pokéball-Fabrik,Fábrica Poké Balls,볼 공장,ボールこうじょう,Poké Ball Factory
,,,,,,,
Route 15,Route 15,Percorso 15,Route 15,Ruta 15,15번도로,１５ばんどうろ,Route 15
Brun Way,Chemin Brun,Via Fogliebrune,Brun-Weg,Sendero Hojarasca,브렁 도로,ブランどおり,Brun Way
Dendemille Town,La Frescale,Frescovilla,Frescora,Pueblo Fresco,버들비마을,フウジョタウン,Dendemille Town
,,,,,,,
Route 16,Route 16,Percorso 16,Route 16,Ruta 16,16번도로,１６ばんどうろ,Route 16
Mélancolie Path,Chemin Tristesse,Via Malinconia,Tristesse-Weg,Senda Melancolía,트리스트 도로,トリストどおり,Mélancolie Path
[~ 80],[~ 80],[~ 80],[~ 80],[~ 80],[~ 80],[~ 80],[~ 80]
[~ 81],[~ 81],[~ 81],[~ 81],[~ 81],[~ 81],[~ 81],[~ 81]
Frost Cavern,Caverne Gelée,Caverna Gelata,Frosthöhle,Gruta Helada,프로스트케이브,フロストケイブ,Frost Cavern
,,,,,,,
Route 17,Route 17,Percorso 17,Route 17,Ruta 17,17번도로,１７ばんどうろ,Route 17
Mamoswine Road,Route Mammochon,Passo Mamoswine,Mamutel-Weg,Sendero Mamoswine,맘모꾸리로드,マンムーロード,Mamoswine Road
Anistar City,Flusselles,Fluxopoli,Fluxia City,Ciudad Fluxus,향전시티,ヒャッコクシティ,Anistar City
,,,,,,,
Route 18,Route 18,Percorso 18,Route 18,Ruta 18,18번도로,１８ばんどうろ,Route 18
