en,fr,it,de,es,ko,kana,pt
None,???,Niente,Nichts,Ningún objeto,없음,なし,None
Master Balls,Master Balls,Master Ball,Meisterbälle,Master Balls,마스터볼,マスターボール,Master Balls
Ultra Balls,Hyper Balls,Ultra Ball,Hyperbälle,Ultra Balls,하이퍼볼,ハイパーボール,Ultra Balls
Great Balls,Super Balls,Mega Ball,Superbälle,Super Balls,수퍼볼,スーパーボール,Great Balls
Poké Balls,Poké Balls,Poké Ball,Pokébälle,Poké Balls,몬스터볼,モンスターボール,Poké Balls
Safari Balls,Safari Balls,Safari Ball,Safaribälle,Safari Balls,사파리볼,サファリボール,Safari Balls
Net Balls,Filet Balls,Rete Ball,Netzbälle,Malla Balls,넷트볼,ネットボール,Net Balls
Dive Balls,Scuba Balls,Sub Ball,Tauchbälle,Buceo Balls,다이브볼,ダイブボール,Dive Balls
Nest Balls,Faiblo Balls,Minor Ball,Nestbälle,Nido Balls,네스트볼,ネストボール,Nest Balls
Repeat Balls,Bis Balls,Bis Ball,Wiederbälle,Acopio Balls,리피드볼,リピートボール,Repeat Balls
Timer Balls,Chrono Balls,Timer Ball,Timerbälle,Turno Balls,타이마볼,タイマーボール,Timer Balls
Luxury Balls,Luxe Balls,Chic Ball,Luxusbälle,Lujo Balls,럭셔리볼,ゴージャスボール,Luxury Balls
Premier Balls,Honor Balls,Premier Ball,Premierbälle,Honor Balls,프레미어볼,プレミアボール,Premier Balls
Dusk Balls,Sombre Balls,Scuro Ball,Finsterbälle,Ocaso Balls,다크볼,ダークボール,Dusk Balls
Heal Balls,Soin Balls,Cura Ball,Heilbälle,Sana Balls,힐볼,ヒールボール,Heal Balls
Quick Balls,Rapide Balls,Velox Ball,Flottbälle,Veloz Balls,퀵볼,クイックボール,Quick Balls
Cherish Balls,Mémoire Balls,Pregio Ball,Jubelbälle,Gloria Balls,프레셔스볼,プレシャスボール,Cherish Balls
Potions,Potions,Pozioni,Tränke,Pociones,상처약,キズぐすり,Potions
Antidotes,Antidotes,Antidoti,Gegengifte,Antídotos,해독제,どくけし,Antidotes
Burn Heals,Anti-Brûle,Antiscottatura,Feuerheiler,Antiquemar,화상치료제,やけどなおし,Burn Heals
Ice Heals,Antigels,Antigelo,Eisheiler,Antihielos,얼음상태치료제,こおりなおし,Ice Heals
Awakenings,Réveils,Sveglie,Aufwecker,Despertar,잠깨는약,ねむけざまし,Awakenings
Paralyze Heals,Anti-Para,Antiparalisi,Para-Heiler,Antiparalizadores,마비치료제,まひなおし,Paralyze Heals
Full Restores,Guérisons,Ricariche totali,Top-Genesungen,Restaurar Todo,회복약,かいふくのくすり,Full Restores
Max Potions,Potions Max,Pozioni Max,Top-Tränke,Pociones Máximas,풀회복약,まんたんのくすり,Max Potions
Hyper Potions,Hyper Potions,Iperpozioni,Hypertränke,Hiperpociones,고급상처약,すごいキズぐすり,Hyper Potions
Super Potions,Super Potions,Superpozioni,Supertränke,Superpociones,좋은상처약,いいキズぐすり,Super Potions
Full Heals,Total Soins,Cure totali,Hyperheiler,Curas Totales,만병통치제,なんでもなおし,Full Heals
Revives,Rappels,Revitalizzanti,Beleber,Revivir,기력의조각,げんきのかけら,Revives
Max Revives,Rappels Max,Revitalizz. Max,Top-Beleber,Revivir Máximos,기력의덩어리,げんきのかたまり,Max Revives
Fresh Waters,Eaux Fraîches,Acqua fresca,Tafelwässer,Aguas Frescas,맛있는물,おいしいみず,Fresh Waters
Soda Pops,Sodas Cool,Gassose,Sprudel,Refrescos,미네랄사이다,サイコソーダ,Soda Pops
Lemonades,Limonades,Lemonsucchi,Limonaden,Limonadas,후르츠밀크,ミックスオレ,Lemonades
Moomoo Milks,Laits Meumeu,Latte Mumu,Kuhmuh-Milch,Leches Mu-mu,튼튼밀크,モーモーミルク,Moomoo Milks
Energy Powders,Poudrénergies,Polvenergie,Energiestäube,Polvos Energía,힘의가루,ちからのこな,Energy Powders
Energy Roots,Racinénergies,Radicenergie,Kraftwurzeln,Raíces Energía,힘의뿌리,ちからのねっこ,Energy Roots
Heal Powders,Poudres Soin,Polvocure,Heilpuder,Polvos Curación,만능가루,ばんのうごな,Heal Powders
Revival Herbs,Herbes Rappel,Vitalerbe,Vitalkräuter,Hierbas Revivir,부활초,ふっかつそう,Revival Herbs
Ethers,Huiles,Etere,Äther,Éteres,PP에이드,ピーピーエイド,Ethers
Max Ethers,Huiles Max,Etere Max,Top-Äther,Éteres Máximos,PP회복,ピーピーリカバー,Max Ethers
