en,fr,it,de,es,ko,kana,pt
None,Aucun objet,Niente,Kein Item,Ningún objeto,없음,なし,None
Master Ball,Master Ball,Master Ball,Meisterball,Master Ball,마스터볼,マスターボール,Master Ball
Ultra Ball,Hyper Ball,Ultra Ball,Hyperball,Ultra Ball,하이퍼볼,ハイパーボール,Ultra Ball
Great Ball,Super Ball,Mega Ball,Superball,Super Ball,수퍼볼,スーパーボール,Great Ball
Poké Ball,Poké Ball,Poké Ball,Pokéball,Poké Ball,몬스터볼,モンスターボール,Poké Ball
Safari Ball,Safari Ball,Safari Ball,Safariball,Safari Ball,사파리볼,サファリボール,Safari Ball
Net Ball,Filet Ball,Rete Ball,Netzball,Malla Ball,넷트볼,ネットボール,Net Ball
Dive Ball,Scuba Ball,Sub Ball,Tauchball,Buceo Ball,다이브볼,ダイブボール,Dive Ball
Nest Ball,Faiblo Ball,Minor Ball,Nestball,Nido Ball,네스트볼,ネストボール,Nest Ball
Repeat Ball,Bis Ball,Bis Ball,Wiederball,Acopio Ball,리피드볼,リピートボール,Repeat Ball
Timer Ball,Chrono Ball,Timer Ball,Timerball,Turno Ball,타이마볼,タイマーボール,Timer Ball
Luxury Ball,Luxe Ball,Chic Ball,Luxusball,Lujo Ball,럭셔리볼,ゴージャスボール,Luxury Ball
Premier Ball,Honor Ball,Premier Ball,Premierball,Honor Ball,프레미어볼,プレミアボール,Premier Ball
Dusk Ball,Sombre Ball,Scuro Ball,Finsterball,Ocaso Ball,다크볼,ダークボール,Dusk Ball
Heal Ball,Soin Ball,Cura Ball,Heilball,Sana Ball,힐볼,ヒールボール,Heal Ball
Quick Ball,Rapide Ball,Velox Ball,Flottball,Veloz Ball,퀵볼,クイックボール,Quick Ball
Cherish Ball,Mémoire Ball,Pregio Ball,Jubelball,Gloria Ball,프레셔스볼,プレシャスボール,Cherish Ball
Potion,Potion,Pozione,Trank,Poción,상처약,キズぐすり,Potion
Antidote,Antidote,Antidoto,Gegengift,Antídoto,해독제,どくけし,Antidote
Burn Heal,Anti-Brûle,Antiscottatura,Feuerheiler,Antiquemar,화상치료제,やけどなおし,Burn Heal
Ice Heal,Antigel,Antigelo,Eisheiler,Antihielo,얼음상태치료제,こおりなおし,Ice Heal
Awakening,Réveil,Sveglia,Aufwecker,Despertar,잠깨는약,ねむけざまし,Awakening
Paralyze Heal,Anti-Para,Antiparalisi,Para-Heiler,Antiparalizador,마비치료제,まひなおし,Paralyze Heal
Full Restore,Guérison,Ricarica totale,Top-Genesung,Restaurar Todo,회복약,かいふくのくすり,Full Restore
Max Potion,Potion Max,Pozione Max,Top-Trank,Poción Máxima,풀회복약,まんたんのくすり,Max Potion
Hyper Potion,Hyper Potion,Iperpozione,Hypertrank,Hiperpoción,고급상처약,すごいキズぐすり,Hyper Potion
Super Potion,Super Potion,Superpozione,Supertrank,Superpoción,좋은상처약,いいキズぐすり,Super Potion
Full Heal,Total Soin,Cura totale,Hyperheiler,Cura Total,만병통치제,なんでもなおし,Full Heal
Revive,Rappel,Revitalizzante,Beleber,Revivir,기력의조각,げんきのかけら,Revive
Max Revive,Rappel Max,Revitalizz. Max,Top-Beleber,Revivir Máximo,기력의덩어리,げんきのかたまり,Max Revive
Fresh Water,Eau Fraîche,Acqua fresca,Tafelwasser,Agua Fresca,맛있는물,おいしいみず,Fresh Water
Soda Pop,Soda Cool,Gassosa,Sprudel,Refresco,미네랄사이다,サイコソーダ,Soda Pop
Lemonade,Limonade,Lemonsucco,Limonade,Limonada,후르츠밀크,ミックスオレ,Lemonade
Moomoo Milk,Lait Meumeu,Latte Mumu,Kuhmuh-Milch,Leche Mu-mu,튼튼밀크,モーモーミルク,Moomoo Milk
Energy Powder,Poudrénergie,Polvenergia,Energiestaub,Polvo Energía,힘의가루,ちからのこな,Energy Powder
Energy Root,Racinénergie,Radicenergia,Kraftwurzel,Raíz Energía,힘의뿌리,ちからのねっこ,Energy Root
Heal Powder,Poudre Soin,Polvocura,Heilpuder,Polvo Curación,만능가루,ばんのうごな,Heal Powder
Revival Herb,Herbe Rappel,Vitalerba,Vitalkraut,Hierba Revivir,부활초,ふっかつそう,Revival Herb
Ether,Huile,Etere,Äther,Éter,PP에이드,ピーピーエイド,Ether
Max Ether,Huile Max,Etere Max,Top-Äther,Éter Máximo,PP회복,ピーピーリカバー,Max Ether
Elixir,Élixir,Elisir,Elixier,Elixir,PP에이더,ピーピーエイダー,Elixir
Max Elixir,Élixir Max,Elisir Max,Top-Elixier,Elixir Máximo,PP맥스,ピーピーマックス,Max Elixir
Lava Cookie,Lava Cookie,Lavottino,Lavakeks,Galleta Lava,용암전병,フエンせんべい,Lava Cookie
Berry Juice,Jus de Baie,Succodibacca,Beerensaft,Zumo de Baya,나무열매쥬스,きのみジュース,Berry Juice
Sacred Ash,Cendre Sacrée,Ceneremagica,Zauberasche,Ceniza Sagrada,성스러운분말,せいなるはい,Sacred Ash
HP Up,PV Plus,PS-Su,KP-Plus,Más PS,맥스업,マックスアップ,HP Up
Protein,Protéine,Proteina,Protein,Proteína,타우린,タウリン,Protein
Iron,Fer,Ferro,Eisen,Hierro,사포닌,ブロムヘキシン,Iron
Carbos,Carbone,Carburante,Carbon,Carburante,알칼로이드,インドメタシン,Carbos
Calcium,Calcium,Calcio,Kalzium,Calcio,리보플라빈,リゾチウム,Calcium
Rare Candy,Super Bonbon,Caramella rara,Sonderbonbon,Caramelo Raro,이상한사탕,ふしぎなアメ,Rare Candy
PP Up,PP Plus,PP-Su,AP-Plus,Más PP,포인트업,ポイントアップ,PP Up
Zinc,Zinc,Zinco,Zink,Zinc,키토산,キトサン,Zinc
PP Max,PP Max,PP-Max,AP-Top,PP Máximos,포인트맥스,ポイントマックス,PP Max
Old Gateau,Vieux Gâteau,Dolce Gateau,Spezialität,Barrita Plus,숲의양갱,もりのヨウカン,Old Gateau
Guard Spec.,Garde-Stats,Superguardia,Megablock,Protección X,이펙트가드,エフェクトガード,Guard Spec.
Dire Hit,Muscle +,Supercolpo,Angriffplus,Crítico X,크리티컬커터,クリティカット,Dire Hit
X Attack,Attaque +,Attacco X,X-Angriff,Ataque X,플러스파워,プラスパワー,X Attack
X Defense,Défense +,Difesa X,X-Verteidigung,Defensa X,디펜드업,ディフェンダー,X Defense
X Speed,Vitesse +,Velocità X,X-Initiative,Velocidad X,스피드업,スピーダー,X Speed
X Accuracy,Précision +,Precisione X,X-Genauigkeit,Precisión X,잘-맞히기,ヨクアタール,X Accuracy
X Sp. Atk,Atq. Spé. +,Att. Speciale X,X-Sp.-Ang.,At. Especial X,스페셜업,スペシャルアップ,X Sp. Atk
X Sp. Def,Déf. Spé. +,Dif. Speciale X,X-Sp.-Vert.,Def. Especial X,스페셜가드,スペシャルガード,X Sp. Def
Poké Doll,Poké Poupée,Poké Bambola,Poképuppe,Poké Muñeco,삐삐인형,ピッピにんぎょう,Poké Doll
Fluffy Tail,Queue Skitty,Coda Skitty,Eneco-Rute,Cola Skitty,에나비꼬리,エネコのシッポ,Fluffy Tail
Blue Flute,Flûte Bleue,Flauto Blu,Blaue Flöte,Flauta Azul,파랑비드로,あおいビードロ,Blue Flute
Yellow Flute,Flûte Jaune,Flauto Giallo,Gelbe Flöte,Flauta Amarilla,노랑비드로,きいろビードロ,Yellow Flute
Red Flute,Flûte Rouge,Flauto Rosso,Rote Flöte,Flauta Roja,빨강비드로,あかいビードロ,Red Flute
Black Flute,Flûte Noire,Flauto Nero,Schwarze Flöte,Flauta Negra,검정비드로,くろいビードロ,Black Flute
White Flute,Flûte Blanche,Flauto Bianco,Weiße Flöte,Flauta Blanca,하양비드로,しろいビードロ,White Flute
Shoal Salt,Sel Tréfonds,Sale Ondoso,Küstensalz,Sal Cardumen,여울소금,あさせのしお,Shoal Salt
Shoal Shell,CoquilleTréfonds,Gusciondoso,Küstenschale,Concha Cardumen,여울조개껍질,あさせのかいがら,Shoal Shell
Red Shard,Tesson Rouge,Coccio Rosso,Purpurstück,Parte Roja,빨강조각,あかいかけら,Red Shard
Blue Shard,Tesson Bleu,Coccio Blu,Indigostück,Parte Azul,파랑조각,あおいかけら,Blue Shard
Yellow Shard,Tesson Jaune,Coccio Giallo,Gelbstück,Parte Amarilla,노랑조각,きいろいかけら,Yellow Shard
Green Shard,Tesson Vert,Coccio Verde,Grünstück,Parte Verde,초록조각,みどりのかけら,Green Shard
Super Repel,Super Repousse,Superrepellente,Superschutz,Superrepelente,실버스프레이,シルバースプレー,Super Repel
Max Repel,Repousse Max,Repellente Max,Top-Schutz,Repelente Máximo,골드스프레이,ゴールドスプレー,Max Repel
Escape Rope,Corde Sortie,Fune di fuga,Fluchtseil,Cuerda Huida,동굴탈출로프,あなぬけのヒモ,Escape Rope
Repel,Repousse,Repellente,Schutz,Repelente,벌레회피스프레이,むしよけスプレー,Repel
Sun Stone,Pierre Soleil,Pietrasolare,Sonnenstein,Piedra Solar,태양의돌,たいようのいし,Sun Stone
Moon Stone,Pierre Lune,Pietralunare,Mondstein,Piedra Lunar,달의돌,つきのいし,Moon Stone
Fire Stone,Pierre Feu,Pietrafocaia,Feuerstein,Piedra Fuego,불꽃의돌,ほのおのいし,Fire Stone
Thunder Stone,Pierre Foudre,Pietratuono,Donnerstein,Piedra Trueno,천둥의돌,かみなりのいし,Thunder Stone
Water Stone,Pierre Eau,Pietraidrica,Wasserstein,Piedra Agua,물의돌,みずのいし,Water Stone
Leaf Stone,Pierre Plante,Pietrafoglia,Blattstein,Piedra Hoja,리프의돌,リーフのいし,Leaf Stone
Tiny Mushroom,Petit Champi,Minifungo,Minipilz,Miniseta,작은버섯,ちいさなキノコ,Tiny Mushroom
Big Mushroom,Gros Champi,Grande Fungo,Riesenpilz,Seta Grande,큰버섯,おおきなキノコ,Big Mushroom
