en,fr,it,de,es,ko,kana,pt
Hardy,Hardi,Ardita,Robust,fuerte,노력,がんばりや,Hardy
Lonely,Solo,Schiva,Solo,huraña,외로움,さみしがり,Lonely
Brave,Brave,Audace,Mutig,audaz,용감,ゆうかん,Brave
Adamant,Rigide,Decisa,Hart,firme,고집,いじっぱり,Adamant
Naughty,Mauvais,Birbona,Frech,pícara,개구쟁이,やんちゃ,Naughty
Bold,Assuré,Sicura,Kühn,osada,대담,ずぶとい,Bold
Docile,Docile,Docile,Sanft,dócil,온순,すなお,Docile
Relaxed,Relax,Placida,Locker,plácida,무사태평,のんき,Relaxed
Impish,Malin,Scaltra,Pfiffig,agitada,장난꾸러기,わんぱく,Impish
Lax,Lâche,Fiacca,Lasch,floja,촐랑,のうてんき,Lax
Timid,Timide,Timida,Scheu,miedosa,겁쟁이,おくびょう,Timid
Hasty,Pressé,Lesta,Hastig,activa,성급,せっかち,Hasty
Serious,Sérieux,Seria,Ernst,seria,성실,まじめ,Serious
Jolly,Jovial,Allegra,Froh,alegre,명랑,ようき,Jolly
Naive,Naïf,Ingenua,Naiv,ingenua,천진난만,むじゃき,Naive
Modest,Modeste,Modesta,Mäßig,modesta,조심,ひかえめ,Modest
Mild,Doux,Mite,Mild,afable,의젓,おっとり,Mild
Quiet,Discret,Quieta,Ruhig,mansa,냉정,れいせい,Quiet
Bashful,Pudique,Ritrosa,Zaghaft,tímida,수줍음,てれや,Bashful
Rash,Foufou,Ardente,Hitzig,alocada,덜렁,うっかりや,Rash
Calm,Calme,Calma,Still,serena,차분,おだやか,Calm
Gentle,Gentil,Gentile,Zart,amable,얌전,おとなしい,Gentle
Sassy,Malpoli,Vivace,Forsch,grosera,건방,なまいき,Sassy
Careful,Prudent,Cauta,Sacht,cauta,신중,しんちょう,Careful
Quirky,Bizarre,Furba,Kauzig,rara,변덕,きまぐれ,Quirky
[~ 25],[~ 25],[~ 25],[~ 25],[~ 25],[~ 25],[~ 25],[~ 25]
