en,fr,it,de,es,ko,kana,pt
Abomasnow,Blizzaroi,Abomasnow,Rexblisar,Abomasnow,눈설왕,ユキノオー,Abomasnow
Abomasnow,Blizzaroi,Abomasnow,Rexblisar,Abomasnow,눈설왕,ユキノオー,Abomasnow
Abra,Abra,Abra,Abra,Abra,캐이시,ケーシィ,Abra
Absol,Absol,Absol,Absol,Absol,앱솔,アブソル,Absol
Absol,Absol,Absol,Absol,Absol,앱솔,アブソル,Absol
Accelgor,Limaspeed,Accelgor,Hydragil,Accelgor,어지리더,アギルダー,Accelgor
Aegislash,Exagide,Aegislash,Durengard,Aegislash,킬가르도,ギルガルド,Aegislash
Aegislash,Exagide,Aegislash,Durengard,Aegislash,킬가르도,ギルガルド,Aegislash
Aegislash,Exagide,Aegislash,Durengard,Aegislash,킬가르도,ギルガルド,Aegislash
Aerodactyl,Ptéra,Aerodactyl,Aerodactyl,Aerodactyl,프테라,プテラ,Aerodactyl
Aerodactyl,Ptéra,Aerodactyl,Aerodactyl,Aerodactyl,프테라,プテラ,Aerodactyl
Aggron,Galeking,Aggron,Stolloss,Aggron,보스로라,ボスゴドラ,Aggron
Aggron,Galeking,Aggron,Stolloss,Aggron,보스로라,ボスゴドラ,Aggron
Aipom,Capumain,Aipom,Griffel,Aipom,에이팜,エイパム,Aipom
Alakazam,Alakazam,Alakazam,Simsala,Alakazam,후딘,フーディン,Alakazam
Alakazam,Alakazam,Alakazam,Simsala,Alakazam,후딘,フーディン,Alakazam
Alomomola,Mamanbo,Alomomola,Mamolida,Alomomola,맘복치,ママンボウ,Alomomola
Altaria,Altaria,Altaria,Altaria,Altaria,파비코리,チルタリス,Altaria
Altaria,Altaria,Altaria,Altaria,Altaria,파비코리,チルタリス,Altaria
Amaura,Amagara,Amaura,Amarino,Amaura,아마루스,アマルス,Amaura
Ambipom,Capidextre,Ambipom,Ambidiffel,Ambipom,겟핸보숭,エテボース,Ambipom
Amoonguss,Gaulet,Amoonguss,Hutsassa,Amoonguss,뽀록나,モロバレル,Amoonguss
Ampharos,Pharamp,Ampharos,Ampharos,Ampharos,전룡,デンリュウ,Ampharos
Ampharos,Pharamp,Ampharos,Ampharos,Ampharos,전룡,デンリュウ,Ampharos
Anorith,Anorith,Anorith,Anorith,Anorith,아노딥스,アノプス,Anorith
Araquanid,Tarenbulle,Araquanid,Aranestro,Araquanid,깨비물거미,オニシズクモ,Araquanid
Arbok,Arbok,Arbok,Arbok,Arbok,아보크,アーボック,Arbok
Arcanine,Arcanin,Arcanine,Arkani,Arcanine,윈디,ウインディ,Arcanine
Arceus,Arceus,Arceus,Arceus,Arceus,아르세우스,アルセウス,Arceus
Arceus,Arceus,Arceus,Arceus,Arceus,아르세우스,アルセウス,Arceus
Arceus,Arceus,Arceus,Arceus,Arceus,아르세우스,アルセウス,Arceus
Arceus,Arceus,Arceus,Arceus,Arceus,아르세우스,アルセウス,Arceus
Arceus,Arceus,Arceus,Arceus,Arceus,아르세우스,アルセウス,Arceus
Arceus,Arceus,Arceus,Arceus,Arceus,아르세우스,アルセウス,Arceus
Arceus,Arceus,Arceus,Arceus,Arceus,아르세우스,アルセウス,Arceus
Arceus,Arceus,Arceus,Arceus,Arceus,아르세우스,アルセウス,Arceus
Arceus,Arceus,Arceus,Arceus,Arceus,아르세우스,アルセウス,Arceus
Arceus,Arceus,Arceus,Arceus,Arceus,아르세우스,アルセウス,Arceus
Arceus,Arceus,Arceus,Arceus,Arceus,아르세우스,アルセウス,Arceus
Arceus,Arceus,Arceus,Arceus,Arceus,아르세우스,アルセウス,Arceus
Arceus,Arceus,Arceus,Arceus,Arceus,아르세우스,アルセウス,Arceus
Arceus,Arceus,Arceus,Arceus,Arceus,아르세우스,アルセウス,Arceus
Arceus,Arceus,Arceus,Arceus,Arceus,아르세우스,アルセウス,Arceus
