en,fr,it,de,es,ko,kana,pt
Egg,Œuf,Uovo,Ei,Huevo,알,タマゴ,Egg
Bulbasaur,Bulbizarre,Bulbasaur,Bisasam,Bulbasaur,이상해씨,フシギダネ,Bulbasaur
Ivysaur,Herbizarre,Ivysaur,Bisaknosp,Ivysaur,이상해풀,フシギソウ,Ivysaur
Venusaur,Florizarre,Venusaur,Bisaflor,Venusaur,이상해꽃,フシギバナ,Venusaur
Charmander,Salamèche,Charmander,Glumanda,Charmander,파이리,ヒトカゲ,Charmander
Charmeleon,Reptincel,Charmeleon,Glutexo,Charmeleon,리자드,リザード,Charmeleon
Charizard,Dracaufeu,Charizard,Glurak,Charizard,리자몽,リザードン,Charizard
Squirtle,Carapuce,Squirtle,Schiggy,Squirtle,꼬부기,ゼニガメ,Squirtle
Wartortle,Carabaffe,Wartortle,Schillok,Wartortle,어니부기,カメール,Wartortle
Blastoise,Tortank,Blastoise,Turtok,Blastoise,거북왕,カメックス,Blastoise
Caterpie,Chenipan,Caterpie,Raupy,Caterpie,캐터피,キャタピー,Caterpie
Metapod,Chrysacier,Metapod,Safcon,Metapod,단데기,トランセル,Metapod
Butterfree,Papilusion,Butterfree,Smettbo,Butterfree,버터플,バタフリー,Butterfree
Weedle,Aspicot,Weedle,Hornliu,Weedle,뿔충이,ビードル,Weedle
Kakuna,Coconfort,Kakuna,Kokuna,Kakuna,딱충이,コクーン,Kakuna
Beedrill,Dardargnan,Beedrill,Bibor,Beedrill,독침붕,スピアー,Beedrill
Pidgey,Roucool,Pidgey,Taubsi,Pidgey,구구,ポッポ,Pidgey
Pidgeotto,Roucoups,Pidgeotto,Tauboga,Pidgeotto,피죤,ピジョン,Pidgeotto
Pidgeot,Roucarnage,Pidgeot,Tauboss,Pidgeot,피죤투,ピジョット,Pidgeot
Rattata,Rattata,Rattata,Rattfratz,Rattata,꼬렛,コラッタ,Rattata
Raticate,Rattatac,Raticate,Rattikarl,Raticate,레트라,ラッタ,Raticate
Spearow,Piafabec,Spearow,Habitak,Spearow,깨비참,オニスズメ,Spearow
Fearow,Rapasdepic,Fearow,Ibitak,Fearow,깨비드릴조,オニドリル,Fearow
Ekans,Abo,Ekans,Rettan,Ekans,아보,アーボ,Ekans
Arbok,Arbok,Arbok,Arbok,Arbok,아보크,アーボック,Arbok
Pikachu,Pikachu,Pikachu,Pikachu,Pikachu,피카츄,ピカチュウ,Pikachu
Raichu,Raichu,Raichu,Raichu,Raichu,라이츄,ライチュウ,Raichu
Sandshrew,Sabelette,Sandshrew,Sandan,Sandshrew,모래두지,サンド,Sandshrew
Sandslash,Sablaireau,Sandslash,Sandamer,Sandslash,고지,サンドパン,Sandslash
Nidoran♀,Nidoran♀,Nidoran♀,Nidoran♀,Nidoran♀,니드런♀,ニドラン♀,Nidoran♀
Nidorina,Nidorina,Nidorina,Nidorina,Nidorina,니드리나,ニドリーナ,Nidorina
Nidoqueen,Nidoqueen,Nidoqueen,Nidoqueen,Nidoqueen,니드퀸,ニドクイン,Nidoqueen
Nidoran♂,Nidoran♂,Nidoran♂,Nidoran♂,Nidoran♂,니드런♂,ニドラン♂,Nidoran♂
Nidorino,Nidorino,Nidorino,Nidorino,Nidorino,니드리노,ニドリーノ,Nidorino
Nidoking,Nidoking,Nidoking,Nidoking,Nidoking,니드킹,ニドキング,Nidoking
Clefairy,Mélofée,Clefairy,Piepi,Clefairy,삐삐,ピッピ,Clefairy
Clefable,Mélodelfe,Clefable,Pixi,Clefable,픽시,ピクシー,Clefable
Vulpix,Goupix,Vulpix,Vulpix,Vulpix,식스테일,ロコン,Vulpix
Ninetales,Feunard,Ninetales,Vulnona,Ninetales,나인테일,キュウコン,Ninetales
Jigglypuff,Rondoudou,Jigglypuff,Pummeluff,Jigglypuff,푸린,プリン,Jigglypuff
Wigglytuff,Grodoudou,Wigglytuff,Knuddeluff,Wigglytuff,푸크린,プクリン,Wigglytuff
Zubat,Nosferapti,Zubat,Zubat,Zubat,주뱃,ズバット,Zubat
Golbat,Nosferalto,Golbat,Golbat,Golbat,골뱃,ゴルバット,Golbat
Oddish,Mystherbe,Oddish,Myrapla,Oddish,뚜벅쵸,ナゾノクサ,Oddish
Gloom,Ortide,Gloom,Duflor,Gloom,냄새꼬,クサイハナ,Gloom
Vileplume,Rafflesia,Vileplume,Giflor,Vileplume,라플레시아,ラフレシア,Vileplume
Paras,Paras,Paras,Paras,Paras,파라스,パラス,Paras
Parasect,Parasect,Parasect,Parasek,Parasect,파라섹트,パラセクト,Parasect
Venonat,Mimitoss,Venonat,Bluzuk,Venonat,콘팡,コンパン,Venonat
Venomoth,Aéromite,Venomoth,Omot,Venomoth,도나리,モルフォン,Venomoth
Diglett,Taupiqueur,Diglett,Digda,Diglett,디그다,ディグダ,Diglett
Dugtrio,Triopikeur,Dugtrio,Digdri,Dugtrio,닥트리오,ダグトリオ,Dugtrio
Meowth,Miaouss,Meowth,Mauzi,Meowth,나옹,ニャース,Meowth
Persian,Persian,Persian,Snobilikat,Persian,페르시온,ペルシアン,Persian
Psyduck,Psykokwak,Psyduck,Enton,Psyduck,고라파덕,コダック,Psyduck
Golduck,Akwakwak,Golduck,Entoron,Golduck,골덕,ゴルダック,Golduck
Mankey,Férosinge,Mankey,Menki,Mankey,망키,マンキー,Mankey
Primeape,Colossinge,Primeape,Rasaff,Primeape,성원숭,オコリザル,Primeape
Growlithe,Caninos,Growlithe,Fukano,Growlithe,가디,ガーディ,Growlithe
Arcanine,Arcanin,Arcanine,Arkani,Arcanine,윈디,ウインディ,Arcanine
Poliwag,Ptitard,Poliwag,Quapsel,Poliwag,발챙이,ニョロモ,Poliwag
Poliwhirl,Têtarte,Poliwhirl,Quaputzi,Poliwhirl,슈륙챙이,ニョロゾ,Poliwhirl
Poliwrath,Tartard,Poliwrath,Quappo,Poliwrath,강챙이,ニョロボン,Poliwrath
Abra,Abra,Abra,Abra,Abra,캐이시,ケーシィ,Abra
Kadabra,Kadabra,Kadabra,Kadabra,Kadabra,윤겔라,ユンゲラー,Kadabra
Alakazam,Alakazam,Alakazam,Simsala,Alakazam,후딘,フーディン,Alakazam
Machop,Machoc,Machop,Machollo,Machop,알통몬,ワンリキー,Machop
Machoke,Machopeur,Machoke,Maschock,Machoke,근육몬,ゴーリキー,Machoke
Machamp,Mackogneur,Machamp,Machomei,Machamp,괴력몬,カイリキー,Machamp
Bellsprout,Chétiflor,Bellsprout,Knofensa,Bellsprout,모다피,マダツボミ,Bellsprout
Weepinbell,Boustiflor,Weepinbell,Ultrigaria,Weepinbell,우츠동,ウツドン,Weepinbell
Victreebel,Empiflor,Victreebel,Sarzenia,Victreebel,우츠보트,ウツボット,Victreebel
Tentacool,Tentacool,Tentacool,Tentacha,Tentacool,왕눈해,メノクラゲ,Tentacool
Tentacruel,Tentacruel,Tentacruel,Tentoxa,Tentacruel,독파리,ドククラゲ,Tentacruel
Geodude,Racaillou,Geodude,Kleinstein,Geodude,꼬마돌,イシツブテ,Geodude
Graveler,Gravalanch,Graveler,Georok,Graveler,데구리,ゴローン,Graveler
Golem,Grolem,Golem,Geowaz,Golem,딱구리,ゴローニャ,Golem
Ponyta,Ponyta,Ponyta,Ponita,Ponyta,포니타,ポニータ,Ponyta
Rapidash,Galopa,Rapidash,Gallopa,Rapidash,날쌩마,ギャロップ,Rapidash
Slowpoke,Ramoloss,Slowpoke,Flegmon,Slowpoke,야돈,ヤドン,Slowpoke
Slowbro,Flagadoss,Slowbro,Lahmus,Slowbro,야도란,ヤドラン,Slowbro
Magnemite,Magnéti,Magnemite,Magnetilo,Magnemite,코일,コイル,Magnemite
Magneton,Magnéton,Magneton,Magneton,Magneton,레어코일,レアコイル,Magneton
Farfetch’d,Canarticho,Farfetch’d,Porenta,Farfetch’d,파오리,カモネギ,Farfetch’d
Doduo,Doduo,Doduo,Dodu,Doduo,두두,ドードー,Doduo
Dodrio,Dodrio,Dodrio,Dodri,Dodrio,두트리오,ドードリオ,Dodrio
Seel,Otaria,Seel,Jurob,Seel,쥬쥬,パウワウ,Seel
Dewgong,Lamantine,Dewgong,Jugong,Dewgong,쥬레곤,ジュゴン,Dewgong
Grimer,Tadmorv,Grimer,Sleima,Grimer,질퍽이,ベトベター,Grimer
Muk,Grotadmorv,Muk,Sleimok,Muk,질뻐기,ベトベトン,Muk
Shellder,Kokiyas,Shellder,Muschas,Shellder,셀러,シェルダー,Shellder
Cloyster,Crustabri,Cloyster,Austos,Cloyster,파르셀,パルシェン,Cloyster
Gastly,Fantominus,Gastly,Nebulak,Gastly,고오스,ゴース,Gastly
Haunter,Spectrum,Haunter,Alpollo,Haunter,고우스트,ゴースト,Haunter
Gengar,Ectoplasma,Gengar,Gengar,Gengar,팬텀,ゲンガー,Gengar
Onix,Onix,Onix,Onix,Onix,롱스톤,イワーク,Onix
Drowzee,Soporifik,Drowzee,Traumato,Drowzee,슬리프,スリープ,Drowzee
Hypno,Hypnomade,Hypno,Hypno,Hypno,슬리퍼,スリーパー,Hypno
