en,fr,it,de,es,ko,kana,pt
My Raticate is the strongest AND the fastest of all Raticate!,Mon Rattatac est le plus fort ET le plus rapide des Rattatac !,[~ 0],[~ 0],[~ 0],[~ 0],[~ 0],My Raticate is the strongest AND the fastest of all Raticate!
You couldn't do anything against the winner of the tournament!,Tu ne pouvais rien contre la vainqueur du tournoi !,,,,,,You couldn't do anything against the winner of the tournament!
The rain of your tears flows on the bow of my victorious vessel.,La pluie de tes larmes coule sur la proue de mon victorieux navire.,,,,,,The rain of your tears flows on the bow of my victorious vessel.
My kimono isn't even crumpled!,Mon kimono n'est même pas froissé !,,,,,,My kimono isn't even crumpled!
Were you surprised by the majesty of my Pokémon?,Tu t'es laissé\E surprendre par la majesté de mes Pokémon ?,,,,,,Were you surprised by the majesty of my Pokémon?
Wololo,Wololo,,,,,,Wololo
"An honorable battle, thank you for your efforts.","Un combat honorable, merci pour vos efforts.",,,,,,"An honorable battle, thank you for your efforts."
"Choo choo, heading for Gare de la Victoire!","Tchou tchou, direction gare de la Victoire !",,,,,,"Choo choo, heading for Gare de la Victoire!"
Scoop: the newcomer isn't worth much!,Scoop : \f[la nouvelle arrivante§le nouvel arrivant] ne vaut pas grand chose !,,,,,,Scoop: the newcomer isn't worth much!
"Go back to training and then come see me, I'll be waiting for you.","Retourne t'entrainer puis reviens me voir, je t'attendrai.",,,,,,"Go back to training and then come see me, I'll be waiting for you."
Ouch! You're not such a novice after all...,Outch ! T'es pas si novice que ça en fait...,,,,,,Ouch! You're not such a novice after all...
Did you see the super ability I taught my Meganium?,T'as vu le super talent que j'ai appris à mon Méganium ?,,,,,,Did you see the super ability I taught my Meganium?
Ah! I beat you!,Ah ! Je t'ai battu !,,,,,,Ah! I beat you!
My ambush was successful!,Mon embuscade a fonctionné !,,,,,,My ambush was successful!
,Je crois en la grande résistance de la pierre !,,,,,,
,Même pas besoin de Pokemon insecte !,,,,,,
,Mmm,,,,,,
,Le nombre fait la force !,,,,,,
,"En effet, tu n'étais pas à la hauteur !",,,,,,
,"Je sais, j'ai du talent !",,,,,,
,Je fais le poids !,,,,,,
,Mouhaha !,,,,,,
,"Oui, mou comme une chic !",,,,,,
,On se remet ça quand tu veux !,,,,,,
,"Mélomélo, tu vas au dodo !",,,,,,
,"Je t'ai dis, c'est moi le meilleur !",,,,,,
,"Allez moucheron, rentre chez maman !",,,,,,
,Tu es fort !,,,,,,
,Je crois en la grande résistance de la pierre !,,,,,,
,"Voilà, écrasé comme une mauvaise herbe !",,,,,,
,Je crois en la grande résistance de la pierre !,,,,,,
,Je crois en la grande résistance de la pierre !,,,,,,
,,,,,,,
,,,,,,,
,A moi le butin !,,,,,,
,,,,,,,
,Ton avenir est prometteur !,,,,,,
"Allez moucheron, rentre chez maman !",,"Allez moucheron, rentre chez maman !","Allez moucheron, rentre chez maman !","Allez moucheron, rentre chez maman !","Allez moucheron, rentre chez maman !","Allez moucheron, rentre chez maman !","Allez moucheron, rentre chez maman !"
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
