en,fr,es,it
:[align=center]:\s[i]It's a WII.\s[r],:[align=center]:\s[i]C'est une WII.\s[r],:[align=center]:\s[i]Es una WII.\s[r],:[align=center]:\s[i]È una WII.\s[r]
:[align=center]:\s[i]Would you like to continue resting ?\s[r],:[align=center]:\s[i]Voulez-vous continuer à vous reposer ?\s[r],:[align=center]:\s[i]¿ Quieres seguir descansando ?\s[r],:[align=center]:\s[i]Vuoi continuare a riposarti ?\s[r]
Yes !,Oui !,¡ Sí !,Sì !
No.,Non.,No.,No.
:[align=center]:\s[i]You're in great shape !\s[r],:[align=center]:\s[i]Vous voilà en pleine forme !\s[r],:[align=center]:\s[i]¡ Ya estás en plena forma !\s[r],:[align=center]:\s[i]Ecco che sei in perfetta forma !\s[r]
:[align=center]:\s[i]Do you want to keep resting ?\s[r],:[align=center]:\s[i]Voulez-vous continuer à vous reposer ?\s[r],:[align=center]:\s[i]¿ Quieres seguir descansando ?\s[r],:[align=center]:\s[i]Vuoi continuare a riposarti ?\s[r]
Yes !,Oui !,¡ Sí !,Sì !
No.,Non.,No.,No.
:[align=center]:\s[i]You're in great shape !\s[r],:[align=center]:\s[i]Vous voilà en pleine forme !\s[r],:[align=center]:\s[i]¡ Ya estás en plena forma !\s[r],:[align=center]:\s[i]Ecco che sei in perfetta forma !\s[r]
:[align=center]:\s[i]Would you like to rest ?\s[r],:[align=center]:\s[i]Voulez-vous vous reposer ?\s[r],:[align=center]:\s[i]¿ Quieres descansar ?\s[r],:[align=center]:\s[i]Vuoi riposarti ?\s[r]
Yes !,Oui !,¡ Sí !,Sì !
No.,Non.,No.,No.
:[align=center]:\s[i]You're in great shape !\s[r],:[align=center]:\s[i]Vous voilà en pleine forme !\s[r],:[align=center]:\s[i]¡ Ya estás en plena forma !\s[r],:[align=center]:\s[i]Ecco che sei in perfetta forma !\s[r]
:[align=center]:\s[i]It's [HEURE].\s[r],:[align=center]:\s[i]Il est [HEURE].\s[r],:[align=center]:\s[i]Son las [HEURE].\s[r],:[align=center]:\s[i]Sono le [HEURE].\s[r]
:[align=center]:\s[i]Would you like to watch TV ?\s[r],:[align=center]:\s[i]Voulez vous regarder la télé ?\s[r],:[align=center]:\s[i]¿ Quieres ver la televisión ?\s[r],:[align=center]:\s[i]Vuoi guardare la TV ?\s[r]
Yes !,Oui !,¡ Sí !,Sì !
No.,Non.,No.,No.
"""And that concludes our program on the unsolved mysteries surrounding \c[2]Pokemon\c[0]. \nlSee you tonight at 8 p.m. for the next episode ! \nlDon't forget, it will be an exclusive program, so be sure to tune in. \nlThis is Coupinette Poketoonz live on PokeTV.","""Et voici comment prend fin notre émission sur les mystères non résolus à propos des \c[2]Pokemon\c[0]. \nlJe vous dis à ce soir 20h pour la suite de notre émission ! \nlN'oubliez pas, ce sera une émission exclusive, venez nombreux. \nlC'était Coupinette Poketoonz en direct sur PokeTV.","""Y así termina nuestro programa sobre los misterios sin resolver relacionados con los \c[2]Pokemon\c[0]. \nl¡ Nos vemos esta noche a las 20:00 para continuar con nuestro programa ! \nlNo lo olvidéis, será un programa exclusivo, venid todos. \nlHa sido Coupinette Poketoonz en directo en PokeTV.","""E così si conclude la nostra trasmissione sui misteri irrisolti riguardanti i  \c[2]Pokemon\c[0]. \nlCi vediamo stasera alle 20:00 per la continuazione della nostra trasmissione ! \nlNon dimenticate, sarà una trasmissione esclusiva, venite numerosi. \nlQui è Coupinette Poketoonz in diretta su PokeTV."
"""And that concludes the first part of our show on the unsolved mysteries surrounding \c[2]Pokemon\c[0]. \nlSee you right back after a short commercial break for the rest of our show ! \nlDon't forget, this is an exclusive show. \nlThis is Coupinette Poketoonz live on PokeTV.","""Et voici comment prend fin notre première partie de l'émission sur les mystères non résolus à propos des \c[2]Pokemon\c[0]. \nlJe vous dis à tout de suite après une courte pub pour la suite de notre émission ! \nlN'oubliez pas, c'est une émission exclusive. \nlC'était Coupinette Poketoonz en direct sur PokeTV.","""Y así concluye la primera parte de nuestro programa sobre los misterios sin resolver relacionados con los \c[2]Pokemon\c[0]. \nl¡ Nos vemos en breve, tras un breve corte publicitario, con la continuación de nuestro programa ! \nlNo lo olvidéis, se trata de un programa exclusivo. \nlHa sido Coupinette Poketoonz en directo en PokeTV.","""E così si conclude la prima parte della nostra trasmissione sui misteri irrisolti relativi ai \c[2]Pokemon\c[0]. \nlCi rivediamo tra poco, dopo una breve pausa pubblicitaria, per la seconda parte della nostra trasmissione ! \nlNon dimenticate che si tratta di una trasmissione esclusiva. \nlQui è Coupinette Poketoonz in diretta su PokeTV."
"""And that's how our show on the unsolved mysteries surrounding \c[2]Pokemon\c[0]. \nlSee you next Tuesday at 8 p.m. for the next episode of our show ! \nlDon't forget, it will be an exclusive show, so come one, come all. \nlThis is Coupinette Poketoonz live on PokeTV.","""Et voici comment prend fin notre émission sur les mystères non résolus à propos des \c[2]Pokemon\c[0]. \nlJe vous dis à mardi prochain 20h pour la suite de notre émission ! \nlN'oubliez pas, ce sera une émission exclusive, venez nombreux. \nlC'était Coupinette Poketoonz en direct sur PokeTV.","""Y así termina nuestro programa sobre los misterios sin resolver relacionados con los \c[2]Pokemon\c[0]. \nl¡ Nos vemos el próximo martes a las 20:00 h para continuar con nuestro programa ! \nlNo lo olvidéis, será un programa exclusivo, así que venid todos. \nlHa sido Coupinette Poketoonz en directo en PokeTV.","""E così si conclude la nostra trasmissione sui misteri irrisolti riguardanti i \c[2]Pokemon\c[0]. \nlCi vediamo martedì prossimo alle 20:00 per la prossima puntata ! \nlNon dimenticate, sarà una trasmissione esclusiva, venite numerosi. \nlQui è Coupinette Poketoonz in diretta su PokeTV."
"""And that's how our show on the unsolved mysteries surrounding \c[2]Pokemon\c[0] comes to an end. \nSee you on Tuesday at 8 p.m. for the next episode ! \nDon't forget, it will be an exclusive show, so come one, come all. \nThis is Coupinette Poketoonz live on PokeTV.","""Et voici comment prend fin notre émission sur les mystères non résolus à propos des \c[2]Pokemon\c[0]. \nlJe vous dis à mardi 20h pour la suite de notre émission ! \nlN'oubliez pas, ce sera une émission exclusive, venez nombreux. \nlC'était Coupinette Poketoonz en direct sur PokeTV.","«Y así termina nuestro programa sobre los misterios sin resolver relacionados con los \c[2]Pokémon\c[0]. \nl¡ Nos vemos el martes a las 20:00 h para continuar con nuestro programa ! \nlNo lo olvidéis, será un programa exclusivo, así que venid todos. \nlHa sido Coupinette Poketoonz en directo en PokeTV.","""E così si conclude la nostra trasmissione sui misteri irrisolti riguardanti i \c[2]Pokemon\c[0]. \nlCi vediamo martedì alle 20:00 per la prossima puntata ! \nlNon dimenticate, sarà una trasmissione esclusiva, venite numerosi. \nlQui è Coupinette Poketoonz in diretta su PokeTV."
"See you soon !""","A bientôt !""","¡ Hasta pronto !""","A presto !"""
:[align=center]:\s[i]The TV is off.\s[r],:[align=center]:\s[i]La télé est éteinte.\s[r],:[align=center]:\s[i]La televisión está apagada.\s[r],:[align=center]:\s[i]La TV è spenta.\s[r]
:[align=center]:\s[i]Would you like to watch TV ?\s[r],:[align=center]:\s[i]Voulez vous regarder la télé ?\s[r],:[align=center]:\s[i]¿ Quieres ver la televisión ?\s[r],:[align=center]:\s[i]Vuoi guardare la TV ?\s[r]
Yes !,Oui !,¡ Sí !,Sì !
No.,Non.,No.,No.
"""Hello, everyone ! This is Coupinette Poketoonz live on PokeTV. We have a wonderful evening ahead of us discussing the unsolved mysteries surrounding Pokémon. First, some adventurers talk about a red monster...","""Bonjour à toute et à tous ! Ici Coupinette Poketoonz en direct sur PokeTV. \nlNous avons une magnifique soirée qui nous attend à propos des mystères non résolu sur les \c[2]Pokemon\c[0].\nlDans un premier temps des aventuriers parle d'un monstre rouge...","«¡ Hola a todos ! Aquí Coupinette Poketoonz en directo en PokeTV. \nlNos espera una velada magnífica sobre los misterios sin resolver de los \c[2]Pokémon\c[0].\nlEn primer lugar, unos aventureros hablan de un monstruo rojo...","""Buongiorno a tutti ! Qui è Coupinette Poketoonz in diretta su PokeTV. \nlCi aspetta una serata fantastica dedicata ai misteri irrisolti sui \c[2]Pokemon\c[0].\nlPer prima cosa, alcuni avventurieri parlano di un mostro rosso..."
"According to some people, \nthere is a lmysterious lake in Bombance.",D'après certaines personnes un lac mystérieux \nlexiste à Bombance.,"Según algunas personas, \nlexiste un ago misterioso en Bombance.","Secondo alcune persone, a Bombance \nlesiste un lago misterioso."
