en,fr,es,it
:[align=center]:\s[i]This clock is not working[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10]\s[r],:[align=center]:\s[i]Cette horloge ne fonctionne pas[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10]\s[r],:[align=center]:\s[i]Este reloj no funciona[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10]\s[r],:[align=center]:\s[i]Questo orologio non funziona[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10]\s[r]
:[align=center]:\s[i]That doesn't sound very promising !\s[r],:[align=center]:\s[i]Ça ne brille pas beaucoup tout ça !\s[r],:[align=center]:\s[i]¡ No brilla mucho todo eso !\s[r],:[align=center]:\s[i]Non è poi così brillante !\s[r]
":[name=Ranger Buck]:Hi ! My name is Buck, I'm the head of the rangers. \nlI'm looking for a very valuable book that tells the story of the “Prince of the Seas.” \nlCould you help me find it ? ",":[name=Ranger Buck]:Salut ! Je m'appelle Buck, je suis le chef des rangers. \nlJe cherche à me procurer un livre très précieux racontant l'histoire du “Prince des Mers"".\nlPourrais-tu m'aider à le trouver ? ",":[name=Ranger Buck]:¡ Hola ! Me llamo Buck, soy el jefe de los guardabosques. \nlEstoy buscando un libro muy valioso que cuenta la historia del «Príncipe de los Mares». \nl¿ Podrías ayudarme a encontrarlo ? ",":[name=Ranger Buck]:Ciao ! Mi chiamo Buck, sono il capo dei ranger. \nlSto cercando un libro molto prezioso che racconta la storia del “Principe dei Mari”. \nlPotresti aiutarmi a trovarlo ? "
Yes !,Oui !,¡ Sí !,Sì !
No.,Non.,No.,No.
":[name=Ranger Buck]:I realize I am entrusting you with a difficult task, given that I am not providing you with any clues. \nlHowever, I will reward you generously. ",":[name=Ranger Buck]:Je suis conscient de te confier une tâche difficile, étant donné que je ne te fournis aucun indice. \nlCependant,  je saurai te récompenser généreusement. ",":[name=Ranger Buck]:Soy consciente de que te estoy encargando una tarea difícil, ya que no te estoy dando ninguna pista. \nlSin embargo,  te recompensaré generosamente.  ",":[name=Ranger Buck]:Sono consapevole di affidarti un compito difficile, dato che non ti fornisco alcun indizio. \nlTuttavia, ti ricompenserò generosamente. "
:[name=Ranger Buck]:Good luck ! ,:[name=Ranger Buck]:Bonne chance ! ,:[name=Ranger Buck]:¡ Buena suerte ! ,:[name=Ranger Buck]:Buona fortuna ! 
:[name=Ranger Buck]:Hey! But you don't have any \c[2]Pokemon\c[0]. \nlThis journey is too dangerous if you're not a trainer. \nlCome back and see me when you have a \c[2]Pokemon\c[0].,:[name=Ranger Buck]:Ho ! Mais tu n'as pas de \c[2]Pokemon\c[0]. \nlCe voyage est trop dangereux si tu n'es pas dresseur. \nlReviens me voir quand tu auras un \c[2]Pokemon\c[0].,:[name=Ranger Buck]:¡Eh! Pero tú no tienes ningún \c[2]Pokémon\c[0]. \nlEste viaje es demasiado peligroso si no eres entrenador. \nlVuelve a verme cuando tengas un \c[2]Pokémon\c[0].,:[name=Ranger Buck]:Ehi! Ma tu non hai nessun \c[2]Pokemon\c[0]. \nlQuesto viaggio è troppo pericoloso se non sei un allenatore. \nlTorna a trovarmi quando avrai un \c[2]Pokemon\c[0].
":[name=Ranger Buck]:All right, I'll take my secrets to the grave[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10]",":[name=Ranger Buck]:D'accord, j'emporterai mes secrets dans ma tombe[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10]",":[name=Ranger Buck]:De acuerdo, me llevaré mis secretos a la tumba[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10]",":[name=Ranger Buck]:Va bene, porterò i miei segreti nella tomba[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10]"
:[align=center]:*You give the book to Steven*,:[align=center]:*Vous donnez le livre à Steven*,:[align=center]:*Le das el libro a Steven*,:[align=center]:*Dai il libro a Steven*
