en,fr,es,it
Salut ! \nlJe cherche à avoir plusieurs \c[2]Pokémon\c[0] que l'on ne peut avoir seulement par évolution suite à un échange.\nlJe t'échangerai le même \c[2]Pokémon\c[0] pour que tu puisses également avoir l'évolution  !\nlLequel voudrais-tu que je t'échange ?,Salut ! \nlJe cherche à avoir plusieurs \c[2]Pokémon\c[0] que l'on ne peut avoir seulement par évolution suite à un échange.\nlJe t'échangerai le même \c[2]Pokémon\c[0] pour que tu puisses également avoir l'évolution  !\nlLequel voudrais-tu que je t'échange ?,Salut ! \nlJe cherche à avoir plusieurs \c[2]Pokémon\c[0] que l'on ne peut avoir seulement par évolution suite à un échange.\nlJe t'échangerai le même \c[2]Pokémon\c[0] pour que tu puisses également avoir l'évolution  !\nlLequel voudrais-tu que je t'échange ?,Salut ! \nlJe cherche à avoir plusieurs \c[2]Pokémon\c[0] que l'on ne peut avoir seulement par évolution suite à un échange.\nlJe t'échangerai le même \c[2]Pokémon\c[0] pour que tu puisses également avoir l'évolution  !\nlLequel voudrais-tu que je t'échange ?
"Ca marche ! Vas-y, prends également ton \c[2]Kadabra\c[0].","Ca marche ! Vas-y, prends également ton \c[2]Kadabra\c[0].","Ca marche ! Vas-y, prends également ton \c[2]Kadabra\c[0].","Ca marche ! Vas-y, prends également ton \c[2]Kadabra\c[0]."
"Et voilà, on a un \c[2]Alakazam\c[0] !","Et voilà, on a un \c[2]Alakazam\c[0] !","Et voilà, on a un \c[2]Alakazam\c[0] !","Et voilà, on a un \c[2]Alakazam\c[0] !"
Ce n'est pas le \c[2]Pokémon\c[0] sur lequel on s'est mis d'accord[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10],Ce n'est pas le \c[2]Pokémon\c[0] sur lequel on s'est mis d'accord[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10],Ce n'est pas le \c[2]Pokémon\c[0] sur lequel on s'est mis d'accord[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10],Ce n'est pas le \c[2]Pokémon\c[0] sur lequel on s'est mis d'accord[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10]
Reviens plus tard[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10],Reviens plus tard[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10],Reviens plus tard[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10],Reviens plus tard[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10]
"Ca marche ! Vas-y, prends également ton \c[2]Machopeur\c[0].","Ca marche ! Vas-y, prends également ton \c[2]Machopeur\c[0].","Ca marche ! Vas-y, prends également ton \c[2]Machopeur\c[0].","Ca marche ! Vas-y, prends également ton \c[2]Machopeur\c[0]."
"Et voilà, on a un \c[2]Mackogneur\c[0] !","Et voilà, on a un \c[2]Mackogneur\c[0] !","Et voilà, on a un \c[2]Mackogneur\c[0] !","Et voilà, on a un \c[2]Mackogneur\c[0] !"
Ce n'est pas le \c[2]Pokémon\c[0] sur lequel on s'est mis d'accord[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10],Ce n'est pas le \c[2]Pokémon\c[0] sur lequel on s'est mis d'accord[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10],Ce n'est pas le \c[2]Pokémon\c[0] sur lequel on s'est mis d'accord[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10],Ce n'est pas le \c[2]Pokémon\c[0] sur lequel on s'est mis d'accord[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10]
Reviens plus tard[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10],Reviens plus tard[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10],Reviens plus tard[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10],Reviens plus tard[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10]
"Ca marche ! Vas-y, prends également ton \c[2]Gravalanch\c[0].","Ca marche ! Vas-y, prends également ton \c[2]Gravalanch\c[0].","Ca marche ! Vas-y, prends également ton \c[2]Gravalanch\c[0].","Ca marche ! Vas-y, prends également ton \c[2]Gravalanch\c[0]."
