en,fr,it,de,es,ko,kana,pt
[~0],[~0],[~0],[~0],[~0],[~0],[~0],[~0]
[~1],L'extérieur de la Tour,[~1],[~1],[~1],[~1],[~1],[~1]
[~2],Une petite route côtière ressemblant étrangement à un sentier lointain.,[~2],[~2],[~2],[~2],[~2],[~2]
[~3],,[~3],[~3],[~3],[~3],[~3],[~3]
"La zone centrale de la Tour, où se trouvent toutes les commodités.","La zone centrale de la Tour, où se trouvent toutes les commodités.","La zone centrale de la Tour, où se trouvent toutes les commodités.","La zone centrale de la Tour, où se trouvent toutes les commodités.","La zone centrale de la Tour, où se trouvent toutes les commodités.","La zone centrale de la Tour, où se trouvent toutes les commodités.","La zone centrale de la Tour, où se trouvent toutes les commodités.","La zone centrale de la Tour, où se trouvent toutes les commodités."
,Cette petite vallée verdoyante est traversée par une rivière au courant calme.,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Village 1,"Observation : 10 espèces de Pokémon différentes
Lieux : Arbres et Lac 
Combativité : Solo",Village 1,Village 1,Village 1,Village 1,Village 1,Village 1
,,,,,,,
,"Observation : 21 espèces de Pokémon différentes avec leur moment préférentiel : matin, jour, soir et nuit. 
Lieux : Hautes herbes et Arbres
Combativité : Solo",,,,,,
Village 2,"Observation : 6 espèces de Pokémon différentes
Lieux : Arbres
Combativité : Solo",Village 2,Village 2,Village 2,Village 2,Village 2,Village 2
RDC,"Observation : 16 espèces de Pokémon différentes
Lieux : Grotte et Lac
Combativité : Solo, Duo, Trio",RDC,RDC,RDC,RDC,RDC,RDC
,"Observation : 22 espèces de Pokémon différentes avec leur moment préférentiel : matin, jour, soir et nuit. 
Lieux : Hautes herbes, Arbres et Lac
Combativité : Solo",,,,,,
,,,,,,,
,"Observation : 31 espèces de Pokémon différentes
Lieux : Hautes herbes, Arbres et Lac
Combativité : Solo, Duo et Trio",,,,,,
Village 3,"Observation : 14 espèces de Pokémon différentes
Lieux : Plage, Arbres, Lac et Mer
Combativité : Solo",Village 3,Village 3,Village 3,Village 3,Village 3,Village 3
Village 4,Village 4,Village 4,Village 4,Village 4,Village 4,Village 4,Village 4
,,,,,,,
,,,,,,,
,,,,,,,
,"Observation : 10 espèces de Pokémon différentes
Lieux : Arbres et Lac
Combativité : Solo",,,,,,
,"Observation : 22 espèces de Pokémon différentes
Lieux : Hautes herbes et Arbres
Combativité : Solo, Duo et Trio",,,,,,
,"Observation : 28 espèces de Pokémon différentes avec leur moment préférentiel : matin, jour, soir et nuit. 
Lieux : Hautes herbes, Arbres, Mer et Plage
Combativité : Solo",,,,,,
,"Observation : 1 espèces de Pokémon
Lieux : Intérieur des Ruines
Combativité : Solo",,,,,,
,"Observation : 2 espèces de Pokémon différentes
Lieux : Manoir
Combativité : Solo",,,,,,
Passé,Passé,Passé,Passé,Passé,Passé,Passé,Passé
Passé,Passé,Passé,Passé,Passé,Passé,Passé,Passé
Passé,Passé,Passé,Passé,Passé,Passé,Passé,Passé
,,,,,,,
,"Observation : 26 espèces de Pokémon différentes
Lieux : Grotte et Lac
Combativité : Solo, Duo, Trio",,,,,,
"Observation : 16 espèces de Pokémon différentes
Lieux : Grotte et Lac
Combativité : Solo, Duo, Trio","Observation : 26 espèces de Pokémon différentes
Lieux : Grotte et Lac
Combativité : Solo, Duo, Trio","Observation : 16 espèces de Pokémon différentes
Lieux : Grotte et Lac
Combativité : Solo, Duo, Trio","Observation : 16 espèces de Pokémon différentes
Lieux : Grotte et Lac
Combativité : Solo, Duo, Trio","Observation : 16 espèces de Pokémon différentes
Lieux : Grotte et Lac
Combativité : Solo, Duo, Trio","Observation : 16 espèces de Pokémon différentes
Lieux : Grotte et Lac
Combativité : Solo, Duo, Trio","Observation : 16 espèces de Pokémon différentes
Lieux : Grotte et Lac
Combativité : Solo, Duo, Trio","Observation : 16 espèces de Pokémon différentes
Lieux : Grotte et Lac
Combativité : Solo, Duo, Trio"
"Observation : 16 espèces de Pokémon différentes
Lieux : Grotte et Lac
Combativité : Solo, Duo, Trio","Observation : 16 espèces de Pokémon différentes
Lieux : Grotte et Lac
Combativité : Solo, Duo, Trio","Observation : 16 espèces de Pokémon différentes
Lieux : Grotte et Lac
Combativité : Solo, Duo, Trio","Observation : 16 espèces de Pokémon différentes
Lieux : Grotte et Lac
Combativité : Solo, Duo, Trio","Observation : 16 espèces de Pokémon différentes
Lieux : Grotte et Lac
Combativité : Solo, Duo, Trio","Observation : 16 espèces de Pokémon différentes
Lieux : Grotte et Lac
Combativité : Solo, Duo, Trio","Observation : 16 espèces de Pokémon différentes
Lieux : Grotte et Lac
Combativité : Solo, Duo, Trio","Observation : 16 espèces de Pokémon différentes
Lieux : Grotte et Lac
Combativité : Solo, Duo, Trio"
