en,fr,es,it
:[align=center]:\s[i]A pile of neatly arranged and organized files.\s[r],:[align=center]:\s[i]Un tas de dossiers bien rangés et organisés.\s[r],:[align=center]:\s[i]Un montón de archivos bien ordenados y organizados.\s[r],:[align=center]:\s[i]Una pila di fascicoli ben ordinati e organizzati.\s[r]
":[face=250,Prof_Charme,300;name=Prof. Charme]:\c[2]\p[1]\c[0] ! \nlA magnificent \c[2]Pokemon\c[0] ! \nlThank you for your help.",":[face=250,Prof_Charme,300;name=Prof. Charme]:\c[2]\p[1]\c[0] ! \nlUn \c[2]Pokemon\c[0] magnifique ! \nlJe te remercie pour ton aide.",":[face=250,Prof_Charme,300;name=Prof. Charme]:\c[2]\p[1]\c[0] ! \nl¡ Un \c[2]Pokemon\c[0] magnífico ! \nlTe agradezco tu ayuda.",":[face=250,Prof_Charme,300;name=Prof. Charme]:\c[2]\p[1]\c[0] ! \nlUn \c[2]Pokemon\c[0] magnifico ! \nlGrazie per il tuo aiuto."
":[face=250,Prof_Charme,300;name=Prof. Charme]:I'll give you a journal right away, so you can write down everything you need to do during your adventure !",":[face=250,Prof_Charme,300;name=Prof. Charme]:Je vais te remettre tout de suite un journal, il te permettra de noter tout ce que tu as à faire lors de ton aventure !",":[face=250,Prof_Charme,300;name=Prof. Charme]:Te voy a dar ahora mismo un diario, ¡ en el podrás anotar todo lo que tengas que hacer durante tu aventura !",":[face=250,Prof_Charme,300;name=Prof. Charme]:Ti darò subito un diario, così potrai annotare tutto quello che devi fare durante la tua avventura !"
:[align=center]:RECEIVED : \c[5]JOURNAL\c[0] ,:[align=center]:REÇU : \c[5]JOURNAL\c[0] ,:[align=center]:RECIBIDO : \c[5]DIARIO\c[0] ,:[align=center]:RICEVUTO : \c[5]GIORNALE\c[0] 
:[align=center]:\s[i]You put your “Quest Log” in your bag in the Rare Items pocket. \nlPlease feel free to consult it to find out what you need to do at any given time.\s[r],":[align=center]:\s[i]Vous rangez votre ""Journal de quêtes"" dans votre sac dans la poche Objets rares. \nlN'hésitez pas à le consulter afin de savoir ce que vous devez faire à tout moment.\s[r]",":[align=center]:\s[i]Guarda tu «Diario de misiones» en tu bolsa, en el bolsillo Objetos raros. \nlNo dude en consultarlo para saber qué debe hacer en cada momento.\s[r]",":[align=center]:\s[i]Metti il tuo “Diario delle missioni” nella borsa, nella tasca Oggetti rari. \nlNon esitate a consultarlo per sapere cosa dovete fare in ogni momento.\s[r]"
":[face=250,Prof_Charme,300;name=Prof. Charme]:I would like to give you a package containing a very special item, which I am expecting to receive today.\nlSo start by writing down your first task: go and see if I've received the package in my mailbox.\nlThis is very important !",":[face=250,Prof_Charme,300;name=Prof. Charme]:J’aimerais te remettre un colis contenant un objet très spécial, je dois justement le recevoir aujourd’hui.\nlCommence donc par écrire ta première tâche : aller voir si j'ai reçu le colis dans ma boîte aux lettres.\nlC'est très important !",":[face=250,Prof_Charme,300;name=Prof. Charme]:Me gustaría entregarte un paquete que contiene un objeto muy especial, lo recibiré hoy mismo.\nlEmpieza por escribir tu primera tarea: ir a ver si he recibido el paquete en mi buzón.\nl¡ Es muy importante !",":[face=250,Prof_Charme,300;name=Prof. Charme]:Vorrei consegnarti un pacco contenente un oggetto molto speciale, che dovrei ricevere proprio oggi.\nlInizia quindi scrivendo il tuo primo compito: andare a vedere se ho ricevuto il pacco nella mia cassetta delle lettere.\nlÈ molto importante !"
":[face=250,Prof_Charme,300;name=Prof. Charme]:Talk to as many people as possible, interact with as many objects as possible, and explore every nook and cranny so \nlyou don't miss a thing in this wonderful adventure that awaits you !",":[face=250,Prof_Charme,300;name=Prof. Charme]:Parle à un maximum de personnes, interagis avec le maximum d'objets et explore tous les recoins pour \nlne rien louper de cette belle aventure qui t'attend !",":[face=250,Prof_Charme,300;name=Prof. Charme]:¡ Habla con tantas personas como puedas, interactúa con tantos objetos como puedas y explora todos los rincones para \nlno perderte nada de esta maravillosa aventura que te espera !",":[face=250,Prof_Charme,300;name=Prof. Charme]:Parla con quante più persone possibile, interagisci con il maggior numero di oggetti e esplora ogni angolo per \nlnon perderti nulla di questa bellissima avventura che ti aspetta !"
":[face=250,Prof_Charme,300;name=Prof. Charme]:So you don't want to develop your \c[2]Evoli\c[0] ?",":[face=250,Prof_Charme,300;name=Prof. Charme]:Tu ne veux donc pas faire évoluer ton \c[2]Evoli\c[0] ?",":[face=250,Prof_Charme,300;name=Prof. Charme]:¿ No quieres mejorar tu \c[2]Evoli\c[0] ?",":[face=250,Prof_Charme,300;name=Prof. Charme]:Quindi non vuoi far evolvere il tuo \c[2]Evoli\c[0] ?"
Yes !,Si !,¡ Sí !,Sì !
No.,Non.,No.,No.
":[face=250,Prof_Charme,300;name=Prof. Charme]:So go choose a stone before coming back to see me. ",":[face=250,Prof_Charme,300;name=Prof. Charme]:Alors va choisir une pierre avant de revenir me voir. ",":[face=250,Prof_Charme,300;name=Prof. Charme]:Entonces ve a elegir una piedra antes de volver a verme. ",":[face=250,Prof_Charme,300;name=Prof. Charme]:Allora vai a scegliere una pietra prima di tornare da me. "
