en,fr,it,de,es,ko,kana,pt
Normal,Normal,Normale,Normal,Normal,노말,ノーマル,Normal
Fighting,Combat,Lotta,Kampf,Lucha,격투,かくとう,Fighting
Flying,Vol,Volante,Flug,Volador,비행,ひこう,Flying
Poison,Poison,Veleno,Gift,Veneno,독,どく,Poison
Ground,Sol,Terra,Boden,Tierra,땅,じめん,Ground
Rock,Roche,Roccia,Gestein,Roca,바위,いわ,Rock
Bug,Insecte,Coleottero,Käfer,Bicho,벌레,むし,Bug
Ghost,Spectre,Spettro,Geist,Fantasma,고스트,ゴースト,Ghost
Steel,Acier,Acciaio,Stahl,Acero,강철,はがね,Steel
Fire,Feu,Fuoco,Feuer,Fuego,불꽃,ほのお,Fire
Water,Eau,Acqua,Wasser,Agua,물,みず,Water
Grass,Plante,Erba,Pflanze,Planta,풀,くさ,Grass
Electric,Électrik,Elettro,Elektro,Eléctrico,전기,でんき,Electric
Psychic,Psy,Psico,Psycho,Psíquico,에스퍼,エスパー,Psychic
Ice,Glace,Ghiaccio,Eis,Hielo,얼음,こおり,Ice
Dragon,Dragon,Drago,Drache,Dragón,드래곤,ドラゴン,Dragon
Dark,Ténèbres,Buio,Unlicht,Siniestro,악,あく,Dark
Fairy,Fée,Folletto,Fee,Hada,페어리,フェアリー,Fairy
Lumière,Lumière,Lumière,Lumière,Lumière,Lumière,Lumière,Lumière
