en,fr,it,de,es,ko,kana,pt
FIGHT,ATTAQUE !,LOTTA,Kampf,LUCHAR,싸운다 FIGHT,たたかう FIGHT,FIGHT
BAG,SAC,BORSA,Beutel,BOLSA,가방 BAG,バッグ BAG,BAG
POKÉMON,POKÉMON,POKÉMON,Pokémon,POKÉMON,포켓몬 POKÉMON,ポケモン POKÉMON,POKÉMON
RUN,FUITE,FUGA,Flucht,HUIR,도망간다 RUN,にげる RUN,RUN
SHIFT,DÉPLACER,SPOSTA,Bewegen,MOVER,이동 MOVE,いどう MOVE,SHIFT
MEGA EVOLUTION,MÉGA ÉVOLUTION,MEGAEVOLUZIONE,MEGA- ENTWICKLUNG,MEGAEVOLUCIÓN,메가진화 MEGA EVOLUTION,メガシンカ MEGA EVOLUTION,MEGA EVOLUTION
CAPS,MAJ.,ABC,GROSS,MAYÚS,가,かな,CAPS
lower,min.,abc,klein,minús,ABC,カナ,lower
Sym.,Autres,♥♪★,mehr,Otros,1/♪,1/♪,Sym.
NEW,!!!,Nuovo,NEU,Nuevo,NEW,NEW,NEW
NEW,!!!,Nuovo,NEU,Nuevo,NEW,NEW,NEW
[~ 11],[~ 11],[~ 11],[~ 11],[~ 11],[~ 11],[~ 11],[~ 11]
HP,PV,PS,KP,PS,HP,HP,HP
ATTACK,ATTAQUE,ATTACCO,Angriff,Ataque,공격,コウゲキ,ATTACK
DEFENSE,DÉFENSE,DIFESA,Vert.,Defensa,방어,ボウギョ,DEFENSE
SP. ATK,ATQ. SPÉ.,ATT. SP.,Sp.-Ang.,At. Esp.,특수공격,トクコウ,SP. ATK
SP. DEF,DÉF. SPÉ.,DIF. SP.,Sp.-Vert.,Def. Esp.,특수방어,トクボウ,SP. DEF
SPEED,VITESSE,VELOCITÀ,Initiative,Velocidad,스피드,スバヤサ,SPEED
CLEARED,FINI !,OK!,Geschafft,SUPERADO,CLEARED,CLEARED,CLEARED
Try Again...,ÉCHEC,Prova fallita...,Schade...,¡SE ACABÓ EL TIEMPO!,트레이닝 실패!,トレーニング　失敗！,Try Again...
Success!,CHALLENGE RÉUSSI !,COMPLIMENTI!,Geschafft!,¡BIEN HECHO!,트레이닝 종료!,トレーニング　終了！,Success!
Start,C’EST PARTI !!!,VIA!,Los geht’s!,¡ADELANTE!,트레이닝 스타트!,トレーニング　スタート！,Start
[~ 22],[~ 22],[~ 22],[~ 22],[~ 22],[~ 22],[~ 22],[~ 22]
[~ 23],[~ 23],[~ 23],[~ 23],[~ 23],[~ 23],[~ 23],[~ 23]
[~ 24],[~ 24],[~ 24],[~ 24],[~ 24],[~ 24],[~ 24],[~ 24]
[~ 25],[~ 25],[~ 25],[~ 25],[~ 25],[~ 25],[~ 25],[~ 25]
[~ 26],[~ 26],[~ 26],[~ 26],[~ 26],[~ 26],[~ 26],[~ 26]
[~ 27],[~ 27],[~ 27],[~ 27],[~ 27],[~ 27],[~ 27],[~ 27]
JPN,JAP.,GPN,JAP,JAP,JPN,JPN,JPN
ENG,ANGL.,ING,ENG,ING,ENG,ENG,ENG
FRE,FRA.,FRA,FRA,FRA,FRA,FRA,FRE
GER,ALL.,TED,DEU,ALE,GER,GER,GER
ITA,ITA.,ITA,ITA,ITA,ITA,ITA,ITA
KOR,CORÉ.,COR,KOR,COR,KOR,KOR,KOR
SPA,ESP.,SPA,SPA,ESP,SPA,SPA,SPA
POKÉDEX,POKÉDEX,POKÉDEX,POKÉDEX,POKÉDEX,포켓몬 도감 POKÉDEX,ポケモンずかん POKÉDEX,POKÉDEX
[~ 36],[~ 36],[~ 36],[~ 36],[~ 36],[~ 36],[~ 36],[~ 36]
[~ 37],[~ 37],[~ 37],[~ 37],[~ 37],[~ 37],[~ 37],[~ 37]
[~ 38],[~ 38],[~ 38],[~ 38],[~ 38],[~ 38],[~ 38],[~ 38]
[~ 39],[~ 39],[~ 39],[~ 39],[~ 39],[~ 39],[~ 39],[~ 39]
[~ 40],[~ 40],[~ 40],[~ 40],[~ 40],[~ 40],[~ 40],[~ 40]
[~ 41],[~ 41],[~ 41],[~ 41],[~ 41],[~ 41],[~ 41],[~ 41]
[~ 42],[~ 42],[~ 42],[~ 42],[~ 42],[~ 42],[~ 42],[~ 42]
JPN,JAP.,GPN,JAP,JAP,JPN,JPN,JPN
ENG,ANGL.,ING,ENG,ING,ENG,ENG,ENG
FRE,FRA.,FRA,FRA,FRA,FRA,FRA,FRE
GER,ALL.,TED,DEU,ALE,GER,GER,GER
ITA,ITA.,ITA,ITA,ITA,ITA,ITA,ITA
KOR,CORÉ.,COR,KOR,COR,KOR,KOR,KOR
SPA,ESP.,SPA,SPA,ESP,SPA,SPA,SPA
PARALYSIS,PARALYSIE,PARALIZZATO,Paralysiert,PARALIZADO,마비,まひ,PARALYSIS
ASLEEP,SOMMEIL,ADDORMENTATO,Schläft,DORMIDO,잠듦,ねむり,ASLEEP
FROZEN,GEL,CONGELATO,Gefroren,CONGELADO,얼음,こおり,FROZEN
BURNED,BRÛLURE,SCOTTATO,Verbrennung,QUEMADO,화상,やけど,BURNED
POISONED,POISON,AVVELENATO,Vergiftet,ENVENENADO,독,どく,POISONED
FAINTED,K.O.,KO,Besiegt,DEBILITADO,기절,ひんし,FAINTED
POKÉRUS,POKÉRUS,POKÉRUS,Pokérus,POKÉRUS,포켓러스,ポケルス,POKÉRUS
NORMAL,NORMAL,NORMALE,Normal,NORMAL,노말,ノーマル,NORMAL
FIGHTING,COMBAT,LOTTA,Kampf,LUCHA,격투,かくとう,FIGHTING
FLYING,VOL,VOLANTE,Flug,VOLADOR,비행,ひこう,FLYING
POISON,POISON,VELENO,Gift,VENENO,독,どく,POISON
GROUND,SOL,TERRA,Boden,TIERRA,땅,じめん,GROUND
ROCK,ROCHE,ROCCIA,Gestein,ROCA,바위,いわ,ROCK
BUG,INSECTE,COLEOTT,Käfer,BICHO,벌레,むし,BUG
GHOST,SPECTRE,SPETTRO,Geist,FANTASMA,고스트,ゴースト,GHOST
STEEL,ACIER,ACCIAIO,Stahl,ACERO,강철,はがね,STEEL
FIRE,FEU,FUOCO,Feuer,FUEGO,불꽃,ほのお,FIRE
WATER,EAU,ACQUA,Wasser,AGUA,물,みず,WATER
GRASS,PLANTE,ERBA,Pflanze,PLANTA,풀,くさ,GRASS
ELECTRIC,ÉLECTRIK,ELETTRO,Elektro,ELÉCTRICO,전기,でんき,ELECTRIC
PSYCHIC,PSY,PSICO,Psycho,PSÍQUICO,에스퍼,エスパー,PSYCHIC
ICE,GLACE,GHIACCIO,Eis,HIELO,얼음,こおり,ICE
DRAGON,DRAGON,DRAGO,Drache,DRAGÓN,드래곤,ドラゴン,DRAGON
DARK,TÉNÈBRES,BUIO,Unlicht,SINIESTRO,악,あく,DARK
FAIRY,FÉE,FOLLETTO,Fee,HADA,페어리,フェアリー,FAIRY
RESULTS,RÉSULTATS,RISULTATI,Auswertung,RESULTADOS,결과 발표,けっかはっぴょう,RESULTS
[~ 76],[~ 76],[~ 76],[~ 76],[~ 76],[~ 76],[~ 76],[~ 76]
PLAY,JOUER,Gioca,Spielen,Jugar,논다,あそぶ,PLAY
DECORATE,DÉCOR,Decora,Deko,Decorar,모양바꾸기,もようがえ,DECORATE
SWITCH,CHANGER,Cambia,Wechseln,Cambiar,교체,いれかえ,SWITCH
VS,VS,VS,VS.,VS.,VS,VS,VS
LOSE,PERDU,PERDE,Verloren!,PIERDE,LOSE,LOSE,LOSE
WIN,GAGNÉ,VINCE,Gewonnen!,GANA,WIN,WIN,WIN
DRAW,ÉGALITÉ,PAREGGIO,Unentschieden!,EMPATE,DRAW,DRAW,DRAW
Super Training,Système de Perfectionnement Virtuel,SUPER ALLENAMENTO VIRTUALE,Supertraining,SUPERENTRENAMIENTO,슈퍼트레이닝,スーパートレーニング,Super Training
Player Search System,Player Search System,Player Search System,Player Search System,Player Search System,Player Search System,Player Search System,Player Search System
Pokémon-Amie,POKÉ RÉCRÉ,Poké io&te,PokéMonAmi,Poké Recreo,포켓파를레,ポケパルレ,Pokémon-Amie
HP,PV,PS,KP,PS,HP,HP,HP
