en,fr,it,de,es,ko,kana,pt
Medicine,Soins,Rimedi,Medizintasche,Botiquín,회복,かいふく,Medicine
Poké Balls,Poké Balls,Poké Ball,Pokéball-Tasche,Poké Balls,볼,ボール,Poké Balls
Battle Items,Objets de combat,Strumenti lotta,Kampftasche,Objetos de combate,배틀,せんとう,Battle Items
Berries,Baies,Bacche,Beerentasche,Bayas,나무열매,きのみ,Berries
Other Items,Objets,Strumenti,Trainingstasche,Objetos varios,도구,どうぐ,Other Items
TMs,CT,MT,TM-Tasche,MT,기술머신,わざマシン,TMs
Treasures,Trésors,Tesori,Schatztasche,Tesoros,보물,おたから,Treasures
Ingredients,Ingrédients,Ingredienti,Zutatentasche,Ingredientes,식재료,しょくざい,Ingredients
Key Items,Objets rares,Strumenti base,Basis-Item-Tasche,Objetos clave,중요한 물건,たいせつなもの,Key Items
[~ 9],[~ 9],[~ 9],[~ 9],[~ 9],[~ 9],[~ 9],[~ 9]
[~ 10],[~ 10],[~ 10],[~ 10],[~ 10],[~ 10],[~ 10],[~ 10]
[~ 11],[~ 11],[~ 11],[~ 11],[~ 11],[~ 11],[~ 11],[~ 11]
[~ 12],[~ 12],[~ 12],[~ 12],[~ 12],[~ 12],[~ 12],[~ 12]
[~ 13],[~ 13],[~ 13],[~ 13],[~ 13],[~ 13],[~ 13],[~ 13]
[~ 14],[~ 14],[~ 14],[~ 14],[~ 14],[~ 14],[~ 14],[~ 14]
