en,fr,es,it
:[align=center]:\s[i]Il y a un dessin de combat \c[2]Pokemon\c[0]. \nlOn dirait un \c[2]Evoli\c[0] contre un \c[2]Picassaut\c[0] !\s[r],:[align=center]:\s[i]Il y a un dessin de combat \c[2]Pokemon\c[0]. \nlOn dirait un \c[2]Evoli\c[0] contre un \c[2]Picassaut\c[0] !\s[r],:[align=center]:\s[i]Il y a un dessin de combat \c[2]Pokemon\c[0]. \nlOn dirait un \c[2]Evoli\c[0] contre un \c[2]Picassaut\c[0] !\s[r],:[align=center]:\s[i]Il y a un dessin de combat \c[2]Pokemon\c[0]. \nlOn dirait un \c[2]Evoli\c[0] contre un \c[2]Picassaut\c[0] !\s[r]
"Savais-tu que les \c[2]Pokemon\c[0] peuvent apprendre des ""CT"" ? \nlPar exemple, si tu as la capsule technique ""CT FAUX-CHAGE"" tu peux apprendre l'attaque ""Faux-chage"" à un de tes \c[2]Pokemon\c[0].\nlPar contre, une fois utilisée, tu ne l'auras plus, alors réfléchis bien !","Savais-tu que les \c[2]Pokemon\c[0] peuvent apprendre des ""CT"" ? \nlPar exemple, si tu as la capsule technique ""CT FAUX-CHAGE"" tu peux apprendre l'attaque ""Faux-chage"" à un de tes \c[2]Pokemon\c[0].\nlPar contre, une fois utilisée, tu ne l'auras plus, alors réfléchis bien !","Savais-tu que les \c[2]Pokemon\c[0] peuvent apprendre des ""CT"" ? \nlPar exemple, si tu as la capsule technique ""CT FAUX-CHAGE"" tu peux apprendre l'attaque ""Faux-chage"" à un de tes \c[2]Pokemon\c[0].\nlPar contre, une fois utilisée, tu ne l'auras plus, alors réfléchis bien !","Savais-tu que les \c[2]Pokemon\c[0] peuvent apprendre des ""CT"" ? \nlPar exemple, si tu as la capsule technique ""CT FAUX-CHAGE"" tu peux apprendre l'attaque ""Faux-chage"" à un de tes \c[2]Pokemon\c[0].\nlPar contre, une fois utilisée, tu ne l'auras plus, alors réfléchis bien !"
\s[i]Voulez-vous lire un de ces livres portant sur les \c[2]Pokemon légendaires fabuleux\c[0] ?\s[r],\s[i]Voulez-vous lire un de ces livres portant sur les \c[2]Pokemon légendaires fabuleux\c[0] ?\s[r],\s[i]Voulez-vous lire un de ces livres portant sur les \c[2]Pokemon légendaires fabuleux\c[0] ?\s[r],\s[i]Voulez-vous lire un de ces livres portant sur les \c[2]Pokemon légendaires fabuleux\c[0] ?\s[r]
Volcanion,Volcanion,Volcanion,Volcanion
Diancie,Diancie,Diancie,Diancie
Hoopa,Hoopa,Hoopa,Hoopa
Non.,Non.,Non.,Non.
"\c[2]Volcanion\c[0], gardien des éléments, est un Pokémon mythique capable de maîtriser à la fois le feu et l’eau, deux forces contraires que seul un esprit \nlexceptionnel peut unir.\nlSon corps rayonne de chaleur et d’énergie, et chaque souffle qu’il déchaîne rappelle la puissance brute des volcans et la fluidité des \nlocéans.\nl\nlIl est dit que \c[2]Volcanion\c[0] apparaît uniquement là où l’équilibre des éléments est menacé, pour prévenir les catastrophes et rétablir l’harmonie.\nlSon lien \nlavec la terre et le magma le rend capable de protéger les montagnes, les rivières et les vallées environnantes.","\c[2]Volcanion\c[0], gardien des éléments, est un Pokémon mythique capable de maîtriser à la fois le feu et l’eau, deux forces contraires que seul un esprit \nlexceptionnel peut unir.\nlSon corps rayonne de chaleur et d’énergie, et chaque souffle qu’il déchaîne rappelle la puissance brute des volcans et la fluidité des \nlocéans.\nl\nlIl est dit que \c[2]Volcanion\c[0] apparaît uniquement là où l’équilibre des éléments est menacé, pour prévenir les catastrophes et rétablir l’harmonie.\nlSon lien \nlavec la terre et le magma le rend capable de protéger les montagnes, les rivières et les vallées environnantes.","\c[2]Volcanion\c[0], gardien des éléments, est un Pokémon mythique capable de maîtriser à la fois le feu et l’eau, deux forces contraires que seul un esprit \nlexceptionnel peut unir.\nlSon corps rayonne de chaleur et d’énergie, et chaque souffle qu’il déchaîne rappelle la puissance brute des volcans et la fluidité des \nlocéans.\nl\nlIl est dit que \c[2]Volcanion\c[0] apparaît uniquement là où l’équilibre des éléments est menacé, pour prévenir les catastrophes et rétablir l’harmonie.\nlSon lien \nlavec la terre et le magma le rend capable de protéger les montagnes, les rivières et les vallées environnantes.","\c[2]Volcanion\c[0], gardien des éléments, est un Pokémon mythique capable de maîtriser à la fois le feu et l’eau, deux forces contraires que seul un esprit \nlexceptionnel peut unir.\nlSon corps rayonne de chaleur et d’énergie, et chaque souffle qu’il déchaîne rappelle la puissance brute des volcans et la fluidité des \nlocéans.\nl\nlIl est dit que \c[2]Volcanion\c[0] apparaît uniquement là où l’équilibre des éléments est menacé, pour prévenir les catastrophes et rétablir l’harmonie.\nlSon lien \nlavec la terre et le magma le rend capable de protéger les montagnes, les rivières et les vallées environnantes."
"Selon les anciens écrits, il se cache dans un volcan isolé, au cœur des nuages de vapeur et des roches fumantes, loin du regard des humains.\nlLes voyageurs racontent que le grondement sourd et la vapeur brûlante sont des signes de sa présence, mais seuls les plus courageux et respectueux peuvent \nlespérer le rencontrer.\nlPour ceux qui ont eu la chance de le voir, \c[2]Volcanion\c[0] symbolise la puissance maîtrisée et le respect des forces naturelles, rappelant que la \nlcohabitation entre les éléments est fragile mais essentielle à la vie.","Selon les anciens écrits, il se cache dans un volcan isolé, au cœur des nuages de vapeur et des roches fumantes, loin du regard des humains.\nlLes voyageurs racontent que le grondement sourd et la vapeur brûlante sont des signes de sa présence, mais seuls les plus courageux et respectueux peuvent \nlespérer le rencontrer.\nlPour ceux qui ont eu la chance de le voir, \c[2]Volcanion\c[0] symbolise la puissance maîtrisée et le respect des forces naturelles, rappelant que la \nlcohabitation entre les éléments est fragile mais essentielle à la vie.","Selon les anciens écrits, il se cache dans un volcan isolé, au cœur des nuages de vapeur et des roches fumantes, loin du regard des humains.\nlLes voyageurs racontent que le grondement sourd et la vapeur brûlante sont des signes de sa présence, mais seuls les plus courageux et respectueux peuvent \nlespérer le rencontrer.\nlPour ceux qui ont eu la chance de le voir, \c[2]Volcanion\c[0] symbolise la puissance maîtrisée et le respect des forces naturelles, rappelant que la \nlcohabitation entre les éléments est fragile mais essentielle à la vie.","Selon les anciens écrits, il se cache dans un volcan isolé, au cœur des nuages de vapeur et des roches fumantes, loin du regard des humains.\nlLes voyageurs racontent que le grondement sourd et la vapeur brûlante sont des signes de sa présence, mais seuls les plus courageux et respectueux peuvent \nlespérer le rencontrer.\nlPour ceux qui ont eu la chance de le voir, \c[2]Volcanion\c[0] symbolise la puissance maîtrisée et le respect des forces naturelles, rappelant que la \nlcohabitation entre les éléments est fragile mais essentielle à la vie."
"\c[2]Diancie\c[0], connue comme la Princesse des Cristaux, est un Pokémon mythique né de la fusion de la pierre et de la magie.\nlSa présence fait naître des gemmes étincelantes et transforme le paysage autour d’elle en un éclat féerique, rappelant que la beauté peut surgir même dans les \nllieux les plus reculés.\nlOn raconte qu’elle apparaît rarement, et seulement là où la pureté et la sérénité du cœur humain sont reconnues.\nlLes légendes parlent d’un palais de cristal caché au cœur des \nlmontagnes, où les pierres et les gemmes semblent vibrer à son passage.","\c[2]Diancie\c[0], connue comme la Princesse des Cristaux, est un Pokémon mythique né de la fusion de la pierre et de la magie.\nlSa présence fait naître des gemmes étincelantes et transforme le paysage autour d’elle en un éclat féerique, rappelant que la beauté peut surgir même dans les \nllieux les plus reculés.\nlOn raconte qu’elle apparaît rarement, et seulement là où la pureté et la sérénité du cœur humain sont reconnues.\nlLes légendes parlent d’un palais de cristal caché au cœur des \nlmontagnes, où les pierres et les gemmes semblent vibrer à son passage.","\c[2]Diancie\c[0], connue comme la Princesse des Cristaux, est un Pokémon mythique né de la fusion de la pierre et de la magie.\nlSa présence fait naître des gemmes étincelantes et transforme le paysage autour d’elle en un éclat féerique, rappelant que la beauté peut surgir même dans les \nllieux les plus reculés.\nlOn raconte qu’elle apparaît rarement, et seulement là où la pureté et la sérénité du cœur humain sont reconnues.\nlLes légendes parlent d’un palais de cristal caché au cœur des \nlmontagnes, où les pierres et les gemmes semblent vibrer à son passage.","\c[2]Diancie\c[0], connue comme la Princesse des Cristaux, est un Pokémon mythique né de la fusion de la pierre et de la magie.\nlSa présence fait naître des gemmes étincelantes et transforme le paysage autour d’elle en un éclat féerique, rappelant que la beauté peut surgir même dans les \nllieux les plus reculés.\nlOn raconte qu’elle apparaît rarement, et seulement là où la pureté et la sérénité du cœur humain sont reconnues.\nlLes légendes parlent d’un palais de cristal caché au cœur des \nlmontagnes, où les pierres et les gemmes semblent vibrer à son passage."
