en,fr,es,it
:[align=center]:\s[i]Des livres de pêche pour capturer un \c[2]Wailord\c[0].\s[r],:[align=center]:\s[i]Des livres de pêche pour capturer un \c[2]Wailord\c[0].\s[r],:[align=center]:\s[i]Des livres de pêche pour capturer un \c[2]Wailord\c[0].\s[r],:[align=center]:\s[i]Des livres de pêche pour capturer un \c[2]Wailord\c[0].\s[r]
"Hey ! Marin d'eau douce, quel bon vent t'amène .\nlAttends[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10] mais tu n'as pas de canne à pêche ! \nlSAPERLIPOPETTE ! ! !\nlJ'en ai faite une avec les moyens du bord, tiens.","Hey ! Marin d'eau douce, quel bon vent t'amène .\nlAttends[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10] mais tu n'as pas de canne à pêche ! \nlSAPERLIPOPETTE ! ! !\nlJ'en ai faite une avec les moyens du bord, tiens.","Hey ! Marin d'eau douce, quel bon vent t'amène .\nlAttends[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10] mais tu n'as pas de canne à pêche ! \nlSAPERLIPOPETTE ! ! !\nlJ'en ai faite une avec les moyens du bord, tiens.","Hey ! Marin d'eau douce, quel bon vent t'amène .\nlAttends[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10] mais tu n'as pas de canne à pêche ! \nlSAPERLIPOPETTE ! ! !\nlJ'en ai faite une avec les moyens du bord, tiens."
:[align=center]:REÇU : \c[5]CANNE A PECHE\c[0],:[align=center]:REÇU : \c[5]CANNE A PECHE\c[0],:[align=center]:REÇU : \c[5]CANNE A PECHE\c[0],:[align=center]:REÇU : \c[5]CANNE A PECHE\c[0]
":[align=center]:\s[i]Vous rangez votre ""Canne à pêche"" dans votre sac dans la poche Objets rares.\s[r]",":[align=center]:\s[i]Vous rangez votre ""Canne à pêche"" dans votre sac dans la poche Objets rares.\s[r]",":[align=center]:\s[i]Vous rangez votre ""Canne à pêche"" dans votre sac dans la poche Objets rares.\s[r]",":[align=center]:\s[i]Vous rangez votre ""Canne à pêche"" dans votre sac dans la poche Objets rares.\s[r]"
"Chez moi, on arrive avec des nuages gris et on ressort avec le vent en poupe hé hé\nlJe peux te faire une canne plus performante si tu veux  ! \nlMais en échange je veux que tu me ramènes un \c[2]Magicarpe\c[0] en or !\nlOui absolument, en or ! Et crois-moi cela existe moussaillon !","Chez moi, on arrive avec des nuages gris et on ressort avec le vent en poupe hé hé\nlJe peux te faire une canne plus performante si tu veux  ! \nlMais en échange je veux que tu me ramènes un \c[2]Magicarpe\c[0] en or !\nlOui absolument, en or ! Et crois-moi cela existe moussaillon !","Chez moi, on arrive avec des nuages gris et on ressort avec le vent en poupe hé hé\nlJe peux te faire une canne plus performante si tu veux  ! \nlMais en échange je veux que tu me ramènes un \c[2]Magicarpe\c[0] en or !\nlOui absolument, en or ! Et crois-moi cela existe moussaillon !","Chez moi, on arrive avec des nuages gris et on ressort avec le vent en poupe hé hé\nlJe peux te faire une canne plus performante si tu veux  ! \nlMais en échange je veux que tu me ramènes un \c[2]Magicarpe\c[0] en or !\nlOui absolument, en or ! Et crois-moi cela existe moussaillon !"
Allez bon vent !,Allez bon vent !,Allez bon vent !,Allez bon vent !
Tu l'as !,Tu l'as !,Tu l'as !,Tu l'as !
:[align=center]:REÇU : \c[5]SUPER CANNE\c[0],:[align=center]:REÇU : \c[5]SUPER CANNE\c[0],:[align=center]:REÇU : \c[5]SUPER CANNE\c[0],:[align=center]:REÇU : \c[5]SUPER CANNE\c[0]
":[align=center]:\s[i]Vous rangez votre ""Super Canne"" dans votre sac dans la poche Objets rares.\s[r]",":[align=center]:\s[i]Vous rangez votre ""Super Canne"" dans votre sac dans la poche Objets rares.\s[r]",":[align=center]:\s[i]Vous rangez votre ""Super Canne"" dans votre sac dans la poche Objets rares.\s[r]",":[align=center]:\s[i]Vous rangez votre ""Super Canne"" dans votre sac dans la poche Objets rares.\s[r]"
Ce \c[2]Magicarpe\c[0] n'est pas en Or ! Tu essayes de me duper ?!,Ce \c[2]Magicarpe\c[0] n'est pas en Or ! Tu essayes de me duper ?!,Ce \c[2]Magicarpe\c[0] n'est pas en Or ! Tu essayes de me duper ?!,Ce \c[2]Magicarpe\c[0] n'est pas en Or ! Tu essayes de me duper ?!
Et alors ? Tu n'as même pas pêché un \c[2]Magicarpe\c[0] ?,Et alors ? Tu n'as même pas pêché un \c[2]Magicarpe\c[0] ?,Et alors ? Tu n'as même pas pêché un \c[2]Magicarpe\c[0] ?,Et alors ? Tu n'as même pas pêché un \c[2]Magicarpe\c[0] ?
"Reviens jouer au chapitre 3, j'aurai sûrement d'autres quêtes pour toi !","Reviens jouer au chapitre 3, j'aurai sûrement d'autres quêtes pour toi !","Reviens jouer au chapitre 3, j'aurai sûrement d'autres quêtes pour toi !","Reviens jouer au chapitre 3, j'aurai sûrement d'autres quêtes pour toi !"
:[align=center]:\s[i]Ça sent le \c[2]Magicarpe\c[0] frit à plein nez !\s[r],:[align=center]:\s[i]Ça sent le \c[2]Magicarpe\c[0] frit à plein nez !\s[r],:[align=center]:\s[i]Ça sent le \c[2]Magicarpe\c[0] frit à plein nez !\s[r],:[align=center]:\s[i]Ça sent le \c[2]Magicarpe\c[0] frit à plein nez !\s[r]
:[align=center]:\s[i]Des livres de pêche pour capturer un \c[2]Wailord\c[0].\s[r],:[align=center]:\s[i]Des livres de pêche pour capturer un \c[2]Wailord\c[0].\s[r],:[align=center]:\s[i]Des livres de pêche pour capturer un \c[2]Wailord\c[0].\s[r],:[align=center]:\s[i]Des livres de pêche pour capturer un \c[2]Wailord\c[0].\s[r]
:[align=center]:\s[i]Ho ! Des \c[2]Escargaume\c[0] farcie ! C'est un vrai cuisto ce pecheur !\s[r],:[align=center]:\s[i]Ho ! Des \c[2]Escargaume\c[0] farcie ! C'est un vrai cuisto ce pecheur !\s[r],:[align=center]:\s[i]Ho ! Des \c[2]Escargaume\c[0] farcie ! C'est un vrai cuisto ce pecheur !\s[r],:[align=center]:\s[i]Ho ! Des \c[2]Escargaume\c[0] farcie ! C'est un vrai cuisto ce pecheur !\s[r]
:[align=center]:\s[i]Ça sent le \c[2]Magicarpe\c[0] frit à plein nez !\s[r],:[align=center]:\s[i]Ça sent le \c[2]Magicarpe\c[0] frit à plein nez !\s[r],:[align=center]:\s[i]Ça sent le \c[2]Magicarpe\c[0] frit à plein nez !\s[r],:[align=center]:\s[i]Ça sent le \c[2]Magicarpe\c[0] frit à plein nez !\s[r]
