en,fr,it,de,es,ko,kana,pt
"SirMalo waited for your arrival on the Isle and invited you to the Tower, go find him!","SirMalo vous attendait à votre arrivée sur l'Île et vous a invité à le rejoindre à la Tour, allez le retrouver !",[~ 0],[~ 0],[~ 0],[~ 0],[~ 0],"SirMalo waited for your arrival on the Isle and invited you to the Tower, go find him!"
[~ 1],Descr WIP,[~ 1],[~ 1],[~ 1],[~ 1],[~ 1],[~ 1]
The ghost of a young woman named Marissa haunts the surroundings of the Tower. She will only be able to pass to the other side if you help her to have no more regrets.,Le fantôme d'une jeune femme nommée Marissa hante les abords de la Tour. Elle ne pourra passer de l'autre côté que si vous l'aidez à ne plus avoir de regret.,[~ 2],[~ 2],[~ 2],[~ 2],[~ 2],The ghost of a young woman named Marissa haunts the surroundings of the Tower. She will only be able to pass to the other side if you help her to have no more regrets.
[~ 3],Allez voir si le Prof. Charme a reçu du courrier dans sa boîte aux lettres. Puis retournez le voir.,[~ 3],[~ 3],[~ 3],[~ 3],[~ 3],[~ 3]
[~ 4],Allez chercher des chaussures pour enfant à Cocovin et ramenez-les à l'enfant de la famille Légodas se trouvant à Bourg-Guignon.,[~ 4],[~ 4],[~ 4],[~ 4],[~ 4],[~ 4]
[~ 5],"Allez voir Gertrude sur la route 1, attrapez un Sapereau et ramenez-le à Mère-grand se trouvant à Bourg-Guignon.",[~ 5],[~ 5],[~ 5],[~ 5],[~ 5],[~ 5]
[~ 6],"Le livre ""Le Prince des Mers"" est un livre unique, on n'en a plus entendu parlé depuis des années. Trouvez-le et ramenez-le au Chef des Rangers à Bourg-Guignon.",[~ 6],[~ 6],[~ 6],[~ 6],[~ 6],[~ 6]
[~ 7],Faites éclore l'œuf étrange au couleur de l'océan et revenez voir Steven à Bourg Guignon. (N'oubliez pas de mettre votre Pokemon en première position dans votre équipe pour pouvoir le montrer à une personne). ,[~ 7],[~ 7],[~ 7],[~ 7],[~ 7],[~ 7]
[~ 8],Trouvez le moyen d'avoir un œuf de Manaphy puis faites éclore ce nouvel œuf. Revenez voir Steven avec le nouveau-né.  (N'oubliez pas de mettre votre Pokemon en première position dans votre équipe pour pouvoir le montrer à une personne).,[~ 8],[~ 8],[~ 8],[~ 8],[~ 8],[~ 8]
[~ 9],"Cherchez des indices sur le Lac Mystérieux puis trouvez-le. Un combat épique vous attend contre un monstre rouge ! 
Revenez-en victorieux.",[~ 9],[~ 9],[~ 9],[~ 9],[~ 9],[~ 9]
[~ 10],"Trouvez la maison de Mère-grand afin de ramener le ""Colis"" au Prof. Charme.",[~ 10],[~ 10],[~ 10],[~ 10],[~ 10],[~ 10]
[~ 11],Aller à l'école se trouvant à Cocovin dans le but de réussir l'épreuve théorique et pratique du Prof. Chen. Puis allez chercher votre diplôme de dresseur à Bourg-Guignon.,[~ 11],[~ 11],[~ 11],[~ 11],[~ 11],[~ 11]
[~ 12],"Allez voir le peintre Léonard au lac des Esprits et profitez-en pour visiter, si ce n'est déjà fait !",[~ 12],[~ 12],[~ 12],[~ 12],[~ 12],[~ 12]
[~ 13],Ne loupez pas les prochains feuilletons tous les mardi entre 19h et 21h (Normalement 20h mais ils sont souvent en avance ou en retard),[~ 13],[~ 13],[~ 13],[~ 13],[~ 13],[~ 13]
[~ 14],Attrapez 15 Pokemon différents et revenez voir le Prof. Charme à Bourg-Guignon.,[~ 14],[~ 14],[~ 14],[~ 14],[~ 14],[~ 14]
[~ 15],Attrapez 30 Pokemon différents et revenez voir le Prof. Charme à Bourg-Guignon.,[~ 15],[~ 15],[~ 15],[~ 15],[~ 15],[~ 15]
[~ 16],Attrapez 50 Pokemon différents et revenez voir le Prof. Charme à Bourg-Guignon. ,[~ 16],[~ 16],[~ 16],[~ 16],[~ 16],[~ 16]
[~ 17],Attrapez 75 Pokemon différents et revenez voir le Prof. Charme à Bourg-Guignon. ,[~ 17],[~ 17],[~ 17],[~ 17],[~ 17],[~ 17]
[~ 18],Attrapez 105 Pokemon différents et revenez voir le Prof. Charme à Bourg-Guignon. ,[~ 18],[~ 18],[~ 18],[~ 18],[~ 18],[~ 18]
[~ 19],"Suite à l'obtention de votre partie pratique à l'école des dresseurs, allez aider le collectionneur en battant le Sbire Obscur à Cocovin. ",[~ 19],[~ 19],[~ 19],[~ 19],[~ 19],[~ 19]
[~ 20],Retrouvez au moins 5 différents souvenirs éparpillés dans Bombance pour finalement en parler à TiiToOnZ Poketoonz.,[~ 20],[~ 20],[~ 20],[~ 20],[~ 20],[~ 20]
[~ 21],Partez chercher votre premier artefact. Allez parler au artisan dans la forêt enchantée afin d'essayer d'en apprendre plus.,[~ 21],[~ 21],[~ 21],[~ 21],[~ 21],[~ 21]
[~ 22],Retourner voir le guide de la ville dans sa maison à Cocovin.,[~ 22],[~ 22],[~ 22],[~ 22],[~ 22],[~ 22]
[~ 23],"Collectionner les badges de Bombance afin de les ramener au Collectionneur à Cocovin. 
Un badge de ramené, c'est un Pokemon de gagné !",[~ 23],[~ 23],[~ 23],[~ 23],[~ 23],[~ 23]
[~ 24],"Collectionner les badges de Bombance afin de les ramener au Collectionneur à Cocovin. 
Un badge de ramené, c'est un Pokemon de gagné !",[~ 24],[~ 24],[~ 24],[~ 24],[~ 24],[~ 24]
[~ 25],"Collectionner les badges de Bombance afin de les ramener au Collectionneur à Cocovin. 
Un badge de ramené, c'est un Pokemon de gagné !",[~ 25],[~ 25],[~ 25],[~ 25],[~ 25],[~ 25]
[~ 26],"Collectionner les badges de Bombance afin de les ramener au Collectionneur à Cocovin. 
Un badge de ramené, c'est un Pokemon de gagné !",[~ 26],[~ 26],[~ 26],[~ 26],[~ 26],[~ 26]
[~ 27],"Collectionner les badges de Bombance afin de les ramener au Collectionneur à Cocovin. 
Un badge de ramené, c'est un Pokemon de gagné !",[~ 27],[~ 27],[~ 27],[~ 27],[~ 27],[~ 27]
[~ 28],,[~ 28],[~ 28],[~ 28],[~ 28],[~ 28],[~ 28]
[~ 29],,[~ 29],[~ 29],[~ 29],[~ 29],[~ 29],[~ 29]
[~ 30],,[~ 30],[~ 30],[~ 30],[~ 30],[~ 30],[~ 30]
[~ 31],"Après avoir débarrassé le Collectionneur du super vilain qui l'embête à Cocovin, aller chercher votre carte de dresseur chez le Prof. Charme à Bourg-Guignon.",[~ 31],[~ 31],[~ 31],[~ 31],[~ 31],[~ 31]
[~ 32],"Ramenez à l'assistant du vigneron 4 champignons aquatiques : 2 d'eau douce, 1 d'eau salé et 1 d'eau marécageuse. L’assistant se trouve dans le vignoble à Cocovin.",[~ 32],[~ 32],[~ 32],[~ 32],[~ 32],[~ 32]
[~ 33],Ramenez la fiole anti-ivrogne au vigneron à Cocovin.,[~ 33],[~ 33],[~ 33],[~ 33],[~ 33],[~ 33]
[~ 34],"Obtenez la PokéLoupe et la PokéTorche, découvrez à quel Pokémon appartient cette empreinte, puis revenez voir Pierrick dans la Mine Cristalline.",[~ 34],[~ 34],[~ 34],[~ 34],[~ 34],[~ 34]
