en,fr,es,it
:[align=center]:\s[i]Lots of old books[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10]\s[r],:[align=center]:\s[i]Plein de bouquins vieillots[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10]\s[r],:[align=center]:\s[i]Un montón de libros viejos[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10]\s[r],:[align=center]:\s[i]Un sacco di libri vecchi[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10]\s[r]
":[align=center]:\s[i]See how clean it is, Grandma? She does this every morning.\s[r]",":[align=center]:\s[i]Vu comment c'est propre, mamie, elle fait ça tous les matins.\s[r]",":[align=center]:\s[i]Viendo lo limpio que está, la abuela lo hace todas las mañanas.\s[r]",":[align=center]:\s[i]Visto come è pulito, nonna, lo fa tutte le mattine.\s[r]"
":[align=center]:\s[i]See how clean it is, Grandma? She does this every morning.\s[r]",":[align=center]:\s[i]Vu comment c'est propre, mamie, elle fait ça tous les matins.\s[r]",":[align=center]:\s[i]Viendo lo limpio que está, la abuela lo hace todas las mañanas.\s[r]",":[align=center]:\s[i]Visto come è pulito, nonna, lo fa tutte le mattine.\s[r]"
:[align=center]:\s[i]Salad galore !\s[r],:[align=center]:\s[i]De la salade à foison !\s[r],:[align=center]:\s[i]¡ Ensalada en abundancia !\s[r],:[align=center]:\s[i]Insalata a volontà !\s[r]
\c[2]Pokemon\c[0] : Sapeeeeereau !,\c[2]Pokemon\c[0] : Sapeeeeereau !,\c[2]Pokemon\c[0] : Sapeeeeereau !,\c[2]Pokemon\c[0] : Sapeeeeereau !
Huh ?!  \nlIs that Prof. Charme's package ?! ,Ho ?! \nlC'est le colis du Prof. Charme ?! ,¿ Eh ? \nl¿ Es el paquete del profesor Charme ? ,Eh ?!  \nlÈ il pacco del Prof. Charme ?! 
"Okay[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10] I understand, take it. ","D'accord[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10] je comprends, prends-le. ","De acuerdo[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10] Entiendo, cógelo. ","Va bene [WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10] Capisco, prendilo. "
:[align=center]:RECEIVED: \c[5]PACKAGE\c[0] ,:[align=center]:REÇU : \c[5]COLIS\c[0] ,:[align=center]:RECIBIDO: \c[5]PAQUETE\c[0] ,:[align=center]:RICEZIONATO: \c[5]PACCO\c[0] 
:[align=center]:\s[i]You put your “Package” in your \nlbag in the Rare Items pocket.\s[r],":[align=center]:\s[i]Vous rangez votre ""Colis"" dans votre \nlsac dans la poche Objets rares.\s[r]",":[align=center]:\s[i]Guarda tu «Paquete» en tu \nlbolsa, en el bolsillo Objetos raros.\s[r]",:[align=center]:\s[i]Riponi il tuo “Pacchetto” nella tua \nlborsa nella tasca Oggetti rari.\s[r]
I was so hoping it was for me[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10],J'espérais tellement que ce soit pour moi[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10],Tenía tantas ganas de que fuera para mí [WAIT 10]. [WAIT 10]. [WAIT 10]. [WAIT 10].,Speravo tanto che fosse per me [WAIT 10]. [WAIT 10]. [WAIT 10]. [WAIT 10]
