en,fr,es,it
"\t[11,0]","\t[11,0]","\t[11,0]","\t[11,0]"
"\t[11,1]","\t[11,1]","\t[11,1]","\t[11,1]"
"\t[11,2]","\t[11,2]","\t[11,2]","\t[11,2]"
"\t[11,0]","\t[11,0]","\t[11,0]","\t[11,0]"
"\t[11,1]","\t[11,1]","\t[11,1]","\t[11,1]"
"\t[11,2]","\t[11,2]","\t[11,2]","\t[11,2]"
"\t[11, 27]","\t[11, 27]","\t[11, 27]","\t[11, 27]"
"\t[11, 28]","\t[11, 28]","\t[11, 28]","\t[11, 28]"
"\t[11,27]","\t[11,27]","\t[11,27]","\t[11,27]"
"\t[11,28]","\t[11,28]","\t[11,28]","\t[11,28]"
"\t[11,27]","\t[11,27]","\t[11,27]","\t[11,27]"
"\t[11,28]","\t[11,28]","\t[11,28]","\t[11,28]"
"\t[11, 27]","\t[11, 27]","\t[11, 27]","\t[11, 27]"
"\t[11, 28]","\t[11, 28]","\t[11, 28]","\t[11, 28]"
