en,fr,es,it
Bravo ! \nlLa suite n'est pas encore implantée en jeu. (A VENIR),,Bravo ! \nlLa suite n'est pas encore implantée en jeu. (A VENIR),Bravo ! \nlLa suite n'est pas encore implantée en jeu. (A VENIR)
Hey ! \nlC'est dangereux d'explorer sans lampe torche et PokeLoupe alors recule de là !,"Hé !\nlNe la joue pas perso, viens me voir quand tu seras prêt physiquement et mentalement !",Hey ! \nlC'est dangereux d'explorer sans lampe torche et PokeLoupe alors recule de là !,Hey ! \nlC'est dangereux d'explorer sans lampe torche et PokeLoupe alors recule de là !
Hey ! \nlOu crois-tu aller sans matériel ?!,Hey ! \nlOu crois-tu aller sans matériel ?!,Hey ! \nlOu crois-tu aller sans matériel ?!,Hey ! \nlOu crois-tu aller sans matériel ?!
Allez ouste ouste ! !\nlReviens me voir quand tu auras tout le matériel nécessaire pour visiter cette grotte !,,Allez ouste ouste ! !\nlReviens me voir quand tu auras tout le matériel nécessaire pour visiter cette grotte !,Allez ouste ouste ! !\nlReviens me voir quand tu auras tout le matériel nécessaire pour visiter cette grotte !
Bravo ! \nlLa suite n'est pas encore implantée en jeu. (A VENIR),Tu as bien une PokéTorche et une PokéLoupe !\nlTu es prêt physiquement[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10] mais qu’en est-il mentalement ?\nlPlace-toi sur cette empreinte et dis-moi si tu as une idée du \c[2]Pokémon\c[0] qui a pu la laisser.,Bravo ! \nlLa suite n'est pas encore implantée en jeu. (A VENIR),Bravo ! \nlLa suite n'est pas encore implantée en jeu. (A VENIR)
"Mmm, tu n'as pas de PokeLoupe[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10]  \nlJe t'avoue que pour cette expédition il vaut mieux être bien préparé. \nlReviens me voir quand tu l'auras, on partira explorer cette mine !","Oh ? Pas de PokéLoupe ? \nlAh, dommage[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10] pour cette expédition, il faut être bien préparé. \nlReviens me voir quand tu en auras une, et nous partirons ensemble explorer la mine ! \nlD’ici là, essaie donc de découvrir à quel \c[2]Pokémon\c[0] appartient cette empreinte.","Mmm, tu n'as pas de PokeLoupe[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10]  \nlJe t'avoue que pour cette expédition il vaut mieux être bien préparé. \nlReviens me voir quand tu l'auras, on partira explorer cette mine !","Mmm, tu n'as pas de PokeLoupe[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10]  \nlJe t'avoue que pour cette expédition il vaut mieux être bien préparé. \nlReviens me voir quand tu l'auras, on partira explorer cette mine !"
"Mmm, tu n'as pas de lampe torche[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10]  \nlJe t'avoue que pour cette expédition il vaut mieux être bien préparé. \nlReviens me voir quand tu l'auras, on partira explorer cette mine !","Oh ? Pas de PokéTorche ? \nlAh, dommage[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10] pour cette expédition, il faut être bien préparé. \nlReviens me voir quand tu en auras une, et nous partirons ensemble explorer la mine ! \nlD’ici là, essaie donc de découvrir à quel \c[2]Pokémon\c[0] appartient cette empreinte.","Mmm, tu n'as pas de lampe torche[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10]  \nlJe t'avoue que pour cette expédition il vaut mieux être bien préparé. \nlReviens me voir quand tu l'auras, on partira explorer cette mine !","Mmm, tu n'as pas de lampe torche[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10]  \nlJe t'avoue que pour cette expédition il vaut mieux être bien préparé. \nlReviens me voir quand tu l'auras, on partira explorer cette mine !"
"Mmm, tu n'as pas de lampe torche, ni de PokeLoupe[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10]  \nlJe t'avoue que pour cette expédition il vaut mieux être bien préparé. \nlReviens me voir quand tu auras les deux, on partira explorer cette mine !","Oh ? Pas de PokéLoupe, ni de PokéTorche ? \nlAh, dommage[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10] pour cette expédition, il faut être bien préparé. \nlReviens me voir quand tu auras les deux, et nous partirons ensemble explorer la mine ! \nlD’ici là, essaie donc de découvrir à quel \c[2]Pokémon\c[0] appartient cette empreinte.","Mmm, tu n'as pas de lampe torche, ni de PokeLoupe[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10]  \nlJe t'avoue que pour cette expédition il vaut mieux être bien préparé. \nlReviens me voir quand tu auras les deux, on partira explorer cette mine !","Mmm, tu n'as pas de lampe torche, ni de PokeLoupe[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10]  \nlJe t'avoue que pour cette expédition il vaut mieux être bien préparé. \nlReviens me voir quand tu auras les deux, on partira explorer cette mine !"
Regarde une empreinte ! \nlJe ne sais pas quel \c[2]Pokemon\c[0] cela peut être mais je n'en ai jamais vu de tel ! \nlCa te dit de la suivre ?,"Alors, on suit cette empreinte ?",Regarde une empreinte ! \nlJe ne sais pas quel \c[2]Pokemon\c[0] cela peut être mais je n'en ai jamais vu de tel ! \nlCa te dit de la suivre ?,Regarde une empreinte ! \nlJe ne sais pas quel \c[2]Pokemon\c[0] cela peut être mais je n'en ai jamais vu de tel ! \nlCa te dit de la suivre ?
Oui !,Oui !,Oui !,Oui !
