en,fr,es,it
"Well done ! \nlThere you go, you've captured a \c[2]Sapereau\c[0] !","Bien joué ! \nlEt voilà, tu as capturé un \c[2]Sapereau\c[0] !","¡ Bien hecho ! \nl¡ Ya está, has capturado un \c[2]Sapereau\c[0] !","Ben fatto ! \nlEcco fatto, hai catturato un \c[2]Sapereau\c[0] !"
"Damn, you smashed it ! \nlAsk me again if you want me to show you again.","Mince, tu l'as défoncé ! \nlRedemande moi si tu veux que je te remontre.","¡ Vaya, lo has destrozado ! \nlPregúntame de nuevo si quieres que te lo vuelva a enseñar.","Cavolo, l'hai distrutto ! \nlChiedimelo di nuovo se vuoi che te lo mostri di nuovo."
Did you know that each \c[2]Pokemon\c[0] prefers to appear at a specific time of day ?,Sais-tu que chaque \c[2]Pokemon\c[0] sort préférentiellement à un moment précis de la journée ?,¿ Sabías que cada \c[2]Pokémon\c[0] sale preferentemente a una hora concreta del día ?,Sai che ogni \c[2]Pokemon\c[0] appare preferibilmente in un determinato momento della giornata ? 
"Personally, I'm taking a little break from \c[2]Pokemon\c[0] so that things can become a little clearer. \nlI don't really like \c[2]Pokemon\c[0] that come out at night. \nlAnd this way, I can take the opportunity to do some exercise ! \nlIt's important to remember to take care of yourself.","Personnellement, je fais une petite pause de \c[2]Pokemon\c[0] histoire qu'il fasse un peu plus clair.\nlJe n'aime pas trop les \c[2]Pokemon\c[0] qui sortent la nuit. \nlEt puis comme ça j'en profite pour faire du sport ! \nlFaut pas oublier de s'occuper de soi même.","Personalmente, voy a hacer una pequeña pausa con \c[2]Pokémon\c[0] para que se aclare un poco. \nlNo me gustan mucho los \c[2]Pokémon\c[0] que salen por la noche. \nl¡ Y así aprovecho para hacer deporte ! \nlNo hay que olvidarse de cuidarse a uno mismo.","Personalmente, mi prendo una piccola pausa da \c[2]Pokemon\c[0] per chiarirmi un po' le idee. \nlNon mi piacciono molto i \c[2]Pokemon\c[0] che escono di notte. \nlE poi così ne approfitto per fare sport ! \nlNon bisogna dimenticare di prendersi cura di sé stessi."
"Personally, I'm taking a little break from \c[2]Pokemon\c[0] so that it gets a little darker.\nlI like \c[2]Pokemon\c[0] that come out at night. \nlAnd that way I can get some exercise too ! \nlDon't forget to take care of yourself.","Personnellement, je fais une petite pause de \c[2]Pokemon\c[0] histoire qu'il fasse un peu plus sombre.\nlJ'aime les \c[2]Pokemon\c[0] qui sortent la nuit. \nlEt puis comme ça j'en profite pour faire du sport ! \nlFaut pas oublier de s'occuper de soi même.","Personalmente, me tomo un pequeño descanso de \c[2]Pokémon\c[0] para que oscurezca un poco más. \nlMe gustan los \c[2]Pokémon\c[0] que salen por la noche. \nl¡ Y así aprovecho para hacer deporte ! \nlNo hay que olvidarse de cuidarse a uno mismo.","Personalmente, mi prendo una piccola pausa da \c[2]Pokemon\c[0] per rendere l'atmosfera un po' più cupa. \nlMi piacciono i \c[2]Pokemon\c[0] che escono di notte. \nlE poi così ne approfitto per fare sport ! \nlNon bisogna dimenticare di prendersi cura di sé stessi."
:[city=city/Route1a]::[align=center]:\c[8]Lake of Spirits \nlCocovin\c[0],:[city=city/Route1a]::[align=center]:\c[8]Lac des Esprits\nlCocovin\c[0],:[city=city/Route1a]::[align=center]:\c[8]Lago de los Espíritus \nlCocovin\c[0],:[city=city/Route1a]::[align=center]:\c[8]Lago degli Spiriti \nlCocovin\c[0]
:[align=center]:Welcome to Cocovin !,:[align=center]:Bienvenue à Cocovin !,:[align=center]:¡ Bienvenido a Cocovin !,:[align=center]:Benvenuti a Cocovin !
"Hello ! \nlI am a berry farmer by profession. \nlI am responsible for planting bushes all over Bombance. \nlBut I must admit that being alone, it's a bit difficult to be everywhere at once. ",Bonjour ! \nlJe suis cultivateur de baies de profession. \nlJe m'occupe de planter des arbustes un peu partout dans Bombance. \nlMais je t'avoue qu'en étant seul c'est un peu compliqué d'être partout à la fois. ,"¡ Hola ! \nlSoy cultivador de bayas de profesión. \nlMe encargo de plantar arbustos por todo Bombance. \nlPero te confieso que, al estar solo, es un poco complicado estar en todas partes a la vez. ","Buongiorno ! \nlSono un coltivatore di bacche di professione. \nlMi occupo di piantare arbusti un po' ovunque a Bombance. \nlMa ti confesso che, essendo solo, è un po' complicato essere ovunque allo stesso tempo. "
"Let me give you some berries, I know you'll put them to good use !","Laisse-moi te confier des baies, je sais que tu en feras bon usage !","Déjame darte unas bayas, ¡ sé que les darás buen uso !","Lascia che ti dia delle bacche, so che ne farai buon uso !"
:[align=center]:RECEIVED : \c[5]BERRY MARON\c[0],:[align=center]:REÇU : \c[5]BAIE MARON\c[0],:[align=center]:RECIBIDO : \c[5]BAYA MARON\c[0],:[align=center]:RICEVUTO : \c[5]BACCHE DI MARON\c[0]
:[align=center]:\s[i]Put your “Berry Maron” in your bag in the Berries pocket.\s[r],":[align=center]:\s[i]Vous rangez votre ""Baie Maron"" dans votre sac dans la poche Baies.\s[r]",":[align=center]:\s[i]Guarda tu «Baya Maron» en tu bolsa, en el bolsillo Baies.\s[r]",:[align=center]:\s[i]Riponi il tuo “Bacche di Maron” nella borsa nella tasca Baies.\s[r]
This berry can be used to wake up a sleeping \c[2]Pokemon\c[0].,Cette baie permet de réveiller un \c[2]Pokemon\c[0] endormi.,Esta baya permite despertar a un \c[2]Pokemon\c[0] dormido.,Questa bacca permette di svegliare un \c[2]Pokemon\c[0] addormentato.
:[align=center]:RECEIVED : \c[5]BERRY ORAN\c[0],:[align=center]:REÇU : \c[5]BAIE ORAN\c[0],:[align=center]:RECIBIDO : \c[5]BAYA ORAN\c[0],:[align=center]:RECIBIDO : \c[5]BAYA ORAN\c[0]
":[align=center]:\s[i]Put your ""Oran Berry"" in your bag in the Berries pocket.\s[r]",":[align=center]:\s[i]Vous rangez votre ""Baie Oran"" dans votre sac dans la poche Baies.\s[r]",":[align=center]:\s[i]Guarda tu ""Baya Oran"" en tu bolsa, en el bolsillo de Bayas.\s[r]",":[align=center]:\s[i]Riponi il tuo ""Bacche di Oran"" nella borsa nella tasca Bacche.\s[r]"
This berry can be used to heal one \c[2]Pokemon\c[0].,Cette baie permet de soigner un \c[2]Pokemon\c[0].,Esta baya permite curar a un \c[2]Pokemon\c[0].,Questa bacca permette di curare un \c[2]Pokemon\c[0].
:[align=center]:RECEIVED : \c[5]BERRY PECHA\c[0],:[align=center]:REÇU : \c[5]BAIE PECHA\c[0],:[align=center]:RECIBIDO : \c[5]BAYA PECHA\c[0],:[align=center]:RICEVUTO : \c[5]BACCHE DI PECHA\c[0]
":[align=center]:\s[i]You put your ""Pêcha Berry"" in your bag in the Berries pocket.\s[r]",":[align=center]:\s[i]Vous rangez votre ""Baie Pêcha"" dans votre sac dans la poche Baies.\s[r]",":[align=center]:\s[i]Guarda la ""Baya Pêcha"" en tu bolsa, en el bolsillo de bayas.\s[r]",":[align=center]:\s[i]Riponi la tua ""Bacche Pêcha"" nella borsa, nella tasca dedicata alle bacche.\s[r]"
This berry can be used to heal a \c[2]Pokemon\c[0] that has been poisoned.,Cette baie permet de soigner un \c[2]Pokemon\c[0] victime d'un empoisonnement.,Esta baya permite curar a un \c[2]Pokemon\c[0] víctima de envenenamiento.,Questa bacca permette di curare un \c[2]Pokemon\c[0] vittima di avvelenamento.
"Berries are very useful ! \nlUnlike potions, you can give them to a \c[2]Pokemon\c[0] and they will know how to use them in battle ! \nlLook behind me, there's some loose soil where you can plant them. \nlGo ahead !","Les baies sont très utiles ! \nlPar rapport aux potions, tu peux les confier à un \c[2]Pokemon\c[0] et ils sauront les utiliser en combat !\nlRegarde derrière moi, il y a de la terre meuble pour les planter. \nlFais donc !","¡ Las bayas son muy útiles ! \nl¡ A diferencia de las pociones, puedes confiárselas a un \c[2]Pokémon\c[0] y ellos sabrán cómo usarlas en combate ! \nlMira detrás de mí, hay tierra suelta para plantarlas. \nl¡ Adelante !","Le bacche sono molto utili ! \nlRispetto alle pozioni, puoi affidarle a un \c[2]Pokemon\c[0] e loro sapranno come usarle in combattimento ! \nlGuarda dietro di me, c'è del terreno soffice dove piantarle. \nlProvaci !"
