en,fr,es,it
:[align=center]:\s[i]MAMA ! Comment c'est sale !\s[r],:[align=center]:\s[i]MAMA ! Comment c'est sale !\s[r],:[align=center]:\s[i]MAMA ! Comment c'est sale !\s[r],:[align=center]:\s[i]MAMA ! Comment c'est sale !\s[r]
":[align=center]:\s[i]Des livres sur la préparation des baies : ""Comment engloutir 10 baies en une bouchée ?! \nlTout d'abord, il faut bien fluidifier le gosier[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10]""\s[r]",":[align=center]:\s[i]Des livres sur la préparation des baies : ""Comment engloutir 10 baies en une bouchée ?! \nlTout d'abord, il faut bien fluidifier le gosier[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10]""\s[r]",":[align=center]:\s[i]Des livres sur la préparation des baies : ""Comment engloutir 10 baies en une bouchée ?! \nlTout d'abord, il faut bien fluidifier le gosier[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10]""\s[r]",":[align=center]:\s[i]Des livres sur la préparation des baies : ""Comment engloutir 10 baies en une bouchée ?! \nlTout d'abord, il faut bien fluidifier le gosier[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10]""\s[r]"
":[align=center]:\s[i]Des livres sur la préparation des baies : ""Comment engloutir 10 baies en une bouchée ?! \nlTout d'abord, il faut bien fluidifier le gosier[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10]""\s[r]",":[align=center]:\s[i]Des livres sur la préparation des baies : ""Comment engloutir 10 baies en une bouchée ?! \nlTout d'abord, il faut bien fluidifier le gosier[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10]""\s[r]",":[align=center]:\s[i]Des livres sur la préparation des baies : ""Comment engloutir 10 baies en une bouchée ?! \nlTout d'abord, il faut bien fluidifier le gosier[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10]""\s[r]",":[align=center]:\s[i]Des livres sur la préparation des baies : ""Comment engloutir 10 baies en une bouchée ?! \nlTout d'abord, il faut bien fluidifier le gosier[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10]""\s[r]"
"DES BAIES, JE VEUX DES BAIES ! ! ! ! ! ! !\nlHo pardon, je suis le champion des concours de bouffe de baie de cette région et pour m'entrainer il me faut une tonne de baies !\nlDonc si tu as des baies à me filer, n'hésite pas ! \nlJe te les échangerai contre des tessons ! Ces débris que les chercheurs de trésor raffolent !","DES BAIES, JE VEUX DES BAIES ! ! ! ! ! ! !\nlHo pardon, je suis le champion des concours de bouffe de baie de cette région et pour m'entrainer il me faut une tonne de baies !\nlDonc si tu as des baies à me filer, n'hésite pas ! \nlJe te les échangerai contre des tessons ! Ces débris que les chercheurs de trésor raffolent !","DES BAIES, JE VEUX DES BAIES ! ! ! ! ! ! !\nlHo pardon, je suis le champion des concours de bouffe de baie de cette région et pour m'entrainer il me faut une tonne de baies !\nlDonc si tu as des baies à me filer, n'hésite pas ! \nlJe te les échangerai contre des tessons ! Ces débris que les chercheurs de trésor raffolent !","DES BAIES, JE VEUX DES BAIES ! ! ! ! ! ! !\nlHo pardon, je suis le champion des concours de bouffe de baie de cette région et pour m'entrainer il me faut une tonne de baies !\nlDonc si tu as des baies à me filer, n'hésite pas ! \nlJe te les échangerai contre des tessons ! Ces débris que les chercheurs de trésor raffolent !"
Tu as des baies à me filer ?,Tu as des baies à me filer ?,Tu as des baies à me filer ?,Tu as des baies à me filer ?
Oui !,Oui !,Oui !,Oui !
Non.,Non.,Non.,Non.
La suite n'est pas encore implantée en jeu. (A VENIR),La suite n'est pas encore implantée en jeu. (A VENIR),La suite n'est pas encore implantée en jeu. (A VENIR),La suite n'est pas encore implantée en jeu. (A VENIR)
:[align=center]:\s[i]Ce réfrigérateur est plein à craquer de bouf !\s[r],:[align=center]:\s[i]Ce réfrigérateur est plein à craquer de bouf !\s[r],:[align=center]:\s[i]Ce réfrigérateur est plein à craquer de bouf !\s[r],:[align=center]:\s[i]Ce réfrigérateur est plein à craquer de bouf !\s[r]
:[align=center]:\s[i]MAMA ! Comment c'est sale !\s[r],:[align=center]:\s[i]MAMA ! Comment c'est sale !\s[r],:[align=center]:\s[i]MAMA ! Comment c'est sale !\s[r],:[align=center]:\s[i]MAMA ! Comment c'est sale !\s[r]
