en,fr,it,de,es,ko,kana,pt
????? Pokémon,Pokémon ?????,Pokémon ?????,???,Pokémon (?),?????포켓몬,？？？？？ポケモン,????? Pokémon
Seed Pokémon,Pokémon Graine,Pokémon Seme,Samen-Pokémon,Pokémon Semilla,씨앗포켓몬,たねポケモン,Seed Pokémon
Seed Pokémon,Pokémon Graine,Pokémon Seme,Samen-Pokémon,Pokémon Semilla,씨앗포켓몬,たねポケモン,Seed Pokémon
Seed Pokémon,Pokémon Graine,Pokémon Seme,Samen-Pokémon,Pokémon Semilla,씨앗포켓몬,たねポケモン,Seed Pokémon
Lizard Pokémon,Pokémon Lézard,Pokémon Lucertola,Echsen-Pokémon,Pokémon Lagartija,도롱뇽포켓몬,とかげポケモン,Lizard Pokémon
Flame Pokémon,Pokémon Flamme,Pokémon Fiamma,Flammen-Pokémon,Pokémon Llama,화염포켓몬,かえんポケモン,Flame Pokémon
Flame Pokémon,Pokémon Flamme,Pokémon Fiamma,Flammen-Pokémon,Pokémon Llama,화염포켓몬,かえんポケモン,Flame Pokémon
Tiny Turtle Pokémon,Pokémon Minitortue,Pokémon Tartaghina,Minikröten-Pokémon,Pokémon Tortuguita,꼬마거북포켓몬,かめのこポケモン,Tiny Turtle Pokémon
Turtle Pokémon,Pokémon Tortue,Pokémon Tartaruga,Kröten-Pokémon,Pokémon Tortuga,거북포켓몬,かめポケモン,Turtle Pokémon
Shellfish Pokémon,Pokémon Carapace,Pokémon Crostaceo,Panzertier-Pokémon,Pokémon Armazón,껍질포켓몬,こうらポケモン,Shellfish Pokémon
Worm Pokémon,Pokémon Ver,Pokémon Baco,Wurm-Pokémon,Pokémon Gusano,애벌레포켓몬,いもむしポケモン,Worm Pokémon
Cocoon Pokémon,Pokémon Cocon,Pokémon Bozzolo,Kokon-Pokémon,Pokémon Capullo,번데기포켓몬,さなぎポケモン,Cocoon Pokémon
Butterfly Pokémon,Pokémon Papillon,Pokémon Farfalla,Falter-Pokémon,Pokémon Mariposa,나비포켓몬,ちょうちょポケモン,Butterfly Pokémon
Hairy Bug Pokémon,Pokémon Insectopic,Pokémon Millepiedi,Raupen-Pokémon,Pokémon Oruga,송충이포켓몬,けむしポケモン,Hairy Bug Pokémon
Cocoon Pokémon,Pokémon Cocon,Pokémon Bozzolo,Kokon-Pokémon,Pokémon Capullo,번데기포켓몬,さなぎポケモン,Cocoon Pokémon
Poison Bee Pokémon,Pokémon Guêpoison,Pokémon Velenape,Giftbienen-Pokémon,Pokémon Abeja Veneno,독벌포켓몬,どくばちポケモン,Poison Bee Pokémon
Tiny Bird Pokémon,Pokémon Minoiseau,Pokémon Uccellino,Kleinvogel-Pokémon,Pokémon Pajarito,아기새포켓몬,ことりポケモン,Tiny Bird Pokémon
Bird Pokémon,Pokémon Oiseau,Pokémon Uccello,Vogel-Pokémon,Pokémon Pájaro,새포켓몬,とりポケモン,Bird Pokémon
Bird Pokémon,Pokémon Oiseau,Pokémon Uccello,Vogel-Pokémon,Pokémon Pájaro,새포켓몬,とりポケモン,Bird Pokémon
Mouse Pokémon,Pokémon Souris,Pokémon Topo,Maus-Pokémon,Pokémon Ratón,쥐포켓몬,ねずみポケモン,Mouse Pokémon
Mouse Pokémon,Pokémon Souris,Pokémon Topo,Maus-Pokémon,Pokémon Ratón,쥐포켓몬,ねずみポケモン,Mouse Pokémon
Tiny Bird Pokémon,Pokémon Minoiseau,Pokémon Uccellino,Kleinvogel-Pokémon,Pokémon Pajarito,아기새포켓몬,ことりポケモン,Tiny Bird Pokémon
Beak Pokémon,Pokémon Bec-Oiseau,Pokémon Becco,Pickvogel-Pokémon,Pokémon Pico,부리포켓몬,くちばしポケモン,Beak Pokémon
Snake Pokémon,Pokémon Serpent,Pokémon Serpente,Schlangen-Pokémon,Pokémon Serpiente,뱀포켓몬,へびポケモン,Snake Pokémon
Cobra Pokémon,Pokémon Cobra,Pokémon Cobra,Kobra-Pokémon,Pokémon Cobra,코브라포켓몬,コブラポケモン,Cobra Pokémon
Mouse Pokémon,Pokémon Souris,Pokémon Topo,Maus-Pokémon,Pokémon Ratón,쥐포켓몬,ねずみポケモン,Mouse Pokémon
Mouse Pokémon,Pokémon Souris,Pokémon Topo,Maus-Pokémon,Pokémon Ratón,쥐포켓몬,ねずみポケモン,Mouse Pokémon
Mouse Pokémon,Pokémon Souris,Pokémon Topo,Maus-Pokémon,Pokémon Ratón,쥐포켓몬,ねずみポケモン,Mouse Pokémon
Mouse Pokémon,Pokémon Souris,Pokémon Topo,Maus-Pokémon,Pokémon Ratón,쥐포켓몬,ねずみポケモン,Mouse Pokémon
Poison Pin Pokémon,Pokémon Vénépic,Pokémon Velenago,Giftdorn-Pokémon,Pokémon Pin Veneno,독침포켓몬,どくばりポケモン,Poison Pin Pokémon
Poison Pin Pokémon,Pokémon Vénépic,Pokémon Velenago,Giftdorn-Pokémon,Pokémon Pin Veneno,독침포켓몬,どくばりポケモン,Poison Pin Pokémon
Drill Pokémon,Pokémon Perceur,Pokémon Trapano,Bohrer-Pokémon,Pokémon Taladro,드릴포켓몬,ドリルポケモン,Drill Pokémon
Poison Pin Pokémon,Pokémon Vénépic,Pokémon Velenago,Giftdorn-Pokémon,Pokémon Pin Veneno,독침포켓몬,どくばりポケモン,Poison Pin Pokémon
Poison Pin Pokémon,Pokémon Vénépic,Pokémon Velenago,Giftdorn-Pokémon,Pokémon Pin Veneno,독침포켓몬,どくばりポケモン,Poison Pin Pokémon
Drill Pokémon,Pokémon Perceur,Pokémon Trapano,Bohrer-Pokémon,Pokémon Taladro,드릴포켓몬,ドリルポケモン,Drill Pokémon
Fairy Pokémon,Pokémon Fée,Pokémon Fata,Feen-Pokémon,Pokémon Hada,요정포켓몬,ようせいポケモン,Fairy Pokémon
Fairy Pokémon,Pokémon Fée,Pokémon Fata,Feen-Pokémon,Pokémon Hada,요정포켓몬,ようせいポケモン,Fairy Pokémon
Fox Pokémon,Pokémon Renard,Pokémon Volpe,Fuchs-Pokémon,Pokémon Zorro,여우포켓몬,きつねポケモン,Fox Pokémon
Fox Pokémon,Pokémon Renard,Pokémon Volpe,Fuchs-Pokémon,Pokémon Zorro,여우포켓몬,きつねポケモン,Fox Pokémon
Balloon Pokémon,Pokémon Bouboule,Pokémon Pallone,Ballon-Pokémon,Pokémon Globo,풍선포켓몬,ふうせんポケモン,Balloon Pokémon
Balloon Pokémon,Pokémon Bouboule,Pokémon Pallone,Ballon-Pokémon,Pokémon Globo,풍선포켓몬,ふうせんポケモン,Balloon Pokémon
Bat Pokémon,Pokémon Chovsouris,Pokémon Pipistrello,Fledermaus-Pokémon,Pokémon Murciélago,박쥐포켓몬,こうもりポケモン,Bat Pokémon
Bat Pokémon,Pokémon Chovsouris,Pokémon Pipistrello,Fledermaus-Pokémon,Pokémon Murciélago,박쥐포켓몬,こうもりポケモン,Bat Pokémon
Weed Pokémon,Pokémon Racine,Pokémon Malerba,Unkraut-Pokémon,Pokémon Hierbajo,잡초포켓몬,ざっそうポケモン,Weed Pokémon
Weed Pokémon,Pokémon Racine,Pokémon Malerba,Unkraut-Pokémon,Pokémon Hierbajo,잡초포켓몬,ざっそうポケモン,Weed Pokémon
Flower Pokémon,Pokémon Fleur,Pokémon Fiore,Blumen-Pokémon,Pokémon Flor,꽃포켓몬,フラワーポケモン,Flower Pokémon
Mushroom Pokémon,Pokémon Champignon,Pokémon Fungo,Pilz-Pokémon,Pokémon Hongo,버섯포켓몬,きのこポケモン,Mushroom Pokémon
Mushroom Pokémon,Pokémon Champignon,Pokémon Fungo,Pilz-Pokémon,Pokémon Hongo,버섯포켓몬,きのこポケモン,Mushroom Pokémon
Insect Pokémon,Pokémon Vermine,Pokémon Insetto,Insekten-Pokémon,Pokémon Insecto,곤충포켓몬,こんちゅうポケモン,Insect Pokémon
Poison Moth Pokémon,Pokémon Papipoison,Pokémon Velentarma,Giftmotten-Pokémon,Pokémon Polilla Venenosa,독나방포켓몬,どくがポケモン,Poison Moth Pokémon
Mole Pokémon,Pokémon Taupe,Pokémon Talpa,Maulwurf-Pokémon,Pokémon Topo,두더지포켓몬,もぐらポケモン,Mole Pokémon
Mole Pokémon,Pokémon Taupe,Pokémon Talpa,Maulwurf-Pokémon,Pokémon Topo,두더지포켓몬,もぐらポケモン,Mole Pokémon
Scratch Cat Pokémon,Pokémon Chadégout,Pokémon Graffimiao,Katzen-Pokémon,Pokémon Gato Araña,요괴고양이포켓몬,ばけねこポケモン,Scratch Cat Pokémon
Classy Cat Pokémon,Pokémon Chadeville,Pokémon Nobilgatto,Rassekatzen-Pokémon,Pokémon Gato Fino,샴고양이포켓몬,シャムネコポケモン,Classy Cat Pokémon
Duck Pokémon,Pokémon Canard,Pokémon Papero,Enten-Pokémon,Pokémon Pato,오리포켓몬,あひるポケモン,Duck Pokémon
Duck Pokémon,Pokémon Canard,Pokémon Papero,Enten-Pokémon,Pokémon Pato,오리포켓몬,あひるポケモン,Duck Pokémon
Pig Monkey Pokémon,Pokémon Porsinge,Pokémon Suinpanzé,Schwein/Affen-Pokémon,Pokémon Mono Cerdo,돈숭이포켓몬,ぶたざるポケモン,Pig Monkey Pokémon
Pig Monkey Pokémon,Pokémon Porsinge,Pokémon Suinpanzé,Schwein/Affen-Pokémon,Pokémon Mono Cerdo,돈숭이포켓몬,ぶたざるポケモン,Pig Monkey Pokémon
Puppy Pokémon,Pokémon Chiot,Pokémon Cagnolino,Welpen-Pokémon,Pokémon Perrito,강아지포켓몬,こいぬポケモン,Puppy Pokémon
Legendary Pokémon,Pokémon Légendaire,Pokémon Leggenda,Legendär-Pokémon,Pokémon Leyenda,전설포켓몬,でんせつポケモン,Legendary Pokémon
Tadpole Pokémon,Pokémon Têtard,Pokémon Girino,Kaulquappen-Pokémon,Pokémon Renacuajo,올챙이포켓몬,おたまポケモン,Tadpole Pokémon
Tadpole Pokémon,Pokémon Têtard,Pokémon Girino,Kaulquappen-Pokémon,Pokémon Renacuajo,올챙이포켓몬,おたまポケモン,Tadpole Pokémon
Tadpole Pokémon,Pokémon Têtard,Pokémon Girino,Kaulquappen-Pokémon,Pokémon Renacuajo,올챙이포켓몬,おたまポケモン,Tadpole Pokémon
Psi Pokémon,Pokémon Psy,Pokémon Psico,Psi-Pokémon,Pokémon Psi,초능력포켓몬,ねんりきポケモン,Psi Pokémon
Psi Pokémon,Pokémon Psy,Pokémon Psico,Psi-Pokémon,Pokémon Psi,초능력포켓몬,ねんりきポケモン,Psi Pokémon
Psi Pokémon,Pokémon Psy,Pokémon Psico,Psi-Pokémon,Pokémon Psi,초능력포켓몬,ねんりきポケモン,Psi Pokémon
Superpower Pokémon,Pokémon Colosse,Pokémon Megaforza,Kraftprotz-Pokémon,Pokémon Superpoder,괴력포켓몬,かいりきポケモン,Superpower Pokémon
Superpower Pokémon,Pokémon Colosse,Pokémon Megaforza,Kraftprotz-Pokémon,Pokémon Superpoder,괴력포켓몬,かいりきポケモン,Superpower Pokémon
Superpower Pokémon,Pokémon Colosse,Pokémon Megaforza,Kraftprotz-Pokémon,Pokémon Superpoder,괴력포켓몬,かいりきポケモン,Superpower Pokémon
Flower Pokémon,Pokémon Fleur,Pokémon Fiore,Blumen-Pokémon,Pokémon Flor,꽃포켓몬,フラワーポケモン,Flower Pokémon
Flycatcher Pokémon,Pokémon Carnivore,Pokémon Moschivoro,Fliegentod-Pokémon,Pokémon Matamoscas,파리잡이포켓몬,ハエとりポケモン,Flycatcher Pokémon
Flycatcher Pokémon,Pokémon Carnivore,Pokémon Moschivoro,Fliegentod-Pokémon,Pokémon Matamoscas,파리잡이포켓몬,ハエとりポケモン,Flycatcher Pokémon
Jellyfish Pokémon,Pokémon Mollusque,Pokémon Medusa,Quallen-Pokémon,Pokémon Medusa,해파리포켓몬,くらげポケモン,Jellyfish Pokémon
Jellyfish Pokémon,Pokémon Mollusque,Pokémon Medusa,Quallen-Pokémon,Pokémon Medusa,해파리포켓몬,くらげポケモン,Jellyfish Pokémon
Rock Pokémon,Pokémon Roche,Pokémon Roccia,Gesteins-Pokémon,Pokémon Roca,암석포켓몬,がんせきポケモン,Rock Pokémon
Rock Pokémon,Pokémon Roche,Pokémon Roccia,Gesteins-Pokémon,Pokémon Roca,암석포켓몬,がんせきポケモン,Rock Pokémon
Megaton Pokémon,Pokémon Titanesque,Pokémon Megatone,Urgesteins-Pokémon,Pokémon Megatón,메가톤포켓몬,メガトンポケモン,Megaton Pokémon
Fire Horse Pokémon,Pokémon Cheval Feu,Pokémon Cavalfuoco,Feuerpferd-Pokémon,Pokémon Caballo Fuego,불의말포켓몬,ひのうまポケモン,Fire Horse Pokémon
