en,fr,es,it
:[align=center]:\s[i]Tout plein de magazines avec des promos sur les paires de lunettes. \nlIl dévalise les opticiens ma parole !\s[r],:[align=center]:\s[i]Tout plein de magazines avec des promos sur les paires de lunettes. \nlIl dévalise les opticiens ma parole !\s[r],:[align=center]:\s[i]Tout plein de magazines avec des promos sur les paires de lunettes. \nlIl dévalise les opticiens ma parole !\s[r],:[align=center]:\s[i]Tout plein de magazines avec des promos sur les paires de lunettes. \nlIl dévalise les opticiens ma parole !\s[r]
\c[2]Pokemon\c[0] : Canicani...zZz,\c[2]Pokemon\c[0] : Canicani...zZz,\c[2]Pokemon\c[0] : Canicani...zZz,\c[2]Pokemon\c[0] : Canicani...zZz
:[align=center]:\s[i]Tout plein de magazines avec des promos sur les paires de lunettes. \nlIl dévalise les opticiens ma parole !\s[r],:[align=center]:\s[i]Tout plein de magazines avec des promos sur les paires de lunettes. \nlIl dévalise les opticiens ma parole !\s[r],:[align=center]:\s[i]Tout plein de magazines avec des promos sur les paires de lunettes. \nlIl dévalise les opticiens ma parole !\s[r],:[align=center]:\s[i]Tout plein de magazines avec des promos sur les paires de lunettes. \nlIl dévalise les opticiens ma parole !\s[r]
":[align=center]:\s[i]Ça brille, brille, brille ! ! !\s[r]",":[align=center]:\s[i]Ça brille, brille, brille ! ! !\s[r]",":[align=center]:\s[i]Ça brille, brille, brille ! ! !\s[r]",":[align=center]:\s[i]Ça brille, brille, brille ! ! !\s[r]"
:[align=center]:\s[i]Il n'y a pas beaucoup de verdure dans ce frigo !\s[r],:[align=center]:\s[i]Il n'y a pas beaucoup de verdure dans ce frigo !\s[r],:[align=center]:\s[i]Il n'y a pas beaucoup de verdure dans ce frigo !\s[r],:[align=center]:\s[i]Il n'y a pas beaucoup de verdure dans ce frigo !\s[r]
"J'ai enfin reçu mon colis ! \nlJ'ai commandé une PokeLoupe !\nlPour le prix d'une, j'en ai eu une seconde offerte. \nlJe vais en offrir une à mon meilleur pote, le guide de la ville. ","J'ai enfin reçu mon colis ! \nlJ'ai commandé une PokeLoupe !\nlPour le prix d'une, j'en ai eu une seconde offerte. \nlJe vais en offrir une à mon meilleur pote, le guide de la ville. ","J'ai enfin reçu mon colis ! \nlJ'ai commandé une PokeLoupe !\nlPour le prix d'une, j'en ai eu une seconde offerte. \nlJe vais en offrir une à mon meilleur pote, le guide de la ville. ","J'ai enfin reçu mon colis ! \nlJ'ai commandé une PokeLoupe !\nlPour le prix d'une, j'en ai eu une seconde offerte. \nlJe vais en offrir une à mon meilleur pote, le guide de la ville. "
"Tu sais, on est deux vieux qui ne voient pas plus loin que le bout de leur nez... J'arrive même plus à lire mon journal du matin !","Tu sais, on est deux vieux qui ne voient pas plus loin que le bout de leur nez... J'arrive même plus à lire mon journal du matin !","Tu sais, on est deux vieux qui ne voient pas plus loin que le bout de leur nez... J'arrive même plus à lire mon journal du matin !","Tu sais, on est deux vieux qui ne voient pas plus loin que le bout de leur nez... J'arrive même plus à lire mon journal du matin !"
Pourrais-tu lui apporter cette PokeLoupe ?,Pourrais-tu lui apporter cette PokeLoupe ?,Pourrais-tu lui apporter cette PokeLoupe ?,Pourrais-tu lui apporter cette PokeLoupe ?
Oui,Oui,Oui,Oui
Non,Non,Non,Non
"Rah ! Les jeunes d'aujourd'hui sont bien aimables.\nlMerci bien, elle est sur la table, tu peux la prendre.","Rah ! Les jeunes d'aujourd'hui sont bien aimables.\nlMerci bien, elle est sur la table, tu peux la prendre.","Rah ! Les jeunes d'aujourd'hui sont bien aimables.\nlMerci bien, elle est sur la table, tu peux la prendre.","Rah ! Les jeunes d'aujourd'hui sont bien aimables.\nlMerci bien, elle est sur la table, tu peux la prendre."
