en,fr,it,de,es,ko,kana,pt
a Link Trade,Échange en réseau,Scambio in link,Link-Tausch,Intercambio en conexión,통신교환,つうしんこうかん,a Link Trade
a Link Trade,Échange en réseau,Scambio in link,Link-Tausch,Intercambio en conexión,통신교환,つうしんこうかん,a Link Trade
the Kanto region,Kanto,Kanto,Kanto-Region,Kanto,관동지방,カントーちほう,the Kanto region
the Johto region,Johto,Johto,Johto-Region,Johto,성도지방,ジョウトちほう,the Johto region
the Hoenn region,Hoenn,Hoenn,Hoenn-Region,Hoenn,호연지방,ホウエンちほう,the Hoenn region
the Sinnoh region,Sinnoh,Sinnoh,Sinnoh-Region,Sinnoh,신오지방,シンオウちほう,the Sinnoh region
a distant land,Pays lointain,Terra lontana,Fernes Land,Tierra lejana,아주 먼 땅,とおくはなれたとち,a distant land
——————,－－－－－－－－－－,----------,－－－－－－－－－－,－－－－－－－－－－,－－－－－－－－－－,－－－－－－－－－－,——————
the Unova region,Unys,Unima,Einall-Region,Teselia,하나지방,イッシュちほう,the Unova region
the Kalos region,Kalos,Kalos,Kalos-Region,Kalos,칼로스지방,カロスちほう,the Kalos region
Pokémon Link,Poké Lien,Pokémon Link,Pokémon-Link,Nexo Pokémon,포켓몬링크,ポケモンリンク,Pokémon Link
Pokémon GO,Pokémon GO,Pokémon GO,Pokémon GO,Pokémon GO,Pokémon GO,Pokémon GO,Pokémon GO
the Kanto region,Kanto,Kanto,Kanto-Region,Kanto,관동지방,カントーちほう,the Kanto region
the Hoenn region,Hoenn,Hoenn,Hoenn-Region,Hoenn,호연지방,ホウエンちほう,the Hoenn region
the Alola region,Alola,Alola,Alola-Region,Alola,알로라지방,アローラちほう,the Alola region
Poké Pelago,Poké Loisir,Poké Resort,Pokémon-Resort,Poké Resort,포켓리조트,ポケリゾート,Poké Pelago
the Johto region,Johto,Johto,Johto-Region,Johto,성도지방,ジョウトちほう,the Johto region
Pokémon HOME,Pokémon HOME,Pokémon HOME,Pokémon HOME,Pokémon HOME,Pokémon HOME,Pokémon HOME,Pokémon HOME
the Kanto region,Kanto,Kanto,Kanto-Region,Kanto,관동지방,カントーちほう,the Kanto region
the Isle of Making,L'Île du Making,Kanto,Kanto-Region,Kanto,관동지방,カントーちほう,the Isle of Making
