en,fr,it,de,es,ko,kana,pt
Box 1,Boîte 1,BOX 1,Box 1,Caja 1,박스1,ボックス１,Box 1
Box 2,Boîte 2,BOX 2,Box 2,Caja 2,박스2,ボックス２,Box 2
Box 3,Boîte 3,BOX 3,Box 3,Caja 3,박스3,ボックス３,Box 3
Box 4,Boîte 4,BOX 4,Box 4,Caja 4,박스4,ボックス４,Box 4
Box 5,Boîte 5,BOX 5,Box 5,Caja 5,박스5,ボックス５,Box 5
Box 6,Boîte 6,BOX 6,Box 6,Caja 6,박스6,ボックス６,Box 6
Box 7,Boîte 7,BOX 7,Box 7,Caja 7,박스7,ボックス７,Box 7
Box 8,Boîte 8,BOX 8,Box 8,Caja 8,박스8,ボックス８,Box 8
Box 9,Boîte 9,BOX 9,Box 9,Caja 9,박스9,ボックス９,Box 9
Box 10,Boîte 10,BOX 10,Box 10,Caja 10,박스10,ボックス１０,Box 10
Box 11,Boîte 11,BOX 11,Box 11,Caja 11,박스11,ボックス１１,Box 11
Box 12,Boîte 12,BOX 12,Box 12,Caja 12,박스12,ボックス１２,Box 12
Box 13,Boîte 13,BOX 13,Box 13,Caja 13,박스13,ボックス１３,Box 13
Box 14,Boîte 14,BOX 14,Box 14,Caja 14,박스14,ボックス１４,Box 14
Box 15,Boîte 15,BOX 15,Box 15,Caja 15,박스15,ボックス１５,Box 15
Box 16,Boîte 16,BOX 16,Box 16,Caja 16,박스16,ボックス１６,Box 16
Box 17,Boîte 17,BOX 17,Box 17,Caja 17,박스17,ボックス１７,Box 17
Box 18,Boîte 18,BOX 18,Box 18,Caja 18,박스18,ボックス１８,Box 18
Box 19,Boîte 19,BOX 19,Box 19,Caja 19,박스19,ボックス１９,Box 19
Box 20,Boîte 20,BOX 20,Box 20,Caja 20,박스20,ボックス２０,Box 20
Box 21,Boîte 21,BOX 21,Box 21,Caja 21,박스21,ボックス２１,Box 21
Box 22,Boîte 22,BOX 22,Box 22,Caja 22,박스22,ボックス２２,Box 22
Box 23,Boîte 23,BOX 23,Box 23,Caja 23,박스23,ボックス２３,Box 23
Box 24,Boîte 24,BOX 24,Box 24,Caja 24,박스24,ボックス２４,Box 24
Box 25,Boîte 25,BOX 25,Box 25,Caja 25,박스25,ボックス２５,Box 25
Box 26,Boîte 26,BOX 26,Box 26,Caja 26,박스26,ボックス２６,Box 26
Box 27,Boîte 27,BOX 27,Box 27,Caja 27,박스27,ボックス２７,Box 27
Box 28,Boîte 28,BOX 28,Box 28,Caja 28,박스28,ボックス２８,Box 28
Box 29,Boîte 29,BOX 29,Box 29,Caja 29,박스29,ボックス２９,Box 29
Box 30,Boîte 30,BOX 30,Box 30,Caja 30,박스30,ボックス３０,Box 30
Box 31,Boîte 31,BOX 31,Box 31,Caja 31,박스31,ボックス３１,Box 31
Box 32,Boîte 32,BOX 32,Box 32,Caja 32,박스32,ボックス３２,Box 32
Team 1,Équipe 1,SQUADRA 1,Team 1,Equipo 1,팀1,チーム１,Team 1
Team 2,Équipe 2,SQUADRA 2,Team 2,Equipo 2,팀2,チーム２,Team 2
Team 3,Équipe 3,SQUADRA 3,Team 3,Equipo 3,팀3,チーム３,Team 3
Team 4,Équipe 4,SQUADRA 4,Team 4,Equipo 4,팀4,チーム４,Team 4
Team 5,Équipe 5,SQUADRA 5,Team 5,Equipo 5,팀5,チーム５,Team 5
Team 6,Équipe 6,SQUADRA 6,Team 6,Equipo 6,팀6,チーム６,Team 6
