en,fr,es,it
":[align=center]:\s[i]Many novels such as Harry Potter, The Lord of the Rings, A Song of Ice and Fire[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10]\s[r]",":[align=center]:\s[i]Beaucoup de romans tel que Harry Potter, le Seigneur des anneaux, le Trône de fer[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10]\s[r]",":[align=center]:\s[i]Muchas novelas como Harry Potter, El señor de los anillos, Juego de tronos[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10]\s[r]",":[align=center]:\s[i]Molti romanzi come Harry Potter, Il Signore degli Anelli, Il Trono di Spade[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10]\s[r]"
My wife would never have gotten the size of a pair of shoes wrong. \nlThere's something fishy going on here !,Ma femme ne se serait jamais trompée dans la taille d'une paire de chaussures. \nlIl y a une histoire louche là-dessous !,Mi mujer nunca se habría equivocado con la talla de un par de zapatos. \nl¡ Hay gato encerrado en esta historia !,Mia moglie non avrebbe mai sbagliato la taglia di un paio di scarpe. \nlC'è qualcosa di strano sotto !
This kid does nothing but play on the computer. I can't wait for the sneakers his mother ordered him to arrive so he can let off some steam.,"Ce gosse ne fait que jouer à l'ordi, vivement que l'on reçoive les baskets que sa mère lui a commandées, qu'il se défoule.","Este niño no hace más que jugar con el ordenador, qué ganas de que lleguen las zapatillas que le ha pedido su madre para que se desahogue.","Questo ragazzino non fa altro che giocare al computer, non vedo l'ora che arrivino le scarpe da ginnastica che sua madre gli ha ordinato, così potrà sfogarsi un po'."
:[align=center]:\s[i]Would you like to rest ?\s[r],:[align=center]:\s[i]Voulez-vous vous reposer ?\s[r],:[align=center]:\s[i]¿ Quieres descansar ?\s[r],:[align=center]:\s[i]Vuoi riposarti ?\s[r]
Yes !,Oui !,¡ Sí !,Sì !
No.,Non.,No.,No.
:[align=center]:\s[i]You're in great shape !\s[r],:[align=center]:\s[i]Vous voilà en pleine forme !\s[r],:[align=center]:\s[i]¡ Ya estás en plena forma !\s[r],:[align=center]:\s[i]Ecco che sei in perfetta forma !\s[r]
:[align=center]:\s[i]League of Legends ! I love this game !\s[r],:[align=center]:\s[i]League of Legends ! Qu'est ce que j'aime ce jeu !\s[r],:[align=center]:\s[i]¡ League of Legends ! ¡ Me encanta este juego !\s[r],:[align=center]:\s[i]League of Legends ! Quanto mi piace questo gioco !\s[r]
":[align=center]:\s[i]Yum ! There are lots of delicious, well-balanced dishes.\s[r]",:[align=center]:\s[i]Miam ! Il y a plein de bon plats bien équilibrés.\s[r],:[align=center]:\s[i]¡ Qué rico ! Hay un montón de platos deliciosos y equilibrados.\s[r],:[align=center]:\s[i]Gnam ! Ci sono tanti piatti buoni e ben bilanciati.\s[r]
"My mom bought me some shoes, but they're too big for me[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10], so I'm staying home all day. \nlWould you mind going out and buying me some ?","Ma maman m'a acheté des chaussures, mais elles me sont trop grandes[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10] alors je reste à la maison toute la journée. \nlTu ne voudrais pas aller m'en acheter ?","Mi madre me ha comprado unos zapatos, pero me quedan grandes [WAIT 10]. [WAIT 10]. [WAIT 10]. [WAIT 10], así que me quedo en casa todo el día. \nl¿ No te gustaría ir a comprarme unos ?","Mia madre mi ha comprato delle scarpe, ma mi stanno grandi [WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10] quindi resto a casa tutto il giorno. \nlNon ti andrebbe di andare a comprarmi delle scarpe ?"
Oui !,Oui !,¡ Sí !,Sì !
No.,Non.,No.,No.
Great ! \nlYou can find them at the Cocovin store.,Super !\nlTu pourras en trouver à la boutique de Cocovin.,¡ Genial ! \nlLos encontrarás en la tienda de Cocovin.,Fantastico ! \nlLi puoi trovare nel negozio Cocovin.
"Okay, I'll keep playing then!","Ok, je vais continuer à jouer alors !","¡ Vale, entonces seguiré jugando !","Ok, allora continuerò a giocare !"
Where's your \c[2]Pokemon\c[0] ? \nlI'd love to have a \c[2]Charizard\c[0] !,"Il est où ton \c[2]Pokemon\c[0] ?\nlMoi, j'aimerais avoir un \c[2]Dracaufeu\c[0] !",¿ Dónde está tu \c[2]Pokémon\c[0] ? \nl¡ A mí me gustaría tener un \c[2]Charizard\c[0] !,Dov'è il tuo \c[2]Pokemon\c[0] ?\nlIo vorrei avere un \c[2]Dracaufeu\c[0] !
"WOW ! \nlThank you so much !! \nlHere, I'll give you mine since they're too big for me.","WAOUH ! \nlMerci beaucoup !! \nlTiens, je te donne les miennes vu qu'elles me sont trop grandes.","¡ GUAU ! \nl¡ Muchas gracias ! \nlToma, te regalo las mías, ya que me quedan grandes.","WOW ! \nlGrazie mille !! \nlTieni, ti do le mie, visto che mi stanno grandi."
:[align=center]:RECEIPT: \c[5]RUNNING SHOES\c[0],:[align=center]:REÇU : \c[5]CHAUSSURES DE COURSE\c[0],:[align=center]:RECIBIDO: \c[5]ZAPATILLAS DE CORRER\c[0],:[align=center]:RICEZIONATO: \c[5]SCARPE DA CORSA\c[0]
:[align=center]:\s[i]These shoes fit me perfectly! \nl(press the “X” key to run)\s[r] ,":[align=center]:\s[i]Ces chaussures me vont parfaitement bien !\nl(appuie sur la touche ""X"" pour courir)\s[r] ",:[align=center]:\s[i]¡ Estos zapatos me quedan perfectamente ! \nl(pulsa la tecla «X» para correr)\s[r] ,:[align=center]:\s[i]Queste scarpe mi stanno perfettamente ! \nl(premi il tasto “X” per correre)\s[r] 
Ha ha ! Now I can run everywhere !!,Ha ha ! je peux courir partout maintenant !!,"¡ Ja, ja ! ¡ Ahora puedo correr por todas partes !",Ah ah ! Adesso posso correre ovunque !
You should find some shoes at the Cocovin store.,Tu devrais trouver des chaussures à la boutique de Cocovin.,Deberías encontrar zapatos en la tienda de Cocovin.,Dovresti trovare delle scarpe al negozio Cocovin.
Ha ha ! Now I can run everywhere !! ,Ha ha ! Je peux courir partout maintenant !! ,"¡ Ja, ja ! ¡ Ahora puedo correr por todas partes ! ",Ah ah ! Adesso posso correre ovunque !! 
Ha ha ! Now I can run everywhere !! ,Ha ha ! Je peux courir partout maintenant !! ,"¡ Ja, ja ! ¡ Ahora puedo correr por todas partes ! ",Ah ah ! Adesso posso correre ovunque !! 
:[align=center]:\s[i]I'm not going to rummage through the trash !\s[r],:[align=center]:\s[i]Je ne vais quand même pas faire les poubelles !\s[r],:[align=center]:\s[i]¡ No voy a rebuscar en la basura !\s[r],:[align=center]:\s[i]Non andrò mica a rovistare nella spazzatura !\s[r]
":[align=center]:\s[i]Many novels such as Harry Potter, The Lord of the Rings, A Song of Ice and Fire[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10]\s[r]",":[align=center]:\s[i]Beaucoup de romans tel que Harry Potter, le Seigneur des anneaux, le Trône de fer[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10]\s[r]",":[align=center]:\s[i]Muchas novelas como Harry Potter, El señor de los anillos, Juego de tronos[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10]\s[r]",":[align=center]:\s[i]Molti romanzi come Harry Potter, Il Signore degli Anelli, Il Trono di Spade[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10]\s[r]"
":[align=center]:\s[i]It shines, shines, shines ! ! !\s[r]",":[align=center]:\s[i]Ça brille, brille, brille ! ! !\s[r]",":[align=center]:\s[i]¡ Brilla, brilla, brilla !\s[r]",":[align=center]:\s[i]Brilla, brilla, brilla ! ! !\s[r]"
:[align=center]:\s[i]It's [HEURE] o'clock.\s[r],:[align=center]:\s[i]Il est [HEURE].\s[r],:[align=center]:\s[i]Son las [HEURE].\s[r],:[align=center]:\s[i]Sono le [HEURE].\s[r]
":[align=center]:\s[i]It shines, shines, shines ! ! !\s[r]",":[align=center]:\s[i]Ça brille, brille, brille ! ! !\s[r]",":[align=center]:\s[i]¡ Brilla, brilla, brilla !\s[r]",":[align=center]:\s[i]Brilla, brilla, brilla ! ! !\s[r]"
