en,fr,es,it
:[align=center]:Bienvenue à Bouillabaisse-sur-mer !,:[align=center]:Bienvenue à Bouillabaisse-sur-Mer !,:[align=center]:Bienvenue à Bouillabaisse-sur-mer !,:[align=center]:Bienvenue à Bouillabaisse-sur-mer !
:[align=center]:Maison du Pêcheur,:[align=center]:Maison du Pêcheur,:[align=center]:Maison du Pêcheur,:[align=center]:Maison du Pêcheur
:[align=center]:Bienvenue à Bouillabaisse-sur-mer !,:[align=center]:Bienvenue à Bouillabaisse-sur-Mer !,:[align=center]:Bienvenue à Bouillabaisse-sur-mer !,:[align=center]:Bienvenue à Bouillabaisse-sur-mer !
:[align=center]:Maison de la famille Liberty,:[align=center]:Maison de la famille Liberty,:[align=center]:Maison de la famille Liberty,:[align=center]:Maison de la famille Liberty
:[align=center]:Bienvenue à Bouillabaisse-sur-mer !,:[align=center]:Bienvenue à Bouillabaisse-sur-Mer !,:[align=center]:Bienvenue à Bouillabaisse-sur-mer !,:[align=center]:Bienvenue à Bouillabaisse-sur-mer !
:[align=center]:REÇU : \c[5]SUPER POTION\c[0],:[align=center]:REÇU : \c[5]SUPER POTION\c[0],:[align=center]:REÇU : \c[5]SUPER POTION\c[0],:[align=center]:REÇU : \c[5]SUPER POTION\c[0]
":[align=center]:\s[i]Vous rangez votre ""Super Potion"" dans votre sac dans la poche Soin.\s[r]",":[align=center]:\s[i]Vous rangez votre ""Super Potion"" dans votre sac dans la poche Soins.\s[r]",":[align=center]:\s[i]Vous rangez votre ""Super Potion"" dans votre sac dans la poche Soin.\s[r]",":[align=center]:\s[i]Vous rangez votre ""Super Potion"" dans votre sac dans la poche Soin.\s[r]"
"Même un \c[2]Pokémon\c[0] faible peut devenir fort !\nlIl suffi d'en prendre soin et de lui doner de l'amour.\nlEn tout cas, c'est ce que me répète ma maman.","Même un \c[2]Pokémon\c[0] faible peut devenir fort !\nlIl suffi d'en prendre soin et de lui doner de l'amour.\nlEn tout cas, c'est ce que me répète ma maman.","Même un \c[2]Pokémon\c[0] faible peut devenir fort !\nlIl suffi d'en prendre soin et de lui doner de l'amour.\nlEn tout cas, c'est ce que me répète ma maman.","Même un \c[2]Pokémon\c[0] faible peut devenir fort !\nlIl suffi d'en prendre soin et de lui doner de l'amour.\nlEn tout cas, c'est ce que me répète ma maman."
"Pierre, le champion d'arene, est vraiment fort.\nlIl vaut mieux être bien préparé pour l'affronté, apparement il est bien plus fort que les Sage de la lumière de la Tour des Anciens.","Pierre, le champion d'arene, est vraiment fort.\nlIl vaut mieux être bien préparé pour l'affronté, apparement il est bien plus fort que les Sage de la lumière de la Tour des Anciens.","Pierre, le champion d'arene, est vraiment fort.\nlIl vaut mieux être bien préparé pour l'affronté, apparement il est bien plus fort que les Sage de la lumière de la Tour des Anciens.","Pierre, le champion d'arene, est vraiment fort.\nlIl vaut mieux être bien préparé pour l'affronté, apparement il est bien plus fort que les Sage de la lumière de la Tour des Anciens."
"La grotte est fermée au public, nous sommes en pleine expédition !","La grotte est fermée au public, nous sommes en pleine expédition !","La grotte est fermée au public, nous sommes en pleine expédition !","La grotte est fermée au public, nous sommes en pleine expédition !"
:[align=center]:Bienvenue à Bouillabaisse-sur-mer !,:[align=center]:Bienvenue à Bouillabaisse-sur-Mer !,:[align=center]:Bienvenue à Bouillabaisse-sur-mer !,:[align=center]:Bienvenue à Bouillabaisse-sur-mer !
:[align=center]:Maison du Mangeur de l'extrême,:[align=center]:Maison du Mangeur de l'extrême,:[align=center]:Maison du Mangeur de l'extrême,:[align=center]:Maison du Mangeur de l'extrême
,:[align=center]:REÇU : \c[5]ÉCAILLES COEUR\c[0],,
,":[align=center]:\s[i]Vous rangez votre ""Écailles Cœur"" dans votre sac dans la poche Objets.\s[r]",,
,"Hé, moussaillon ! \nlAlors, vers quelle île mettons-nous le cap aujourd’hui ?",,
,Ile Liberté,,
,Roc Nombri,,
,Ile Pleine Lune,,
,Ile Nouvellune,,
,"Désolé, moussaillon ! \nlLa mer est trop agitée dans cette région[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10] impossible d’y naviguer pour le moment !",,
,"Désolé, moussaillon ! \nlLa mer est trop agitée dans cette région[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10] impossible d’y naviguer pour le moment !",,
,"Désolé, moussaillon ! \nlLa mer est trop agitée dans cette région[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10] impossible d’y naviguer pour le moment !",,
,"Désolé, moussaillon ! \nlLa mer est trop agitée dans cette région[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10] impossible d’y naviguer pour le moment !",,
,"Désolé, moussaillon ! \nlLa mer est trop agitée dans cette région[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10] impossible d’y naviguer pour le moment !",,
,"Je suis désolé, les anciens et le champion d'arène sont en pleine réunion !",,
,:[name=Sbire 1]:La chef a raison[WAIT 20].[WAIT 20].[WAIT 20].[WAIT 20] il y a un traître dans nos rangs[WAIT 20].[WAIT 20].[WAIT 20].[WAIT 20],,
,:[name=Sbire 2]:Tu crois ?!,,
,:[name=Sbire 1]:La chef ne se trompe jamais.,,
,:[name=Sbire 2]:Il va donc falloir le trouver[WAIT 20].[WAIT 20].[WAIT 20].[WAIT 20],,
,:[name=Sbire 1]:Et l'éliminer !,,
,:[name=Sbire 2]:C'était quoi ce bruit ?!,,
,"Hé, moussaillon ! \nlAlors, vers quelle île mettons-nous le cap aujourd’hui ?",,
,Ile Liberté,,
,Roc Nombri,,
,Ile Pleine Lune,,
,Ile Nouvellune,,
,"Désolé, moussaillon ! \nlLa mer est trop agitée dans cette région[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10] impossible d’y naviguer pour le moment !",,
,"Désolé, moussaillon ! \nlLa mer est trop agitée dans cette région[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10] impossible d’y naviguer pour le moment !",,
,"Désolé, moussaillon ! \nlLa mer est trop agitée dans cette région[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10] impossible d’y naviguer pour le moment !",,
,"Désolé, moussaillon ! \nlLa mer est trop agitée dans cette région[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10] impossible d’y naviguer pour le moment !",,
,"Désolé, moussaillon ! \nlLa mer est trop agitée dans cette région[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10] impossible d’y naviguer pour le moment !",,
,:[align=center]:REÇU : \c[5]HUILE\c[0],,
,":[align=center]:\s[i]Vous rangez votre ""Huile"" dans votre sac dans la poche Soins.\s[r]",,
,:[align=center]:\s[i]Vous êtes connu pour avoir tenté de voler dans cette boutique.\nlL’accès vous est désormais refusé.\s[r],,
,":[align=center]:\s[i]Vous trouvez au sein de cette boué une bouteille avec un message à l'interieur[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10]\nlcependant, le message est ecrit dans une langue \c[2]Pokémon\c[0] très ancienne[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10] \nlIl faut un objet pour le déchiffrer[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10]\s[r]",,
,:[align=center]:REÇU : \c[5]MESSAGE MYSTERE\c[0],,
,":[align=center]:\s[i]Vous rangez votre ""Message Mystère"" dans votre sac dans la poche Objets rares.\s[r]",,
,:[align=center]:\s[i]Ce n’est qu’une bouée trouée[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10] rien d’important.\s[r],,
,:[align=center]:\s[i]L'arène est fermée[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10]\\s[r],,
,\c[2]Pokemon\c[0] : Krabbyyyyyyy !,,
