en,fr,es,it
:[align=center]:Bienvenue à Tartatin !,:[align=center]:Bienvenue à Tartatin !,:[align=center]:Bienvenue à Tartatin !,:[align=center]:Bienvenue à Tartatin !
:[align=center]:Maison de la famille Fargas,:[align=center]:Maison de la famille Fargas,:[align=center]:Maison de la famille Fargas,:[align=center]:Maison de la famille Fargas
:[align=center]:Bienvenue à Tartatin !,:[align=center]:Bienvenue à Tartatin !,:[align=center]:Bienvenue à Tartatin !,:[align=center]:Bienvenue à Tartatin !
:[align=center]:Maison de Mr. Link,:[align=center]:Maison de Mr. Link,:[align=center]:Maison de Mr. Link,:[align=center]:Maison de Mr. Link
:[align=center]:Maison de ...,:[align=center]:Maison de ...,:[align=center]:Maison de ...,:[align=center]:Maison de ...
"Oh ! Bonjour, jeune dresseur ! Tu ne me reconnais peut-être pas…\nlJe m’appelle Fargas. Autrefois, j’étais connu dans tout Johto pour mes Poké Balls faites à la main \nlà partir de Noigrumes.\nlJ’ai passé des années à perfectionner cet art… puis un jour, j’ai transmis tout mon savoir à un jeune artisan. Il se trouve dans la forêt \nlenchantée.","Oh ! Bonjour, jeune dresseur ! Tu ne me reconnais peut-être pas[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10]\nlJe m’appelle Fargas. Autrefois, j’étais connu dans tout Johto pour mes Poké Balls faites à la main \nlà partir de Noigrumes.\nlJ’ai passé des années à perfectionner cet art[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10] puis un jour, j’ai transmis tout mon savoir à un jeune artisan. Il se trouve dans la Forêt Enchantée.","Oh ! Bonjour, jeune dresseur ! Tu ne me reconnais peut-être pas…\nlJe m’appelle Fargas. Autrefois, j’étais connu dans tout Johto pour mes Poké Balls faites à la main \nlà partir de Noigrumes.\nlJ’ai passé des années à perfectionner cet art… puis un jour, j’ai transmis tout mon savoir à un jeune artisan. Il se trouve dans la forêt \nlenchantée.","Oh ! Bonjour, jeune dresseur ! Tu ne me reconnais peut-être pas…\nlJe m’appelle Fargas. Autrefois, j’étais connu dans tout Johto pour mes Poké Balls faites à la main \nlà partir de Noigrumes.\nlJ’ai passé des années à perfectionner cet art… puis un jour, j’ai transmis tout mon savoir à un jeune artisan. Il se trouve dans la forêt \nlenchantée."
"Je voulais enfin prendre ma retraite, me reposer un peu, profiter du calme…\nlMais tu vois, le repos, c’est pas pour moi ! Mes mains tremblent moins quand je tiens un \nlmarteau que quand je ne fais rien !","Je voulais enfin prendre ma retraite, me reposer un peu, profiter du calme[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10]\nlMais tu vois, le repos, c’est pas pour moi ! Mes mains tremblent moins quand je tiens un marteau \nlque quand je ne fais rien !","Je voulais enfin prendre ma retraite, me reposer un peu, profiter du calme…\nlMais tu vois, le repos, c’est pas pour moi ! Mes mains tremblent moins quand je tiens un \nlmarteau que quand je ne fais rien !","Je voulais enfin prendre ma retraite, me reposer un peu, profiter du calme…\nlMais tu vois, le repos, c’est pas pour moi ! Mes mains tremblent moins quand je tiens un \nlmarteau que quand je ne fais rien !"
"Ah… l’odeur du bois, de la résine, le son du marteau… ça me manquait tellement !\nlAlors, j’ai décidé de me remettre au travail ! Je veux créer de nouvelles PokéBalls, \nlencore jamais vues !\nlPourquoi ne pas combiner plusieurs Noigrumes entre eux ? Ou même tenter de mélanger Noigrumes et Baies ?","Ah[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10] l’odeur du bois, de la résine, le son du marteau[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10] ça me manquait tellement !\nlAlors, j’ai décidé de me remettre au travail ! Je veux créer une nouvelle PokéBall, encore jamais vues !","Ah… l’odeur du bois, de la résine, le son du marteau… ça me manquait tellement !\nlAlors, j’ai décidé de me remettre au travail ! Je veux créer de nouvelles PokéBalls, \nlencore jamais vues !\nlPourquoi ne pas combiner plusieurs Noigrumes entre eux ? Ou même tenter de mélanger Noigrumes et Baies ?","Ah… l’odeur du bois, de la résine, le son du marteau… ça me manquait tellement !\nlAlors, j’ai décidé de me remettre au travail ! Je veux créer de nouvelles PokéBalls, \nlencore jamais vues !\nlPourquoi ne pas combiner plusieurs Noigrumes entre eux ? Ou même tenter de mélanger Noigrumes et Baies ?"
"Haha ! Rien que d’y penser, j’en ai les doigts qui me démangent !\nlDis, ça te dirait de m’aider un peu ?","Haha ! Rien que d’y penser, j’en ai les doigts qui me démangent !\nlDis, ça te dirait de m’aider ?","Haha ! Rien que d’y penser, j’en ai les doigts qui me démangent !\nlDis, ça te dirait de m’aider un peu ?","Haha ! Rien que d’y penser, j’en ai les doigts qui me démangent !\nlDis, ça te dirait de m’aider un peu ?"
Oui !,Oui !,Oui !,Oui !
Non.,Non.,Non.,Non.
"Ramène-moi les ingrédients, et je te fabriquerai ça en un éclair ! Tu vas voir, ça va être du grand art !","Après toutes ces années, j’ai enfin maitrisé internet[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10] et j’y ai découvert une légende fascinante !\nlOn parle d’une Poké Ball très rare portant les lettres GS.\nlSelon cette vieille légende, elle serait liée à l’apparition d’un Pokémon capable de voyager entre le passé et le futur. \nlD’après ce que j’ai trouvé, cette étrange Ball aurait été forgée à partir d’une plume de Ho-Oh et d’une plume de Lugia.  Si cette histoire est vraie[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10] alors cette Ball doit cacher un pouvoir incroyable !\nlPour en avoir le cœur net, apporte-moi une plume de chacun de ces Pokémon !","Ramène-moi les ingrédients, et je te fabriquerai ça en un éclair ! Tu vas voir, ça va être du grand art !","Ramène-moi les ingrédients, et je te fabriquerai ça en un éclair ! Tu vas voir, ça va être du grand art !"
"Rah, ces jeunes d’aujourd’hui… Incapables de travailler de leurs propres mains ! Toujours à vouloir tout tout de suite !","Rah, ces jeunes d’aujourd’hui[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10] Incapables de travailler de leurs propres mains ! Toujours à vouloir tout tout de suite !","Rah, ces jeunes d’aujourd’hui… Incapables de travailler de leurs propres mains ! Toujours à vouloir tout tout de suite !","Rah, ces jeunes d’aujourd’hui… Incapables de travailler de leurs propres mains ! Toujours à vouloir tout tout de suite !"
"Alors, prêt à m'aider ?","Alors, prêt à m'aider ?","Alors, prêt à m'aider ?","Alors, prêt à m'aider ?"
Oui !,Oui !,Oui !,Oui !
Non.,Non.,Non.,Non.
"Ramène-moi les ingrédients, et je te fabriquerai ça en un éclair ! Tu vas voir, ça va être du grand art !","Ne bouge pas, je te fabrique ça en un éclair ! Tu vas voir, ça va être du grand art !","Ramène-moi les ingrédients, et je te fabriquerai ça en un éclair ! Tu vas voir, ça va être du grand art !","Ramène-moi les ingrédients, et je te fabriquerai ça en un éclair ! Tu vas voir, ça va être du grand art !"
"Rah, ces jeunes d’aujourd’hui… Incapables de travailler de leurs propres mains ! Toujours à vouloir tout tout de suite !","Rah, ces jeunes d’aujourd’hui[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10] Incapables de travailler de leurs propres mains ! Toujours à vouloir tout tout de suite !","Rah, ces jeunes d’aujourd’hui… Incapables de travailler de leurs propres mains ! Toujours à vouloir tout tout de suite !","Rah, ces jeunes d’aujourd’hui… Incapables de travailler de leurs propres mains ! Toujours à vouloir tout tout de suite !"
Je vois que tu as réussi à trouver tous les ingrédients !,Je vois que tu as réussi à trouver tous les ingrédients !,Je vois que tu as réussi à trouver tous les ingrédients !,Je vois que tu as réussi à trouver tous les ingrédients !
Voici la prochaine liste.,Voici la prochaine liste.,Voici la prochaine liste.,Voici la prochaine liste.
:[align=center]:Bienvenue à Tartatin !,:[align=center]:Bienvenue à Tartatin !,:[align=center]:Bienvenue à Tartatin !,:[align=center]:Bienvenue à Tartatin !
:[align=center]:Bienvenue à Tartatin !,:[align=center]:Bienvenue à Tartatin !,:[align=center]:Bienvenue à Tartatin !,:[align=center]:Bienvenue à Tartatin !
