en,fr,es,it
:[name=Fillette]:Rien de mieux qu'un bon chocolat chaud après de telles péripéties.\nlProfites bien de ton voyage sur l'Ile Liberté !,:[name=Fillette]:Rien de mieux qu'un bon chocolat chaud après de telles péripéties.\nlProfites bien de ton voyage sur l'Ile Liberté !,:[name=Fillette]:Rien de mieux qu'un bon chocolat chaud après de telles péripéties.\nlProfites bien de ton voyage sur l'Ile Liberté !,:[name=Fillette]:Rien de mieux qu'un bon chocolat chaud après de telles péripéties.\nlProfites bien de ton voyage sur l'Ile Liberté !
":[align=center]:\s[i]Ça brille, brille, brille ! ! !\s[r]",":[align=center]:\s[i]Ça brille, brille, brille ! ! !\s[r]",":[align=center]:\s[i]Ça brille, brille, brille ! ! !\s[r]",":[align=center]:\s[i]Ça brille, brille, brille ! ! !\s[r]"
":[align=center]:\s[i]Tout plein de destination de voyage, l'écologie elle ne connait pas !\s[r]",":[align=center]:\s[i]Tout plein de destination de voyage, l'écologie elle ne connait pas !\s[r]",":[align=center]:\s[i]Tout plein de destination de voyage, l'écologie elle ne connait pas !\s[r]",":[align=center]:\s[i]Tout plein de destination de voyage, l'écologie elle ne connait pas !\s[r]"
":[align=center]:\s[i]Tout plein de destination de voyage, l'écologie elle ne connait pas !\s[r]",":[align=center]:\s[i]Tout plein de destination de voyage, l'écologie elle ne connait pas !\s[r]",":[align=center]:\s[i]Tout plein de destination de voyage, l'écologie elle ne connait pas !\s[r]",":[align=center]:\s[i]Tout plein de destination de voyage, l'écologie elle ne connait pas !\s[r]"
":[align=center]:\s[i]Ça brille, brille, brille ! ! !\s[r]",":[align=center]:\s[i]Ça brille, brille, brille ! ! !\s[r]",":[align=center]:\s[i]Ça brille, brille, brille ! ! !\s[r]",":[align=center]:\s[i]Ça brille, brille, brille ! ! !\s[r]"
:[align=center]:\s[i]Ho ! De l'eau bien fraîche !\s[r],:[align=center]:\s[i]Ho ! De l'eau bien fraîche !\s[r],:[align=center]:\s[i]Ho ! De l'eau bien fraîche !\s[r],:[align=center]:\s[i]Ho ! De l'eau bien fraîche !\s[r]
:[align=center]:REÇU : \c[5]EAU FRAÎCHE\c[0],:[align=center]:REÇU : \c[5]EAU FRAÎCHE\c[0],:[align=center]:REÇU : \c[5]EAU FRAÎCHE\c[0],:[align=center]:REÇU : \c[5]EAU FRAÎCHE\c[0]
":[align=center]:\s[i]Vous rangez votre ""Eau fraîche"" dans votre sac dans la poche Soins.\s[r]",":[align=center]:\s[i]Vous rangez votre ""Eau fraîche"" dans votre sac dans la poche Soins.\s[r]",":[align=center]:\s[i]Vous rangez votre ""Eau fraîche"" dans votre sac dans la poche Soins.\s[r]",":[align=center]:\s[i]Vous rangez votre ""Eau fraîche"" dans votre sac dans la poche Soins.\s[r]"
":[align=center]:\s[i]Ha ! Ben, maintenant il n'y a plus rien[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10]\s[r]",":[align=center]:\s[i]Ha ! Ben, maintenant il n'y a plus rien[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10]\s[r]",":[align=center]:\s[i]Ha ! Ben, maintenant il n'y a plus rien[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10]\s[r]",":[align=center]:\s[i]Ha ! Ben, maintenant il n'y a plus rien[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10]\s[r]"
,:[align=center]:\s[i]Un fond d'écran de la plage de Bouillabaisse-sur-Mer[WAIT 20].[WAIT 20].[WAIT 20].[WAIT 20] \nlJ'ai l'impression de connaître ce point de vue[WAIT 20].[WAIT 20].[WAIT 20].[WAIT 20]\s[r],,
,:[align=center]:\s[i]\c[18]SOUVENIR[WAIT 20].[WAIT 20].[WAIT 20].[WAIT 20]\c[0]\s[r],,
,:[align=center]:\s[i]L’un de mes souvenirs est revenu !\nlIl y avait donc un traître parmi les méchants ?\s[r],,
