en,fr,es,it
"Avant toute chose, j'aimerais vous préciser que nous sommes en rupture de stock de PokeShoes pour preuves de leur succès.\nlQuoi qu'il en soit, nous serons vous satisfaire par l'ensemble de nos articles disponibles actuellement.","Avant toute chose, j'aimerais vous préciser que nous sommes en rupture de stock de PokeShoes pour preuve de leur succès.\nlQuoi qu'il en soit, nous serons vous satisfaire par l'ensemble de nos articles disponibles actuellement.","Avant toute chose, j'aimerais vous préciser que nous sommes en rupture de stock de PokeShoes pour preuves de leur succès.\nlQuoi qu'il en soit, nous serons vous satisfaire par l'ensemble de nos articles disponibles actuellement.","Avant toute chose, j'aimerais vous préciser que nous sommes en rupture de stock de PokeShoes pour preuves de leur succès.\nlQuoi qu'il en soit, nous serons vous satisfaire par l'ensemble de nos articles disponibles actuellement."
"\t[11,3]","\t[11,3]","\t[11,3]","\t[11,3]"
"\t[11,0]","\t[11,0]","\t[11,0]","\t[11,0]"
"\t[11,1]","\t[11,1]","\t[11,1]","\t[11,1]"
"\t[11,2]","\t[11,2]","\t[11,2]","\t[11,2]"
"\t[11,5]","\t[11,5]","\t[11,5]","\t[11,5]"
"\t[11,0]","\t[11,0]","\t[11,0]","\t[11,0]"
"\t[11,1]","\t[11,1]","\t[11,1]","\t[11,1]"
"\t[11,2]","\t[11,2]","\t[11,2]","\t[11,2]"
"Désolé, je n'ai plus rien à vous vendre, repassez une prochaine fois !","Désolé, je n'ai plus rien à vous vendre, repassez une prochaine fois !","Désolé, je n'ai plus rien à vous vendre, repassez une prochaine fois !","Désolé, je n'ai plus rien à vous vendre, repassez une prochaine fois !"
Je suis navré que vous n'ayez pas trouvé votre bonheur ici.\nlA une prochaine fois peut-être ?,Je suis navré que vous n'ayez pas trouvé votre bonheur ici.\nlA une prochaine fois peut-être ?,Je suis navré que vous n'ayez pas trouvé votre bonheur ici.\nlA une prochaine fois peut-être ?,Je suis navré que vous n'ayez pas trouvé votre bonheur ici.\nlA une prochaine fois peut-être ?
Merci de votre achat ! A une prochaine fois !,Merci de votre achat ! A une prochaine fois !,Merci de votre achat ! A une prochaine fois !,Merci de votre achat ! A une prochaine fois !
Merci de vos achats ! En espérant vous revoir bientôt !,Merci de vos achats ! En espérant vous revoir bientôt !,Merci de vos achats ! En espérant vous revoir bientôt !,Merci de vos achats ! En espérant vous revoir bientôt !
