en,fr,es,it
:[align=center]:\s[i]\c[18][WAIT 20].[WAIT 20].[WAIT 20].[WAIT 20]\c[0]\s[r],:[align=center]:\s[i]\c[18][WAIT 20].[WAIT 20].[WAIT 20].[WAIT 20]\c[0]\s[r],:[align=center]:\s[i]\c[18][WAIT 20].[WAIT 20].[WAIT 20].[WAIT 20]\c[0]\s[r],:[align=center]:\s[i]\c[18][WAIT 20].[WAIT 20].[WAIT 20].[WAIT 20]\c[0]\s[r]
:[align=center]:\s[i]\c[18]Mmm[WAIT 20]\c[0]\s[r],:[align=center]:\s[i]\c[18]Mmm[WAIT 20]\c[0]\s[r],:[align=center]:\s[i]\c[18]Mmm[WAIT 20]\c[0]\s[r],:[align=center]:\s[i]\c[18]Mmm[WAIT 20]\c[0]\s[r]
:[align=center]:\s[i]\c[18]I have a headache[WAIT 20].[WAIT 20].[WAIT 20].[WAIT 20] My limbs feel numb[WAIT 20].[WAIT 20].[WAIT 20].[WAIT 20]\nlWhat's happening to me ?[WAIT 20]\c[0]\s[r],:[align=center]:\s[i]\c[18]J'ai mal à la tête[WAIT 20].[WAIT 20].[WAIT 20].[WAIT 20] Mes membres sont tout engourdis[WAIT 20].[WAIT 20].[WAIT 20].[WAIT 20]\nlQu'est-ce qu'il m'arrive ?[WAIT 20]\c[0]\s[r],:[align=center]:\s[i]\c[18]Me duele la cabeza[WAIT 20]. [WAIT 20].[WAIT 20].[WAIT 20] Tengo las extremidades entumecidas[WAIT 20].[WAIT 20].[WAIT 20].[WAIT 20]\nl¿ Qué me pasa ?[WAIT 20]\c[0]\s[r],:[align=center]:\s[i]\c[18]Ho mal di testa[WAIT 20]. [WAIT 20].[WAIT 20].[WAIT 20] Ho le membra intorpidite[WAIT 20].[WAIT 20].[WAIT 20].[WAIT 20]\nlChe cosa mi sta succedendo ?[WAIT 20]\c[0]\s[r]
":[name=?]:Hey ! Take it easy, sweetie ! \nlHello, let me introduce myself. I'm Professor Charme, or Eusine to my friends.",":[name=?]:Hey ! Tout doux choupinou ! \nlBonjour, je me présente, je suis le Professeur Charme ou Eusine pour les intimes.",":[name=?]:¡ Hola ! ¡ Tranquilo, guapo ! \nlBuenos días, me presento, soy el profesor Charme, o Eusine para los amigos.",":[name=?]:Ehi ! Calma, tesoro ! \nlBuongiorno, mi presento, sono il Professor Charme, o Eusine per gli amici."
:[name=Prof. Charme]:You are back among us in this world populated by magnificent creatures called \c[2]“Pokemon”\c[0].,":[name=Prof. Charme]:Tu es de retour parmi nous dans ce monde peuplé de magnifiques créatures appelées \c[2]""Pokemon""\c[0].",:[name=Prof. Charme]:Has vuelto a estar con nosotros en este mundo poblado por magníficas criaturas llamadas \c[2]«Pokémon»\c[0].,:[name=Prof. Charme]:Sei tornato tra noi in questo mondo popolato da magnifiche creature chiamate \c[2]“Pokemon”\c[0].
"[name=Prof. Charme]:My assistants found you a few years ago, unconscious on the beach at Bouillabaisse-sur-Mer, \nlyou must have been washed ashore by the sea currents.",":[name=Prof. Charme]:Mes assistants t'ont trouvé il y a quelques années évanoui sur la plage de Bouillabaisse-sur-Mer, \nltu as sûrement été ramené au rivage par les courants marins.",":[name=Prof. Charme]:Mis ayudantes te encontraron hace unos años desmayado en la playa de Bouillabaisse-sur-Mer, seguramente las corrientes marinas \nlte llevaron hasta la orilla.",":[name=Prof. Charme]:I miei assistenti ti hanno trovato alcuni anni fa svenuto sulla spiaggia di Bouillabaisse-sur-Mer, \nlu sei stato sicuramente riportato a riva dalle correnti marine."
":[name=Prof. Charme]:According to my analysis, you must have been cryogenically frozen by very powerful \c[2]Pokemon\c[0], as none of our current \nltechnologies are capable of doing so.\nlYou may be hundreds of years old !",":[name=Prof. Charme]:D'après mes analyses, tu aurais été cryogénisé par des \c[2]Pokemon\c[0] très puissants car aucune de nos \nltechnologies n'en est capable à ce jour.\nlTu as peut-être une centaine d'années !",":[name=Prof. Charme]:Según mis análisis, habrías sido criogenizado por \c[2]Pokemon\c[0] muy poderosos, ya que ninguna de nuestras \nltecnologías es capaz de hacerlo hasta la fecha.\nl¡ Quizás tengas unos cien años !",":[name=Prof. Charme]:Secondo le mie analisi, saresti stato criogenizzato da \c[2]Pokemon\c[0] molto potenti, poiché nessuna delle nostre \nltecnologie è in grado di farlo al giorno d'oggi.\nlPotresti avere cent'anni !"
:[name=Prof. Charme]:That's incredible !,:[name=Prof. Charme]:C'est incroyable ! ,:[name=Prof. Charme]:¡ Es increíble !,:[name=Prof. Charme]:È incredibile ! 
":[name=Prof. Charme]:Okay, let's get back to basics.",":[name=Prof. Charme]:Bon, revenons à l'essentiel.",":[name=Prof. Charme]:Bueno, volvamos a lo esencial.",":[name=Prof. Charme]:Bene, torniamo all'essenziale."
"[name=Prof. Charme]:I apologize if my question seems a little direct, but given the state we found you in[WAIT 20].[WAIT 20].[WAIT 20].[WAIT 20] \nland since you don't have a Trainer card, tell me, are you a girl or a boy ?",":[name=Prof. Charme]:Excuse-moi si ma question te semble un peu directe, mais vu l’état dans lequel nous t’avons trouvé[WAIT 20].[WAIT 20].[WAIT 20].[WAIT 20] \nlet puisque tu n’as pas de carte de Dresseur, dis-moi, es-tu une fille ou un garçon ?",":[name=Prof. Charme]:Disculpa si mi pregunta te parece un poco directa, pero dado el estado en el que te hemos encontrado[WAIT 20].[WAIT 20].[WAIT 20].[WAIT 20] \nly dado que no tienes tarjeta de Entrenador, dime, ¿ eres una chica o un chico ?",":[name=Prof. Charme]:Scusa se la mia domanda ti sembra un po' diretta, ma visto lo stato in cui ti abbiamo trovato[WAIT 20].[WAIT 20].[WAIT 20].[WAIT 20] \nlet dato che non hai una carta Allenatore, dimmi, sei una ragazza o un ragazzo ?"
Is this the look that suits you best ?,C'est l'apparence qui te convient le mieux ?,¿ Es el look que más te favorece ?,È l'aspetto che ti si addice di più ?
"\t[11,27]","\t[11,27]","\t[11,27]","\t[11,27]"
"\t[11,28]","\t[11,28]","\t[11,28]","\t[11,28]"
":[name=Prof. Charme]:HAHA ! A sturdy little guy, I knew it ! \nlA girl wouldn't have survived this journey, even though I would have preferred you to be a girl, to be honest[WAIT 20].[WAIT 20].[WAIT 20].",":[name=Prof. Charme]:HAHA ! Un p'tit gars robuste, je le savais ! \nlUne fille n'aurait pas survécu à ce périple même si j'aurais préféré que tu sois une fille à vrai dire[WAIT 20].[WAIT 20].[WAIT 20].",":[name=Prof. Charme]:¡ JAJA ! ¡ Un chico robusto, lo sabía ! \nlUna chica no habría sobrevivido a este viaje, aunque, a decir verdad, hubiera preferido que fueras una chica[WAIT 20].[WAIT 20].[WAIT 20].",":[name=Prof. Charme]:HAHA ! Un ragazzino robusto, lo sapevo ! \nlUna ragazza non sarebbe sopravvissuta a questo viaggio, anche se avrei preferito che tu fossi una ragazza, a dire il vero[WAIT 20].[WAIT 20].[WAIT 20]."
Is this the look that suits you best ?,C'est l'apparence qui te convient le mieux ?,¿ Es el look que más te favorece ?,È l'aspetto che ti si addice di più ?
"\t[11,27]","\t[11,27]","\t[11,27]","\t[11,27]"
"\t[11,28]","\t[11,28]","\t[11,28]","\t[11,28]"
":[name=Prof. Charme]:Wow, it's my lucky day, a pretty girl all to myself ! \nlUm, I mean[WAIT 20].[WAIT 20].[WAIT 20]. It feels good to have saved a damsel in distress !",":[name=Prof. Charme]:Rolala, c'est mon jour de chance, une jolie nana rien que pour moi ! \nlHum Hum, je veux dire que[WAIT 20].[WAIT 20].[WAIT 20]. Ça fait plaisir ce sentiment d'avoir sauvé une demoiselle en détresse !",":[name=Prof. Charme]:¡ Vaya, hoy es mi día de suerte, una chica guapa solo para mí ! \nlHum Hum, quiero decir que[WAIT 20].[WAIT 20].[WAIT 20]. ¡ Qué agradable es la sensación de haber salvado a una damisela en apuros !",":[name=Prof. Charme]:Rolala, è il mio giorno fortunato, una bella ragazza tutta per me ! \nlHum Hum, voglio dire che[WAIT 20].[WAIT 20].[WAIT 20]. È bello sentirsi come se avessi salvato una damigella in pericolo !"
":[name=Prof. Charme]:In short, my dear boy, after this great trauma, I fear you may be suffering from temporary amnesia. \nlIt's not surprising, don't worry, your memory will come back.",":[name=Prof. Charme]:Bref, mon p'tit loup, après ce grand traumatisme, je crains que tu n'aies une amnésie passagère. \nlCe n'est pas étonnant, ne t'inquiète pas, la mémoire te reviendra.",":[name=Prof. Charme]:En resumen, mi pequeño, después de este gran trauma, me temo que sufres una amnesia temporal. \nlNo es de extrañar, no te preocupes, recuperarás la memoria.",":[name=Prof. Charme]:Insomma, piccolo mio, dopo questo grave trauma, temo che tu soffra di amnesia temporanea. \nlNon c'è da stupirsi, non preoccuparti, la memoria ti tornerà."
":[name=Prof. Charme]:Let me try to refresh your memory by telling you about the world we live in.\nlA long time ago, the world lived peacefully[WAIT 20].[WAIT 20].[WAIT 20]. ",":[name=Prof. Charme]:Laisse-moi essayer de te rafraîchir la mémoire en te parlant du monde dans lequel on vit.\nlIl y a bien longtemps, le monde vivait paisiblement[WAIT 20].[WAIT 20].[WAIT 20]. ",":[name=Prof. Charme]:Déjame refrescarte la memoria hablándote del mundo en el que vivimos.\nlHace mucho tiempo, el mundo vivía en paz[WAIT 20].[WAIT 20].[WAIT 20]. ",":[name=Prof. Charme]:Lascia che ti rinfreschi la memoria parlando del mondo in cui viviamo.\nlMolto tempo fa, il mondo viveva in pace[WAIT 20].[WAIT 20].[WAIT 20]. "
