en,fr,it,de,es,ko,kana,pt
Nobody likes my Raticate!,"Décidément, personne n'aime mon Rattatac !",[~ 0],[~ 0],[~ 0],[~ 0],[~ 0],Nobody likes my Raticate!
So my victory in the tournament meant nothing?,Ma victoire au tournoi ne voulait donc rien dire..?,,,,,,So my victory in the tournament meant nothing?
I think I just drowned in my own tears!,Je crois que j'ai bu la tasse avec mes propres larmes !,,,,,,I think I just drowned in my own tears!
You've undone my obi!,T'as défait mon obi !,,,,,,You've undone my obi!
The dream has become a nightmare!,Le rêve est devenu cauchemar !,,,,,,The dream has become a nightmare!
Wololo,Wololo,,,,,,Wololo
"I gave it my all, well done to you both.","J'ai donné mon maximum, bravo à vous deux.",,,,,,"I gave it my all, well done to you both."
"End of the line, everyone off...","Terminus, tout le monde descend...",,,,,,"End of the line, everyone off..."
I'm not likely to make the front page with a level like that...,Je risque pas de faire la une avec un niveau pareil...,,,,,,I'm not likely to make the front page with a level like that...
Wow. You took my Dragon Breath away!,Wow. Tu m'as coupé le draco-souffle !,,,,,,Wow. You took my Dragon Breath away!
"Anyway, my Pokémon are definitely not legendary...","En tout cas, mes Pokémon ne sont absolument pas légendaires...",,,,,,"Anyway, my Pokémon are definitely not legendary..."
But I'd really trained my team!,Mais j'avais vachement entraîné mon équipe !,,,,,,But I'd really trained my team!
I need to expand my team.,Il faut que j'agrandisse mon équipe.,,,,,,I need to expand my team.
I've just been punished severely!,Je viens de me faire salement punir !,,,,,,I've just been punished severely!
,"Bravo, tu crois en tes Pokémon !",,,,,,
,Il me faut d'autres Pokemon...,,,,,,
,Wow !,,,,,,
,Moi qui entraine mes Pokemon tous les jours...,,,,,,
,"Mince, je n'ai qu'un seul Pokemon...",,,,,,
,"Tu m'as battu !
Waouh, tu as du talent !",,,,,,
,Je ne fais pas le poids !,,,,,,
,"Ok, je serai moins enthousiaste pour un combat maintenant.",,,,,,
,Tu es tout aussi robuste !,,,,,,
,"Oh, non ! J'ai perdu ! ",,,,,,
,"Arg, tu es tout aussi capable...",,,,,,
,Je ne suis plus le premier !,,,,,,
,QU . . . QUOI ?!,,,,,,
,J'ai réussi !,,,,,,
,"Bravo, tu crois en tes Pokémon !",,,,,,
,Tu m'as écrasé comme un insecte...,,,,,,
,"Bravo, tu crois en tes Pokémon !",,,,,,
,"Bravo, tu crois en tes Pokémon !",,,,,,
,,,,,,,
,,,,,,,
,Sapristi ! !,,,,,,
,,,,,,,
,Ton avenir est incertain !,,,,,,
QU . . . QUOI ?!,QU . . . QUOI ?!,QU . . . QUOI ?!,QU . . . QUOI ?!,QU . . . QUOI ?!,QU . . . QUOI ?!,QU . . . QUOI ?!,QU . . . QUOI ?!
QU . . . QUOI ?!,QU . . . QUOI ?!,QU . . . QUOI ?!,QU . . . QUOI ?!,QU . . . QUOI ?!,QU . . . QUOI ?!,QU . . . QUOI ?!,QU . . . QUOI ?!
QU . . . QUOI ?!,QU . . . QUOI ?!,QU . . . QUOI ?!,QU . . . QUOI ?!,QU . . . QUOI ?!,QU . . . QUOI ?!,QU . . . QUOI ?!,QU . . . QUOI ?!
QU . . . QUOI ?!,QU . . . QUOI ?!,QU . . . QUOI ?!,QU . . . QUOI ?!,QU . . . QUOI ?!,QU . . . QUOI ?!,QU . . . QUOI ?!,QU . . . QUOI ?!
QU . . . QUOI ?!,QU . . . QUOI ?!,QU . . . QUOI ?!,QU . . . QUOI ?!,QU . . . QUOI ?!,QU . . . QUOI ?!,QU . . . QUOI ?!,QU . . . QUOI ?!
